gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
Egr2	2	5.71057	0.350228	0	1.37878	420
Hs6st3	2	2	1	0	0.721928	470
Zfp865	2	2	1	0	1.74238	1120
Ube2u	2	2	1	0	0.47283	352
Prrc2b	2	1.99675	1.00163	0	0.644219	2231
Zfp827	5	6.03678	0.828256	0	1.90564	1326
Neurod1	2	2	1	0	0.94566	357
Neurod2	2	2	1	0	0.721928	383
Zfp281	2	1.994	1.00301	0	0.543564	893
Zfp282	2	5.263	0.380011	0	0.985228	666
Zfp598	5	3.98367	1.25513	0	1.16378	737
Mier1	2	2	1	0	0.845351	511
Ttll7	1	1.95086	0.512595	0	0	887
Rsf1	2	1.998	1.001	0	0.591673	1441
Ubap1l	2	2	1	0	0.995727	384
Rgs10	2	2	1	0	1	48
Btbd3	2	5.24	0.381679	0	0.591673	530
Arid1a	2	2	1	0	0.959148	574
Pi16	2	2.365	0.845666	0	0.863121	498
Arid1b	2	3.46227	0.577656	0	0.92193	2244
Bcl9l	5	5.1535	0.970214	0	1.45915	1494
Nsfl1c	2	2	1	0	0.863121	372
Procr	1	2.3	0.434783	0	0.650022	242
Nmt1	5	7.203	0.694155	0	1	496
Nmt2	5	7.131	0.701164	0	1	529
Fam98b	5	5.13725	0.973283	0	1.34478	429
Supt20	2	1.95335	1.02388	0	0.834727	864
Rsrc1	2	1.97483	1.01275	0	1.63881	338
Foxo1	2	1.964	1.01833	0	1.25163	652
Lrrc26	2	2	1	0	0.591673	331
Foxk1	2	1.99	1.00503	0	1.37878	719
Foxg1	3	3.08467	0.972552	0	0.921144	481
Tnpo2	1	1	1	0	0.918296	897
Foxc1	5	3.061	1.63345	0	1.50199	553
Caly	2	1.97743	1.01141	0	1.37878	105
Efcc1	2	2	1	0	1	558
Syt7	8	5.37571	1.48817	0	1.47712	634
Mylk	2	2	1	0	0	719
Hmgb1	2	2	1	0	1	58
Tulp4	2	6.05247	0.330444	0	0.543564	1547
Gm52140	2	2	1	0	0.413817	369
Prtg	3	3.833	0.782677	0	1.47066	1191
Hmgb2	2	2	1	0	0.94566	210
Rnf34	1	1	1	0	0.961237	376
Hmgb3	2	2	1	0	0.991076	149
Ryk	1	2.336	0.428082	0	0	594
Csmd2	2	7.04333	0.283956	0	0.995727	3611
Sfpq	2	4.947	0.404285	0	1.45915	699
Ttc14	2	1.975	1.01266	0	1.63963	500
Stk11	2	2	1	0	0.650022	418
Fat1	2	2.36187	0.846785	0	1.95021	4622
Chd4	5	3.71025	1.34762	0	0.892942	1915
Ptprcap	2	2.458	0.81367	0	1.22439	197
Phlda1	2	3.911	0.511378	0	0.8372	405
Chd5	3	4.5488	0.659515	0	1.2462	1881
Trim32	2	1.95886	1.021	0	1.45915	655
Prss50	2	2.632	0.759878	0	1.4183	439
Chd7	5	3.49913	1.42893	0	1.4775	1752
Trim33	2	2	1	0	0.650022	1140
Ina	2	2	1	0	0.954434	501
Chd8	2	1.994	1.00301	0	0.992614	186
Abca7	2	2.40133	0.832871	0	2.23593	1991
Chd9	2	1.9855	1.0073	0	1.51299	2293
Synj1	2	5.72448	0.349377	0	0.863121	264
Otp	2	1.98067	1.00976	0	1.06128	226
Sorbs2	2	1.99969	1.00015	0	0.970951	999
Gpatch11	2	2	1	0	1	264
Bcas3	2	5.401	0.370302	0	0.650022	1010
Prss56	2	2.395	0.835073	0	1.29879	604
Cyp2d34	2	1.954	1.02354	0	1.79248	56
Anks4b	2	2	1	0	0.961237	423
Spindoc	2	1.958	1.02145	0	1.9183	79
Yy1	5	3.4565	1.44655	0	0.531919	414
