gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
LOC100382777	2	1.994	1.00301	0	1.44882	287
LOC100276213	2	1.988	1.00604	0	0	161
LOC100191191	5	3.6332	1.3762	0	0.260009	311
LOC100194217	2	5.197	0.384837	0	0.773054	159
LOC103640657	2	3.53	0.566572	0	0.459148	624
LOC103626620	2	4.93	0.40568	0	1.14884	2707
LOC103639241	2	5.259	0.3803	0	0.543564	311
LOC103626622	2	1.99	1.00503	0	0.918296	353
LOC103631924	2	6.598	0.303122	0	0	694
LOC100381452	2	1.958	1.02145	0	1.58496	123
LOC100285415	5	4.774	1.04734	0	1.9183	357
LOC103627498	2	1.974	1.01317	0	0.918296	294
LOC100216889	2	1.993	1.00351	0	0.5	402
LOC100273667	2	4.994	0.400481	0	0	326
LOC100286288	2	1.984	1.00806	0	0	138
LOC103643222	5	4.644	1.07666	0	1.38997	172
LOC103643223	2	1.986	1.00705	0	0.985228	254
LOC100277552	2	5.22933	0.382458	0	0	276
LOC100381912	2	5.327	0.375446	0	0.954434	297
LOC541761	2	1.972	1.0142	0	0.431561	341
LOC103630609	2	3.521	0.56802	0	0.908946	951
LOC100381916	2	4.7	0.425532	0	0.650022	347
LOC541765	2	1.947	1.02722	0	1.12581	271
LOC100384013	2	1.997	1.0015	0	0.811278	409
LOC100384015	2	2	1	0	0.991264	321
LOC100281076	2	1.982	1.00908	0	0.591673	314
LOC100384016	2	1.982	1.00908	0	1.44882	176
LOC103645871	2	1.999	1.0005	0	0.991076	142
LOC103645874	2	1.986	1.00705	0	0.985228	146
LOC103626179	2	1.984	1.00806	0	1.84237	792
LOC100194220	2	1.99033	1.00486	0	0.727397	473
LOC100194229	2	1.972	1.0142	0	0.650022	327
LOC100501866	2	2	1	0	1.39215	261
LOC103639250	2	1.992	1.00402	0	1.45915	282
LOC103639252	1	1	1	0	1	1237
LOC100274995	2	3.332	0.60024	0	0	228
LOC100281537	5	4.682	1.06792	0	1.45915	688
LOC103631932	2	1.981	1.00959	0	0.795837	1706
LOC103631933	2	2	1	0	0.591673	276
LOC100285421	3	3.35	0.895522	0	0.729574	188
LOC100278884	2	4.62	0.4329	0	0.918296	94
LOC100381465	2	1.985	1.00756	0	1.44882	927
LOC100285426	2	1.99	1.00503	0	0.985228	466
LOC103634046	2	2	1	0	0	381
LOC103653744	1	1.993	0.501756	0	0	316
LOC109943965	5	4.984	1.00321	0	0.985228	287
LOC103647123	2	5.278	0.378931	0	0	456
LOC103647124	2	2	1	0	0.954434	825
LOC100281087	2	1.97	1.01523	0	1.68872	290
LOC103645883	2	1.998	1.001	0	1.45915	496
LOC103634506	5	4.688	1.06655	0	0.650022	257
LOC103647127	5	4.64913	1.07547	0	1.39624	590
LOC103645888	2	1.988	1.00604	0	0.863121	897
LOC100382795	2	1.98233	1.00891	0	1.42565	549
LOC100276230	2	1.956	1.02249	0	1.45915	559
