gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
arfgef2	2	2.518	0.794281	0	1.9183	1790
clec11a	2	2	1	0	0.985228	341
bag6	2	1.9952	1.00241	0	1.44662	1117
srrm1	5	5.58486	0.895278	0	1.27325	807
srrm2	5	3.016	1.65782	0	1.79066	2721
srrm4	5	8.507	0.587751	0	0.784159	590
LOC116408591	2	2	1	0	1	90
jmy	2	5.21	0.383877	0	1.07417	843
mecom	1	1	1	0	0.650022	1055
prdm2	2	1.99367	1.00318	0	1.39215	1411
LOC101731619	1	1.924	0.519751	0	0.918296	223
dct	4	2.606	1.53492	0	2.12809	518
mapkapk2	2	1.992	1.00402	0	0.918296	378
LOC108645757	2	2	1	0	1	209
metap2	5	10.67	0.468604	0	0.881291	483
rps6ka4	2	1.99	1.00503	0	1.48548	71
arx	2	1.988	1.00604	0	1.21776	536
LOC116408249	2	1.91467	1.04457	0	0.650022	196
mto1	2	1.914	1.04493	0	0.650022	694
maml3	1	1.9605	0.510074	0	0	1088
tmprss9	2	2	1	0	0.954434	1151
snap91	2	1.97082	1.01481	0	0.793692	916
LOC116412142	2	1.966	1.01729	0	0.650022	339
vgll3	2	1.976	1.01215	0	0.985228	244
LOC100492398	5	5.60575	0.891941	0	1.29879	495
tmc1	5	5.255	0.951475	0	0.918296	877
tmc2	2	1.996	1.002	0	1.76096	887
brd3	2	1.977	1.01163	0	1.84237	795
znf326	2	2	1	0	0.811278	64
LOC116409825	2	2.511	0.796495	0	1.9183	517
brd4	2	1.98075	1.00972	0	0.997864	1364
LOC116409827	2	2.512	0.796178	0	1.9183	466
phactr4	2	1.66667	1.2	0	0.62104	729
megf8	2	2	1	0	0.99403	2730
brd7	8	9.384	0.852515	0	0.811278	641
mrps23	2	1.968	1.01626	0	0.918296	187
trim33	5	5.2208	0.957708	0	1.84237	1094
sorbs2	2	1.99963	1.00019	0	0.995727	1428
zbtb21	2	5.926	0.337496	0	0.970951	1030
med12	2	1.99667	1.00167	0	0.940408	2193
zbtb26	2	2	1	0	0	415
huwe1	2	1.9785	1.01087	0	1.11843	4358
rictor	1	1.988	0.503018	0	0.543564	1653
pak3	2	2	1	0	0.985228	549
med13	1	1.95667	0.511073	0	0.954434	2169
eif2ak4	1	1	1	0	0.591673	1668
abi1	2	5.422	0.368868	0	1.16624	476
abi2	5	5.02271	0.995478	0	1.30399	538
cc2d2a	8	8.12	0.985222	0	0.918296	1594
chpf2	2	2	1	0	0.863121	419
LOC116406510	2	2	1	0	0	508
phf21b	2	1.989	1.00553	0	1	628
phox2b	2	1.97	1.01523	0	1.65774	150
nhlh1	2	1.994	1.00301	0	1.45915	128
nexmif	2	1.5	1.33333	0	0	1438
nhlh2	2	1.996	1.002	0	1.79248	112
LOC116410228	2	1.924	1.0395	0	1.45915	419
kif1b	2	2	1	0	0.918296	1467
LOC116407674	1	1	1	0	0	230
apov1.2	2	2.57	0.77821	0	1.84237	109
fanci	5	4.782	1.04559	0	0.325011	1339
sbno1	5	8.507	0.587751	0	1	1165
LOC101733308	5	5.222	0.957488	0	1.14884	729
chrac1	2	2	1	0	0.811278	143
tbc1d12	2	1.954	1.02354	0	1.9183	684
gatad1	1	1.956	0.511247	0	0	268
nlk	2	1.987	1.00654	0	1.36515	534
tnnt1	2	2	1	0	0.918296	255
tra2a	2	1.991	1.00452	0	0	96
zfpm1	2	1.97	1.01523	0	1.45915	1214
tra2b	5	5.513	0.906947	0	1.29879	189
ubqln1	2	1.998	1.001	0	1.37878	564
hrg	2	1.991	1.00452	0	0.459148	209
stk3	2	2	1	0	0.863121	493
map1b	2	1.986	1.00705	0	1.84644	2259
bahcc1	2	1.98233	1.00891	0	1.84237	2532
riok1	1	1	1	0	0	548
riok2	1	1	1	0	0	555
LOC100495160	1	1	1	0	0	633
LOC116411537	1	1	1	0	0	276
zfp91	2	1.954	1.02354	0	0.650022	501
LOC116411538	1	1	1	0	0	322
dok1	2	2	1	0	0.918296	570
gpr37	2	1.97	1.01523	0	1	272
enah	5	3.931	1.27194	0	1.11636	535
asxl2	2	1.9444	1.02859	0	0.863121	841
asxl3	2	1.894	1.05597	0	1.45915	2146
LOC116408321	5	9.954	0.502311	0	0.954434	619
map4k4	2	2	1	0	1	1385
LOC100485343	2	1.9969	1.00155	0	1.12067	4203
smarce1	2	1.984	1.00806	0	1.36096	435
