gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
LOC1269364	2	4.74	0.421941	0	0.991076	662
LOC5666747	5	2.88888	1.73078	0	0.506807	1444
LOC1269639	2	1.98526	1.00742	0	0.0523174	1165
LOC133393483	2	1.874	1.06724	0	1.79248	1470
LOC133393716	1	1.934	0.517063	0	0	489
LOC1280477	2	1.97333	1.01351	0	0.819812	737
LOC1273841	2	2.75942	0.72479	0	0.557734	3198
LOC1277801	2	1.9372	1.03242	0	0.607439	735
LOC1269328	2	4.71	0.424628	0	0.503258	1739
LOC1280124	3	4.076	0.736016	0	1.05458	1844
LOC1277843	2	2	1	0	0	407
LOC1273803	2	1.99	1.00503	0	0.439497	547
LOC1280126	2	4.34156	0.460664	0	1.04649	928
LOC1277805	2	1.987	1.00654	0	0.754984	315
LOC1277846	2	1.94	1.03093	0	1.40439	427
LOC1273887	2	4.381	0.456517	0	1	443
LOC1273805	2	4.099	0.487924	0	0.650022	1029
LOC1270650	2	1.878	1.06496	0	2.25163	314
LOC1277534	2	1.97333	1.01351	0	1.39905	637
LOC1277808	2	3.27	0.611621	0	0.70282	664
LOC1273849	1	1.913	0.522739	0	0.325011	702
LOC4576161	1	1.988	0.503018	0	0	39
LOC4576120	2	2.928	0.68306	0	0.729574	498
LOC133393179	2	5.448	0.367107	0	1.2389	186
LOC1273220	2	4.56229	0.438377	0	1.29879	569
LOC1270695	2	1.9935	1.00326	0	1.14708	635
LOC1277262	1	2.154	0.464253	0	0	329
LOC1270380	1	1.863	0.536769	0	0.918296	172
LOC1270655	2	2.83833	0.704639	0	0.630156	1057
LOC1270617	2	1.974	1.01317	0	0.918296	228
LOC1277225	3	2.36267	1.26975	0	0.778643	964
LOC1270384	2	2.68167	0.745805	0	0.735354	1709
LOC1273266	5	3.96211	1.26195	0	1.30596	1114
LOC1270659	2	1.99333	1.00334	0	0.985228	1367
LOC1277267	2	2.4865	0.804343	0	0.601107	166
LOC1270385	2	2	1	0	1.54879	148
LOC1270386	1	1.87	0.534759	0	0.650022	513
LOC11175861	5	2.6665	1.87512	0	0.780755	1276
LOC1270305	2	4.984	0.401284	0	0.721928	435
LOC1277269	2	1.949	1.02617	0	0.295837	848
LOC11175862	3	2.60457	1.15182	0	0.406984	845
LOC1281742	2	1.98433	1.0079	0	0.721928	52
LOC5667701	1	1.934	0.517063	0	0.811278	725
LOC1270389	2	1.972	1.0142	0	0	627
LOC1281744	5	2.70736	1.84682	0	0.713407	722
LOC1281787	2	2.346	0.852515	0	0.921928	360
LOC1281788	2	4.082	0.489956	0	1.45915	331
LOC11175512	2	1.958	1.02145	0	0.99398	308
LOC5667707	2	2.78333	0.718563	0	1.0009	709
LOC5667433	5	4.38	1.14155	0	1.45915	1537
LOC1281749	2	2.63578	0.758789	0	0.612197	1121
LOC1281475	2	1.988	1.00604	0	0.918296	277
LOC5667160	5	2.36322	2.11576	0	0.941617	2346
LOC1281435	1	1.888	0.529661	0	0.918296	207
LOC11175514	2	1.94086	1.03047	0	0.677483	1780
LOC1281709	2	1.9285	1.03708	0	1.35539	546
LOC133391835	2	1.972	1.0142	0	1.9183	628
LOC1281122	2	1.96733	1.0166	0	0.644314	728
LOC5667122	2	1.86	1.07527	0	1.25163	218
LOC3290856	2	2.14024	0.934473	0	0.804874	4555
LOC11175558	2	3.876	0.515996	0	1.20033	1014
LOC3290541	2	2	1	0	1.68548	651
LOC1281479	5	5.1	0.980392	0	1.97494	1189
LOC1278884	2	1.929	1.03681	0	0.650022	723
LOC1278803	5	2.8754	1.73889	0	0.867978	823
LOC1274845	1	1	1	0	0.954434	1064
LOC4577473	1	1.942	0.514933	0	0.543564	395
LOC1274572	2	1.99	1.00503	0	0.77935	1707
LOC1281127	5	3.169	1.57778	0	1.68872	763
LOC1271964	2	1.974	1.01317	0	1.58496	166
LOC1271923	2	1.997	1.0015	0	0.50628	1267
LOC4577789	5	3.781	1.3224	0	0.917619	304
LOC3290272	1	1.996	0.501002	0	0	262
LOC133391527	2	1.9792	1.01051	0	1.38708	460
LOC1278533	1	1	1	0	1	607
LOC5668288	2	1.98104	1.00957	0	0.809438	1311
LOC4577120	2	2.2774	0.878194	0	0.717848	1829
LOC3290507	2	1.88625	1.0603	0	0.650022	458
LOC1271693	5	3.956	1.2639	0	1.45915	448
LOC1275612	2	1.982	1.00908	0	0.543564	161
LOC1271653	5	3.358	1.48898	0	0.617627	607
LOC5668249	1	1	1	0	0.918296	1596
LOC1278222	2	4.36225	0.458479	0	1.45915	555
LOC1271929	2	1.9955	1.00226	0	0.863121	658
LOC1275615	2	1.944	1.02881	0	1.90564	614
LOC1271697	2	1.9432	1.02923	0	0.390013	844
LOC1271656	2	1.97047	1.01499	0	0.477585	892
LOC1271384	5	3.274	1.52718	0	1.18004	360
LOC4577128	5	2.31156	2.16304	0	0.792242	1174
LOC1271305	6	3.44515	1.74158	0	1.1038	942
LOC1278228	2	1.988	1.00604	0	0.918296	344
LOC1274229	2	2.06367	0.969149	0	1.29205	1390
LOC1271074	1	1.988	0.503018	0	0.468996	459
LOC1271307	2	1.976	1.01215	0	1.45915	333
LOC1271308	1	1.92	0.520833	0	0	590
LOC1279880	5	4.488	1.11408	0	1.37878	647
LOC3291854	2	4.516	0.44287	0	0.811278	310
LOC1272920	2	1.977	1.01163	0	1.41897	365
LOC1272962	1	1.92677	0.519004	0	0	689
LOC3291504	2	3.14967	0.634988	0	1.26701	315
LOC1272964	2	1.922	1.04058	0	0.650022	196
LOC1279573	2	4.114	0.486145	0	0.918296	118
LOC1276650	2	1.9655	1.01755	0	1.31995	557
LOC133392294	2	2	1	0	0.405639	4721
LOC1272965	2	1.9682	1.01616	0	0.853578	637
LOC3291232	2	1.95	1.02564	0	0.503258	623
LOC1276612	5	2.79332	1.78999	0	0.668611	1515
LOC1276380	2	1.98019	1.01001	0	0.809153	1034
LOC1272655	2	1.96	1.02041	0	0.944624	356
LOC4578479	3	2.61119	1.1489	0	0.798387	2165
LOC1276697	5	4.23889	1.17955	0	0.784159	555
LOC1276382	2	1.986	1.00705	0	1.43537	1102
LOC1276342	2	2	1	0	0.863121	468
LOC1272343	2	2.201	0.908678	0	0.82239	1208
LOC1272302	5	3.0644	1.63164	0	1.07858	769
LOC4578127	2	1.94833	1.02652	0	0.799811	539
LOC1276303	3	2.26215	1.32617	0	0.822661	879
LOC1272070	2	2	1	0	0.591673	552
LOC1269750	2	4.58925	0.435801	0	0	1193
LOC1269793	2	2.29033	0.873235	0	0.912586	770
LOC1276389	2	1.978	1.01112	0	0.650022	935
LOC1276307	2	1.986	1.00705	0	1.44882	546
LOC1276033	5	4.842	1.03263	0	1.6645	532
LOC1272074	5	3.38137	1.47869	0	1.41383	493
LOC1280863	2	2.37298	0.842821	0	0.446714	946
LOC1276075	1	1.878	0.532481	0	0	1318
LOC1280864	2	3.681	0.543331	0	0.903401	425
LOC1280824	2	3.2	0.625	0	1.31521	5199
LOC1269482	2	1.954	1.02354	0	0.591673	2003
LOC1272078	2	4.11	0.486618	0	0	947
LOC5666824	2	2	1	0	1.72957	598
LOC1269716	2	1.9675	1.01652	0	0.306099	1432
LOC1276079	1	1.91533	0.522102	0	0.863121	127
LOC1280512	5	4.406	1.13482	0	1.9183	103
LOC1269402	1	1.95714	0.510949	0	0	596
LOC5666826	2	1.99558	1.00221	0	0.651309	228
LOC133393876	2	2	1	0	0.863121	446
LOC133393835	1	1.932	0.517598	0	0.813663	137
