gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
MPTK2_1g09500	2	2	1	0	0	447
MPTK2_2g03120	2	1.98	1.0101	0	1.45915	318
MPTK2_2g19910	2	1.98567	1.00722	0	0.765849	546
MPTK2_4g16230	2	1.957	1.02197	0	1.45915	1637
MPTK2_4g09950	2	1.968	1.01626	0	0.650022	120
MPTK2_3g17220	2	1.94	1.03093	0	0	101
MPTK2_2g15330	2	1.962	1.01937	0	0.784159	318
MPTK2_8g15920	3	4.89133	0.61333	0	1.38997	190
MPTK2_6g03620	2	1.99	1.00503	0	2.28104	379
MPTK2_4g20750	2	1.996	1.002	0	1.18661	306
MPTK2_4g06760	5	4.56	1.09649	0	0.905716	882
MPTK2_3g03790	2	1.97	1.01523	0	0.918296	508
MPTK2_7g16640	3	4.482	0.669344	0	1.25163	1257
MPTK2_7g13760	2	2.53	0.790514	0	0.345382	724
MPTK2_6g10790	2	2	1	0	0.650022	942
MPTK2_2g26460	2	1.97	1.01523	0	1.6645	234
MPTK2_5g19780	2	1.99	1.00503	0	0.650022	323
MPTK2_1g02850	1	1.986	0.503525	0	0	226
MPTK2_6g18710	2	3.502	0.571102	0	0	125
MPTK2_3g18880	2	2	1	0	1	346
MPTK2_7g16060	2	1.952	1.02459	0	0.918296	1327
MPTK2_8g01830	2	5.396	0.370645	0	1.56128	134
MPTK2_5g16280	2	1.95	1.02564	0	0.650022	237
MPTK2_8g08400	2	4.608	0.434028	0	0	123
MPTK2_7g03900	5	4.93	1.0142	0	1.61311	261
MPTK2_1g18750	2	4.55	0.43956	0	0	246
MPTK2_1g10750	1	1.958	0.510725	0	0	450
MPTK2_8g01250	2	2	1	0	1.47722	231
MPTK2_6g04620	2	1.976	1.01215	0	1.95021	70
MPTK2_4g21790	2	1.987	1.00654	0	0.541789	581
MPTK2_6g08390	5	5.282	0.946611	0	1.25065	2873
MPTK2_3g15030	2	2	1	0	0.543564	1155
MPTK2_5g09340	1	2.614	0.382555	0	0.591673	723
MPTK2_1g17010	2	1.989	1.00553	0	0.78704	2540
MPTK2_5g23020	2	1.956	1.02249	0	1.45915	427
MPTK2_1g22960	1	1.94	0.515464	0	0	350
MPTK2_7g14490	1	1.983	0.504286	0	0	83
MPTK2_5g20100	2	7.422	0.269469	0	0	633
MPTK2_8g13190	5	7.04133	0.710093	0	0.650022	457
MPTK2_2g02280	1	1	1	0	0.881291	464
MPTK2_5g10670	2	1.964	1.01833	0	0	531
MPTK2_2g17640	2	6.83	0.292826	0	0	160
MPTK2_1g22070	1	1.954	0.511771	0	0	859
MPTK2_7g07550	2	3.458	0.578369	0	0.271782	698
MPTK2_5g06920	2	2	1	0	0	106
MPTK2_1g26030	2	1.954	1.02354	0	0.918296	672
MPTK2_2g17370	1	1.98	0.505051	0	0.811278	90
MPTK2_1g04040	2	4.919	0.406587	0	1.2024	191
MPTK2_1g12560	2	1.992	1.00402	0	0.918296	147
MPTK2_2g25850	2	2	1	0	1.40564	276
MPTK2_6g05000	2	1.98867	1.0057	0	0.452886	825
MPTK2_8g10420	1	1.94	0.515464	0	0.650022	479
MPTK2_1g23610	2	3.357	0.59577	0	1.02941	419
MPTK2_3g09130	2	1.968	1.01626	0	0.918296	3195
MPTK2_3g02290	1	1.96	0.510204	0	0.591673	575
MPTK2_7g15180	2	2.534	0.789266	0	1.45915	511
MPTK2_3g17920	5	7.359	0.67944	0	0.727397	285
MPTK2_1g09390	5	6.134	0.815129	0	1.88792	812
MPTK2_7g05940	6	4.8245	1.24365	0	1.17493	393
MPTK2_2g22040	2	4.412	0.453309	0	1	1339
MPTK2_4g12390	2	4.826	0.414422	0	0	162
MPTK2_1g23030	2	4.466	0.447828	0	0.918296	566
MPTK2_8g04600	1	1.974	0.506586	0	0	189
MPTK2_4g16040	1	1.944	0.514403	0	1	119
MPTK2_8g11770	2	1.968	1.01626	0	1.79248	1733
MPTK2_7g13880	2	3.687	0.542446	0	0.784159	535
MPTK2_2g01980	2	4.836	0.413565	0	1.37878	792
MPTK2_8g15460	2	1.966	1.01729	0	0.271782	737
MPTK2_3g03560	2	5.86	0.341297	0	1.36096	122
MPTK2_5g12940	2	1.954	1.02354	0	1.45915	460
MPTK2_4g06260	1	2	0.5	0	0	317
MPTK2_5g15550	2	1.989	1.00553	0	0	232
MPTK2_1g28380	2	1.966	1.01729	0	0.863121	577
MPTK2_2g08240	2	1.996	1.002	0	1.45915	173
MPTK2_1g20340	5	2.84033	1.76036	0	1.05992	1202
MPTK2_2g01360	2	1.938	1.03199	0	1.58496	63
MPTK2_4g17310	2	2	1	0	0.591673	99
MPTK2_1g02040	2	1.962	1.01937	0	1.9183	609
MPTK2_4g21870	5	5.024	0.995223	0	1.75	677
MPTK2_4g07880	5	2.27533	2.19748	0	1.17595	494
MPTK2_3g05990	2	1.972	1.0142	0	1.37878	1419
MPTK2_3g05950	2	2	1	0	0.749595	103
MPTK2_1g14250	2	1.97	1.01523	0	0.591673	423
MPTK2_8g16460	1	1.96	0.510204	0	1.25163	630
MPTK2_6g08160	5	4.83867	1.03334	0	1.53864	260
MPTK2_6g12950	2	1.998	1.001	0	2.32193	1893
MPTK2_5g17980	3	5.379	0.557724	0	1.81128	589
MPTK2_7g18570	5	4.666	1.07158	0	1.45915	660
MPTK2_7g14570	2	2	1	0	0.831474	515
MPTK2_5g17900	8	5.06067	1.58082	0	1.1784	2143
MPTK2_5g02230	2	2.572	0.777605	0	2.23593	1408
MPTK2_3g04290	2	1.99	1.00503	0	0.650022	108
MPTK2_8g12150	2	1.954	1.02354	0	1.45915	199
MPTK2_3g08250	1	1.978	0.505561	0	0	437
MPTK2_8g09870	2	5.04	0.396825	0	0.591673	298
MPTK2_3g23320	2	1.993	1.00351	0	1.9183	834
MPTK2_5g17670	1	1	1	0	1	795
MPTK2_1g00700	1	1.974	0.506586	0	0	550
MPTK2_6g15250	5	2.6075	1.91755	0	0.901114	578
MPTK2_6g19210	5	7.252	0.689465	0	0.863121	562
MPTK2_2g20080	2	1.982	1.00908	0	1.95021	296
MPTK2_2g24080	2	2.428	0.823723	0	0	154
MPTK2_1g25070	2	2	1	0	1.97494	848
MPTK2_1g11830	2	1.966	1.01729	0	0.863121	753
MPTK2_1g12990	5	4.644	1.07666	0	1.45915	208
MPTK2_1g15560	3	7.456	0.402361	0	0.591673	1013
MPTK2_4g15120	5	6.864	0.728438	0	0.459148	1424
MPTK2_2g17140	2	1.976	1.01215	0	1.10707	983
MPTK2_5g06460	5	3.362	1.48721	0	1.35022	352
MPTK2_7g07050	2	1.989	1.00553	0	0.842738	561
MPTK2_1g11290	5	5.016	0.99681	0	1.75	156
MPTK2_1g12600	5	2.802	1.78444	0	1.00916	1072
MPTK2_7g15880	1	1.966	0.508647	0	0.591673	354
MPTK2_2g10220	3	3.785	0.792602	0	0.785975	433
MPTK2_1g19250	2	2	1	0	0.918296	350
MPTK2_1g08930	2	1.978	1.01112	0	0.650022	172
MPTK2_6g05120	1	1.968	0.50813	0	0	287
MPTK2_2g25660	2	1.996	1.002	0	1.43537	258
MPTK2_5g14980	2	4.78	0.41841	0	1.08496	106
MPTK2_5g14900	5	5.814	0.859993	0	1.42906	99
MPTK2_4g23370	2	1.954	1.02354	0	1.45915	487
MPTK2_4g04220	2	5.298	0.377501	0	0.764205	190
MPTK2_2g25390	5	4.93467	1.01324	0	1.28953	515
MPTK2_8g07990	2	2.426	0.824402	0	1.79248	1245
MPTK2_1g05700	2	2.586	0.773395	0	0.591673	231
MPTK2_8g07950	2	1.974	1.01317	0	0.918296	757
MPTK2_1g27460	2	2.936	0.681199	0	0.845351	171
MPTK2_7g08900	2	1.988	1.00604	0	1.5	145
MPTK2_6g17330	1	1.984	0.504032	0	0	481
MPTK2_1g23190	2	1.92	1.04167	0	1.79248	943
MPTK2_4g16160	2	1.972	1.0142	0	0.459148	1816
MPTK2_7g09480	2	4.95	0.40404	0	0	215
MPTK2_7g05480	5	5.24533	0.953228	0	1.31654	138
MPTK2_3g03950	1	1.988	0.503018	0	0	130
MPTK2_7g13920	2	4.788	0.417711	0	1.44882	735
MPTK2_7g17690	2	1.973	1.01368	0	1.19409	668
MPTK2_8g11270	1	1.946	0.513875	0	0	737
MPTK2_7g17610	2	2	1	0	0	154
MPTK2_1g03860	2	1.97	1.01523	0	2.12809	757
