species	transcript_id	gene_id	chrom	strand	protein_len	aa	aa_start	aa_end	aa_len	codon_entropy	codon_gini_simpson	n_unique_codons	dna_len	obs_max_nt_homopolymer	obs_risky	random_expected_max_nt_homopolymer	p_random_risky	p_random_safe	random_expected_risky_count	dna_A_frac	dna_T_frac	dna_G_frac	dna_C_frac
Methanobacterium_formicicum	gene-MB9_RS00320	NA	NZ_LN734822.1	-	99	S	40	48	8	1.750000	0.656250	4	24	2	0	1.996000	0.000000	1.000000	0.000000	0.208333	0.333333	0.208333	0.250000
Methanobacterium_formicicum	gene-MB9_RS02605	NA	NZ_LN734822.1	-	912	G	867	873	6	1.459148	0.611111	3	18	2	0	4.164000	0.014000	0.986000	0.014000	0.166667	0.111111	0.666667	0.055556
Methanobacterium_formicicum	gene-MB9_RS02615	NA	NZ_LN734822.1	-	335	E	310	320	10	0.881291	0.420000	2	30	2	0	2.000000	0.000000	1.000000	0.000000	0.566667	0.000000	0.433333	0.000000
Methanobacterium_formicicum	gene-MB9_RS04445	NA	NZ_LN734822.1	+	622	V	254	260	6	1.792481	0.666667	4	18	2	0	1.996000	0.000000	1.000000	0.000000	0.055556	0.388889	0.500000	0.055556
Methanobacterium_formicicum	gene-MB9_RS05385	NA	NZ_LN734822.1	+	243	G	1	7	6	1.459148	0.611111	3	18	3	0	4.168000	0.010000	0.990000	0.010000	0.111111	0.166667	0.722222	0.000000
Methanobacterium_formicicum	gene-MB9_RS05720	NA	NZ_LN734822.1	-	104	S	47	56	9	1.351644	0.567901	3	27	2	0	2.000000	0.000000	1.000000	0.000000	0.185185	0.444444	0.222222	0.148148
Methanobacterium_formicicum	gene-MB9_RS05940	NA	NZ_LN734822.1	-	227	S	102	113	11	1.867634	0.710744	4	33	2	0	2.000000	0.000000	1.000000	0.000000	0.242424	0.303030	0.151515	0.303030
Methanobacterium_formicicum	gene-MB9_RS05940	NA	NZ_LN734822.1	-	227	S	114	121	7	1.842371	0.693878	4	21	2	0	1.984000	0.000000	1.000000	0.000000	0.238095	0.285714	0.190476	0.285714
Methanobacterium_formicicum	gene-MB9_RS06750	NA	NZ_LN734822.1	+	93	T	7	15	8	1.405639	0.593750	3	24	2	0	2.000000	0.000000	1.000000	0.000000	0.375000	0.125000	0.000000	0.500000
Methanobacterium_formicicum	gene-MB9_RS07710	NA	NZ_LN734822.1	-	627	A	73	79	6	1.000000	0.500000	2	18	2	0	1.974000	0.000000	1.000000	0.000000	0.000000	0.166667	0.333333	0.500000
Methanobacterium_formicicum	gene-MB9_RS09055	NA	NZ_LN734822.1	-	387	A	201	207	6	1.459148	0.611111	3	18	2	0	1.982000	0.000000	1.000000	0.000000	0.166667	0.111111	0.333333	0.388889
Methanobacterium_formicicum	gene-MB9_RS09205	NA	NZ_LN734822.1	+	457	A	155	161	6	0.650022	0.277778	2	18	1	0	1.980000	0.000000	1.000000	0.000000	0.277778	0.000000	0.388889	0.333333
Methanobacterium_formicicum	gene-MB9_RS10410	NA	NZ_LN734822.1	-	217	T	163	169	6	1.459148	0.611111	3	18	2	0	1.998000	0.000000	1.000000	0.000000	0.333333	0.111111	0.055556	0.500000
Methanobacterium_formicicum	gene-MB9_RS11155	NA	NZ_LN734822.1	+	387	G	101	107	6	1.459148	0.611111	3	18	2	0	4.160000	0.008000	0.992000	0.008000	0.111111	0.166667	0.666667	0.055556
