gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
AT4G15160	3	3.664	0.818777	0	1.25163	193
AT3G13500	1	1	1	0	0	117
AT4G15120	2	3.247	0.615953	0	0.802228	193
AT1G19835	2	1.964	1.01833	0	1.45915	131
AT3G28980	2	1.9992	1.0004	0	1.2389	108
AT2G25169	2	1.972	1.0142	0	0.650022	58
AT3G24900	2	2.3995	0.833507	0	1.2572	884
AT5G07580	1	1.96	0.510204	0	0	207
AT5G62360	2	2	1	0	0.439497	203
AT3G46620	2	3.107	0.643708	0	1.11049	395
AT3G02910	2	2	1	0	0.591673	187
AT4G26290	2	2	1	0	0	75
AT3G28630	5	3.96	1.26263	0	1.37878	321
AT3G24630	2	1.955	1.02302	0	1.9183	724
AT5G25220	2	2.754	0.726216	0	0.890709	419
AT1G52315	2	1.997	1.0015	0	2.24644	297
AT1G52000	2	1.962	1.01937	0	1.45915	730
AT1G49760	2	1.90733	1.04858	0	1.1015	671
AT2G26780	2	1.952	1.02459	0	1.45915	1826
AT1G30050	2	2	1	0	0	389
AT3G42310	2	2	1	0	0.468996	81
AT3G21710	2	2	1	0	0.543564	211
AT5G51770	3	8.176	0.366928	0	0.591673	654
AT3G03760	2	1.988	1.00604	0	0.650022	273
AT3G43430	2	1.976	1.01215	0	1.37878	167
AT5G58380	2	2	1	0	0	479
AT5G19790	2	1.996	1.002	0	1.13754	253
AT3G54870	2	1.99467	1.00267	0	1.29879	941
AT3G50870	2	3.711	0.538938	0	1.20915	295
AT2G22430	2	2	1	0	0.650022	187
AT1G63170	2	2	1	0	0.439497	381
AT5G19750	2	4.256	0.469925	0	0.650022	288
AT5G11750	2	1.967	1.01678	0	0	229
AT2G44190	2	1.998	1.001	0	1.78993	474
AT5G11710	2	2	1	0	0.94566	560
AT1G79960	1	1	1	0	0.954434	294
AT1G24580	2	2	1	0	0.918296	131
AT5G37430	1	1	1	0	0	607
AT3G06020	2	2	1	0	0.650022	300
AT1G53970	2	2	1	0	0.468996	97
AT3G14850	2	2.912	0.686813	0	0	356
AT2G30990	1	1	1	0	0	593
AT2G26120	2	4.412	0.453309	0	0	104
AT4G31580	2	4.19	0.477327	0	1.45915	200
AT1G13990	2	4.11067	0.486539	0	0.918296	305
AT2G40116	2	4.222	0.473709	0	1.45915	613
AT5G26840	2	1.99	1.00503	0	1.45915	87
AT4G01037	2	2	1	0	0.918296	528
AT3G50250	2	1.998	1.001	0	1.45915	148
AT5G15130	2	1.9735	1.01343	0	1.15726	506
AT5G04890	2	1.982	1.00908	0	0.960964	366
AT1G50780	2	1.994	1.00301	0	0	323
AT3G47930	2	3.812	0.524659	0	1.22219	565
AT1G31630	2	1.986	1.00705	0	0	339
AT5G04810	2	3.1755	0.629822	0	1.03538	798
AT2G33250	2	2	1	0	0.650022	299
AT1G17680	1	1	1	0	0	896
AT3G18270	2	1.956	1.02249	0	1	410
AT3G18230	2	1.832	1.0917	0	1.25163	666
AT1G53625	2	4.624	0.432526	0	1.14884	89
AT5G41600	2	1.972	1.0142	0	1.25163	257
AT3G47620	2	1.927	1.03788	0	0.729574	489
AT1G10720	2	1.7425	1.14778	0	0.581245	429
AT4G28640	2	1.99467	1.00267	0	0.764205	302
AT2G16340	2	2	1	0	1	94
AT5G44567	2	3.686	0.542594	0	1.45915	79
AT5G45330	2	2	1	0	0.650022	471
AT4G02650	2	3.1	0.645161	0	0.756571	611
AT3G26790	2	2	1	0	0	130
AT4G21720	2	3.676	0.54407	0	0.625815	139
AT2G42890	1	1.97333	0.506757	0	1.45915	830
AT5G05350	2	1.954	1.02354	0	1.25163	526
AT2G01750	2	4.203	0.475851	0	0.650022	630
AT5G41020	2	8.516	0.234852	0	0	588
AT2G45420	3	3.35667	0.893744	0	1.50109	262
AT5G38740	2	1.974	1.01317	0	1.25163	426
AT3G26400	3	4.81	0.623701	0	1.13857	532
AT3G04490	2	2.992	0.668449	0	0.863121	1256
AT1G28460	2	1.992	1.00402	0	1.55666	182
AT1G03820	2	2	1	0	0.863121	222
AT3G25010	2	2.76	0.724638	0	1.25163	912
AT2G05440	2	4.23383	0.472385	0	0.89594	147
AT1G21580	2	3.756	0.532481	0	0.650022	1696
AT5G41025	2	4.41	0.453515	0	0.865884	172
AT3G07060	2	1.994	1.00301	0	0.459148	774
AT1G25540	2	1.99833	1.00083	0	0.910551	202
AT2G38830	2	1.966	1.01729	0	1	331
AT1G28190	2	2	1	0	0.863121	266
AT1G07590	2	2	1	0	1	534
AT4G18820	2	2.77867	0.71977	0	0.972927	1097
AT2G23120	2	1.99	1.00503	0	0.918296	83
AT5G16440	2	1.988	1.00604	0	0.764205	291
AT2G39950	2	1.96622	1.01718	0	0.650022	475
AT2G20280	1	1	1	0	0.811278	80
AT4G24026	1	1	1	0	0	78
AT3G12970	2	1.962	1.01937	0	1.52206	381
AT2G35910	2	1.9	1.05263	0	1	217
AT1G06160	2	1.99	1.00503	0	1.06128	244
AT1G06475	2	1.986	1.00705	0	0.954434	93
AT5G64940	2	1.989	1.00553	0	1.37878	761
AT1G61255	2	4.14	0.483092	0	0	143
AT5G27880	1	1	1	0	0	278
AT3G51290	2	4.39133	0.455443	0	1.39175	634
AT3G19580	2	3.188	0.627353	0	1.3278	273
AT3G11580	2	2	1	0	0	230
AT1G18950	2	2	1	0	0.721928	750
AT1G03280	2	2	1	0	0.650022	479
AT3G19540	2	5.046	0.396354	0	1.48548	485
AT1G07240	2	1.966	1.01729	0	1.25163	480
AT4G36230	5	6.01267	0.831578	0	1.37907	221
AT4G25990	5	10.1613	0.492061	0	0.94566	409
AT2G13690	2	1.964	1.01833	0	0.950826	544
