species	transcript_id	gene_id	chrom	strand	protein_len	aa	aa_start	aa_end	aa_len	codon_entropy	codon_gini_simpson	n_unique_codons	dna_len	obs_max_nt_homopolymer	obs_risky	random_expected_max_nt_homopolymer	p_random_risky	p_random_safe	random_expected_risky_count	dna_A_frac	dna_T_frac	dna_G_frac	dna_C_frac
Pyrococcus_furiosus	gene-PFDSM3638_RS00140	NA	NZ_CP023154.1	-	817	E	808	815	7	0.985228	0.489796	2	21	2	0	2.000000	0.000000	1.000000	0.000000	0.476190	0.000000	0.523810	0.000000
Pyrococcus_furiosus	gene-PFDSM3638_RS00225	NA	NZ_CP023154.1	-	402	K	389	396	7	0.863121	0.408163	2	21	5	0	8.152000	0.302000	0.698000	0.302000	0.761905	0.000000	0.238095	0.000000
Pyrococcus_furiosus	gene-PFDSM3638_RS00385	NA	NZ_CP023154.1	-	479	E	430	438	8	0.811278	0.375000	2	24	2	0	2.000000	0.000000	1.000000	0.000000	0.583333	0.000000	0.416667	0.000000
Pyrococcus_furiosus	gene-PFDSM3638_RS01290	NA	NZ_CP023154.1	+	914	G	882	888	6	1.251629	0.500000	3	18	2	0	4.512000	0.018000	0.982000	0.018000	0.222222	0.055556	0.666667	0.055556
Pyrococcus_furiosus	gene-PFDSM3638_RS03120	NA	NZ_CP023154.1	+	283	L	6	13	7	1.842371	0.693878	4	21	4	0	2.866000	0.000000	1.000000	0.000000	0.142857	0.571429	0.047619	0.238095
Pyrococcus_furiosus	gene-PFDSM3638_RS03690	NA	NZ_CP023154.1	+	119	E	111	117	6	0.918296	0.444444	2	18	2	0	2.000000	0.000000	1.000000	0.000000	0.555556	0.000000	0.444444	0.000000
Pyrococcus_furiosus	gene-PFDSM3638_RS05070	NA	NZ_CP023154.1	+	494	L	8	14	6	1.792481	0.666667	4	18	4	0	2.804000	0.000000	1.000000	0.000000	0.111111	0.611111	0.055556	0.222222
Pyrococcus_furiosus	gene-PFDSM3638_RS05785	NA	NZ_CP023154.1	-	155	L	91	97	6	2.251629	0.777778	5	18	2	0	2.692000	0.000000	1.000000	0.000000	0.166667	0.444444	0.055556	0.333333
Pyrococcus_furiosus	gene-PFDSM3638_RS06180	NA	NZ_CP023154.1	-	743	T	242	248	6	1.918296	0.722222	4	18	2	0	1.984000	0.000000	1.000000	0.000000	0.444444	0.055556	0.055556	0.444444
Pyrococcus_furiosus	gene-PFDSM3638_RS06180	NA	NZ_CP023154.1	-	743	T	261	274	13	1.833927	0.686391	4	39	2	0	2.000000	0.000000	1.000000	0.000000	0.487179	0.076923	0.051282	0.384615
Pyrococcus_furiosus	gene-PFDSM3638_RS06485	NA	NZ_CP023154.1	+	191	E	184	190	6	0.918296	0.444444	2	18	2	0	2.000000	0.000000	1.000000	0.000000	0.444444	0.000000	0.555556	0.000000
Pyrococcus_furiosus	gene-PFDSM3638_RS08150	NA	NZ_CP023154.1	-	132	E	53	59	6	0.918296	0.444444	2	18	2	0	2.000000	0.000000	1.000000	0.000000	0.555556	0.000000	0.444444	0.000000
Pyrococcus_furiosus	gene-PFDSM3638_RS09865	NA	NZ_CP023154.1	+	179	E	130	136	6	1.000000	0.500000	2	18	2	0	2.000000	0.000000	1.000000	0.000000	0.500000	0.000000	0.500000	0.000000
