gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
CAALFM_C307020WA	2	1.9996	1.0002	0	0.492881	1080
CAALFM_C112710CA	2	2	1	0	0.954434	467
CAALFM_CR04840CA	2	2.22564	0.898619	0	0.649638	638
CAALFM_C503960WA	2	2	1	0	0	129
CAALFM_C305430WA	2	2	1	0	0.591673	595
CAALFM_C405690WA	2	2	1	0	0.650022	762
CAALFM_CR01230CA	2	1.9805	1.00985	0	0.869006	875
CAALFM_C306610WA	2	2	1	0	0.985228	363
CAALFM_C108120WA	2	2	1	0	0.995727	703
CAALFM_C600570CA	1	1	1	0	1	663
CAALFM_C503160WA	2	2	1	0	0.918296	1261
CAALFM_C503120WA	2	2	1	0	0.985228	482
CAALFM_C603380WA	2	2	1	0	0.503323	368
CAALFM_C203940CA	2	2	1	0	0.764396	787
CAALFM_C703280CA	2	1.977	1.01163	0	1.66197	571
CAALFM_C208340CA	2	2	1	0	0.918296	146
CAALFM_C603340CA	2	2	1	0	0.684038	684
CAALFM_C501570CA	2	2	1	0	0	679
CAALFM_C501530CA	1	1	1	0	0	481
CAALFM_C206750CA	1	1.97	0.507614	0	0	246
CAALFM_C104980CA	2	2.704	0.739645	0	0.650022	519
CAALFM_C301450CA	2	1.496	1.3369	0	0	1084
CAALFM_C401670CA	1	1	1	0	0.863121	393
CAALFM_C304260WA	2	2	1	0	0	424
CAALFM_C113490CA	2	1.992	1.00402	0	1.16113	704
CAALFM_C602610CA	2	2	1	0	0	508
CAALFM_C702870CA	5	6.25	0.8	0	0.959148	165
CAALFM_C209560CA	2	2	1	0	0.918296	747
CAALFM_C204360WA	2	2	1	0	0.954434	967
CAALFM_CR08030CA	2	2	1	0	0.543564	773
CAALFM_C102510WA	2	2	1	0	0.650022	243
CAALFM_C107790CA	2	1.996	1.002	0	1.29879	309
CAALFM_C603830WA	2	1.97	1.01523	0	1.9183	571
CAALFM_C502750CA	2	1.998	1.001	0	0.543564	1017
CAALFM_C304220CA	2	2	1	0	0.591673	545
CAALFM_CR06480CA	2	2	1	0	0.727397	691
CAALFM_CR06440CA	2	2	1	0	0	740
