species	transcript_id	gene_id	chrom	strand	protein_len	aa	aa_start	aa_end	aa_len	codon_entropy	codon_gini_simpson	n_unique_codons	dna_len	obs_max_nt_homopolymer	obs_risky	random_expected_max_nt_homopolymer	p_random_risky	p_random_safe	random_expected_risky_count	dna_A_frac	dna_T_frac	dna_G_frac	dna_C_frac
Thermococcus_litoralis	gene-OCC_RS00460	NA	NC_022084.1	+	143	L	104	110	6	1.459148	0.611111	3	18	2	0	2.608000	0.000000	1.000000	0.000000	0.055556	0.555556	0.111111	0.277778
Thermococcus_litoralis	gene-OCC_RS00625	NA	NC_022084.1	-	60	G	28	34	6	1.792481	0.666667	4	18	5	0	4.732000	0.028000	0.972000	0.028000	0.055556	0.166667	0.722222	0.055556
Thermococcus_litoralis	gene-OCC_RS01080	NA	NC_022084.1	+	126	E	47	54	7	0.863121	0.408163	2	21	2	0	2.000000	0.000000	1.000000	0.000000	0.571429	0.000000	0.428571	0.000000
Thermococcus_litoralis	gene-OCC_RS02600	NA	NC_022084.1	-	104	E	82	90	8	1.000000	0.500000	2	24	2	0	2.000000	0.000000	1.000000	0.000000	0.500000	0.000000	0.500000	0.000000
Thermococcus_litoralis	gene-OCC_RS02605	NA	NC_022084.1	-	339	E	316	324	8	0.954434	0.468750	2	24	2	0	2.000000	0.000000	1.000000	0.000000	0.458333	0.000000	0.541667	0.000000
Thermococcus_litoralis	gene-OCC_RS03640	NA	NC_022084.1	+	355	G	328	334	6	1.459148	0.611111	3	18	2	0	4.712000	0.026000	0.974000	0.026000	0.166667	0.111111	0.666667	0.055556
Thermococcus_litoralis	gene-OCC_RS06240	NA	NC_022084.1	-	436	T	52	58	6	0.650022	0.277778	2	18	2	0	1.984000	0.000000	1.000000	0.000000	0.611111	0.000000	0.000000	0.388889
Thermococcus_litoralis	gene-OCC_RS06325	NA	NC_022084.1	-	408	G	371	377	6	1.459148	0.611111	3	18	2	0	5.002000	0.042000	0.958000	0.042000	0.055556	0.111111	0.666667	0.166667
Thermococcus_litoralis	gene-OCC_RS06470	NA	NC_022084.1	-	909	G	877	883	6	1.584963	0.666667	3	18	2	0	4.744000	0.046000	0.954000	0.046000	0.111111	0.111111	0.666667	0.111111
Thermococcus_litoralis	gene-OCC_RS07425	NA	NC_022084.1	+	118	E	110	116	6	0.918296	0.444444	2	18	2	0	2.000000	0.000000	1.000000	0.000000	0.555556	0.000000	0.444444	0.000000
Thermococcus_litoralis	gene-OCC_RS08365	NA	NC_022084.1	+	316	L	37	43	6	1.459148	0.611111	3	18	2	0	2.712000	0.000000	1.000000	0.000000	0.000000	0.500000	0.055556	0.444444
Thermococcus_litoralis	gene-OCC_RS08855	NA	NC_022084.1	+	358	G	20	26	6	1.792481	0.666667	4	18	5	0	4.596000	0.032000	0.968000	0.032000	0.166667	0.055556	0.722222	0.055556
Thermococcus_litoralis	gene-OCC_RS10140	NA	NC_022084.1	+	216	E	75	81	6	1.000000	0.500000	2	18	2	0	2.000000	0.000000	1.000000	0.000000	0.500000	0.000000	0.500000	0.000000
Thermococcus_litoralis	gene-OCC_RS10455	NA	NC_022084.1	+	177	K	171	177	6	0.650022	0.277778	2	18	5	0	8.176000	0.342000	0.658000	0.342000	0.722222	0.000000	0.277778	0.000000
Thermococcus_litoralis	gene-OCC_RS11040	NA	NC_022084.1	-	121	E	107	114	7	0.985228	0.489796	2	21	2	0	2.000000	0.000000	1.000000	0.000000	0.523810	0.000000	0.476190	0.000000
Thermococcus_litoralis	gene-OCC_RS11285	NA	NC_022084.1	+	105	L	60	66	6	1.918296	0.722222	4	18	4	0	2.784000	0.000000	1.000000	0.000000	0.055556	0.555556	0.222222	0.166667
Thermococcus_litoralis	gene-OCC_RS11680	NA	NC_022084.1	-	375	T	68	74	6	1.584963	0.666667	3	18	2	0	1.988000	0.000000	1.000000	0.000000	0.444444	0.111111	0.000000	0.444444
Thermococcus_litoralis	gene-OCC_RS11700	NA	NC_022084.1	+	263	L	12	19	7	2.235926	0.775510	5	21	4	0	2.780000	0.000000	1.000000	0.000000	0.095238	0.571429	0.095238	0.238095
