gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
GL50803_0029630	2	2.498	0.800641	0	1.9183	115
GL50803_006650	1	1	1	0	0.650022	851
GL50803_0015013	2	1.984	1.00806	0	1.54879	571
GL50803_004343	2	1.95	1.02564	0	0.918296	612
GL50803_0014647	2	1.994	1.00301	0	0.970951	567
GL50803_003307	2	1.952	1.02459	0	1.45915	414
GL50803_0060603	2	1.946	1.02775	0	2.25163	6956
GL50803_003341	2	1.982	1.00908	0	0.543564	323
GL50803_0088960	2	1.984	1.00806	0	0.650022	209
GL50803_0014018	5	5.384	0.928678	0	1.95021	780
GL50803_00113876	2	2.51	0.796813	0	1.79248	2071
GL50803_0033985	2	1.992	1.00402	0	1.75	1409
GL50803_008850	2	1.958	1.02145	0	1.45915	751
GL50803_0017192	2	1.976	1.01215	0	1	2367
GL50803_00102858	2	2.486	0.804505	0	1.9183	1108
GL50803_003157	2	1.974	1.01317	0	0.863121	691
GL50803_0021082	2	1.998	1.001	0	1.75	2673
GL50803_008627	2	1.99	1.00503	0	1.9357	257
GL50803_0016158	1	1	1	0	0.940286	1136
GL50803_00103074	2	1.97	1.01523	0	1.45915	2183
GL50803_0013262	2	1.986	1.00705	0	1.25163	334
GL50803_0022587	2	1.98	1.0101	0	0.985228	674
GL50803_005488	2	2	1	0	0.992614	140
GL50803_0011566	2	2	1	0	1	266
GL50803_008890	2	1.948	1.02669	0	0.650022	532
GL50803_007411	2	1.96	1.02041	0	0.918296	597
GL50803_0013747	2	1.994	1.00301	0	2.19716	198
GL50803_0038462	2	2	1	0	0.918296	8161
GL50803_009098	2	1.99	1.00503	0	0.991076	465
GL50803_0017060	2	1.952	1.02459	0	1.45915	623
GL50803_0017278	2	2	1	0	0.954434	297
GL50803_003256	2	1.99	1.00503	0	0.918296	405
GL50803_0092498	2	2	1	0	0.940286	898
GL50803_0091398	2	1.988	1.00604	0	1	330
GL50803_008512	2	1.954	1.02354	0	0.985228	518
GL50803_007242	2	6.01	0.332779	0	0.954434	247
GL50803_0017298	1	1	1	0	1	403
GL50803_0012035	2	1.972	1.0142	0	0.985228	231
GL50803_0016966	2	1.992	1.00402	0	1.40564	4561
GL50803_0017337	2	1.962	1.01937	0	1.84237	118
GL50803_007035	2	1.969	1.01574	0	1.53145	512
GL50803_0016067	2	2	1	0	1	321
GL50803_0014230	2	5.474	0.365364	0	0.985228	1500
GL50803_0015270	2	1.964	1.01833	0	0.918296	498
GL50803_004357	2	1.958	1.02145	0	1.25163	661
GL50803_00115239	2	1.98	1.0101	0	1.56128	926
GL50803_008805	2	1.954	1.02354	0	1	936
GL50803_0060596	2	2.506	0.798085	0	1.79248	821
GL50803_0010016	2	2.568	0.778816	0	1.9183	311
GL50803_0017392	2	2	1	0	0.650022	2245
GL50803_00137753	2	2	1	0	0.918296	1453
GL50803_008842	2	1.962	1.01937	0	1.45915	476
GL50803_008405	2	5.01	0.399202	0	0.918296	445
GL50803_009948	2	2.58	0.775194	0	1.79248	846
GL50803_00102654	2	1.946	1.02775	0	2.25163	2729
GL50803_007137	5	5.144	0.972006	0	1.58496	77
GL50803_00114751	2	2	1	0	0	1847
GL50803_003169	1	1.972	0.507099	0	1	564
GL50803_0023884	2	1.944	1.02881	0	1	825
GL50803_0013737	2	2.572	0.777605	0	1.9183	815
GL50803_0015376	5	5.078	0.98464	0	1.45915	2911
GL50803_0011380	2	5.528	0.361795	0	1.14884	493
GL50803_0017510	2	1.948	1.02669	0	0.918296	685
GL50803_004039	2	2.468	0.810373	0	1.79248	695
GL50803_007230	2	1.964	1.01833	0	2.23593	553
GL50803_0016707	2	2	1	0	0.985228	431
