gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
CLASRP	2	1.9954	1.00231	0	1.12484	471
SUPT5H	2	2	1	0	0.959148	1087
ZBTB12	5	5.836	0.856751	0	1.58496	459
NEU3	2	2.331	0.858001	0	2.25163	82
KRT76	2	1.98	1.0101	0	0.543564	86
CCDC27	2	2	1	0	0.863121	656
CRTC1	5	5.9665	0.838012	0	1.6645	634
ZNF830	2	2	1	0	0.764205	372
GUCY2D	2	2.455	0.814664	0	1.29879	1103
RBL2	5	6.219	0.803988	0	1.90564	1090
RALBP1	5	7.66725	0.652124	0	0.918296	655
DYRK1A	2	1.9996	1.0002	0	0.890492	754
PACS1	2	1.935	1.03359	0	0.729574	963
RBBP6	5	6.849	0.730034	0	1.02541	1758
INA	2	2	1	0	0	499
PRELID1	2	1.907	1.04877	0	0.650022	208
DRG1	2	4.998	0.40016	0	0.650022	367
TNFSF9	1	2.428	0.411862	0	0.591673	254
SOCS1	2	1.978	1.01112	0	1.14884	211
POLGARF	2	2	1	0	0.721928	260
ZNF839	6	5.46975	1.09694	0	0.43156	617
PRPF38A	2	2	1	0	1	312
PRPF38B	2	1.96533	1.01764	0	1.45915	203
OTP	2	1.982	1.00908	0	0.811278	177
ZNF526	5	5.593	0.893975	0	1.45915	670
VPS35L	2	1.9745	1.01291	0	0.591673	870
CD300A_1	2	2.30933	0.866051	0	1.45915	150
SMYD5	2	2	1	0	0.94566	418
HASPIN	2	1.998	1.001	0	1.45915	798
RET	2	2.40185	0.832691	0	0.591673	611
COBL	5	6.032	0.828912	0	1.44882	161
SOCS7	5	4.1855	1.1946	0	1.35105	576
PCDHA5_1	5	8.772	0.569995	0	0.811278	936
EPHB1	2	2.304	0.868056	0	1.58496	984
CORT	2	2.318	0.862813	0	0.918296	105
DNAJC21	2	1.9988	1.0006	0	0.271782	540
RAX	3	5.998	0.500167	0	1.6645	346
BRD2_1	2	1.99836	1.00082	0	1.46365	754
BRD2_2	2	1.9985	1.00075	0	1.51819	327
BRD2_3	2	1.99818	1.00091	0	1.46365	754
EPHB6	2	1.9995	1.00025	0	0.811278	990
LARP1B	2	6.25308	0.319843	0	0.811278	536
BRD2_4	2	2	1	0	0.918296	566
BRD2_5	2	1.99836	1.00082	0	1.46365	754
RIMBP3	2	5.652	0.353857	0	1	1639
MYBPC2	5	7.64	0.65445	0	0.918296	1141
BRD2_6	2	1.99873	1.00064	0	1.46365	754
H2AL3	2	2	1	0	0.612593	148
TMED3	2	2.4075	0.830737	0	1.14884	146
TUSC3	2	2.38867	0.837287	0	1.37878	316
CSRNP1	2	2	1	0	0.863121	329
CCNI	2	2	1	0	0.503258	363
FUS	2	5.44706	0.367171	0	1.07745	321
STIM1	2	2	1	0	0.503258	791
CCNK	6	5.59267	1.07283	0	1.25163	580
