gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
LOC101741479	2	2	1	0	1.24246	681
LOC119628357	2	1.966	1.01729	0	1.42565	787
LOC101745439	2	1.5	1.33333	0	0.295837	322
LOC134201500	3	4.166	0.720115	0	0.650022	403
Rsf1	2	5.16	0.387597	0	0.970951	144
LOC134201504	2	4.954	0.403714	0	1	219
LOC101746702	2	1.984	1.00806	0	0	750
LOC101742702	5	5.28533	0.946014	0	1.1075	681
LOC101746785	2	1.986	1.00705	0	1.79248	679
LOC101742128	5	4.714	1.06067	0	1.79248	79
LOC101739808	2	1.944	1.02881	0	1.25163	755
LOC101735537	5	4.3	1.16279	0	0.918296	4107
Rel	2	1.982	1.00908	0	0.650022	937
LOC110386536	5	5.788	0.863856	0	1.52193	657
LOC101743700	2	1.966	1.01729	0	1.94462	683
LOC101736072	5	4.64738	1.07588	0	1.38613	400
LOC101744864	2	1.9505	1.02538	0	1.9183	1013
LOC101743706	2	1.956	1.02249	0	1.9183	1156
LOC101744825	5	5.378	0.929714	0	0.591673	539
LOC105841518	2	1.97	1.01523	0	1.58496	1280
LOC101743162	2	1.99175	1.00414	0	1.29453	1768
LOC101740281	6	4.804	1.24896	0	1	1394
LOC101740241	2	4.778	0.418585	0	1.40564	523
LOC101744202	5	5.343	0.935804	0	1.61719	794
Chi	2	1.984	1.00806	0	0.650022	528
LOC101743168	2	1.96	1.02041	0	1.84237	1046
LOC101740205	5	3.938	1.26968	0	1.44021	442
LOC101737654	2	5.242	0.381534	0	1.56128	828
LOC101737072	2	1.988	1.00604	0	1.55666	655
SC1	5	5.098	0.980777	0	1.74462	2180
LOC101745821	2	1.986	1.00705	0	1.45915	441
LOC101741823	2	3.3802	0.591681	0	1.85539	1044
LOC101737076	2	1.994	1.00301	0	1.25163	157
LOC101741824	5	4.5036	1.11022	0	1.18501	531
LOC101745865	8	5.37067	1.48957	0	1.27833	1530
LOC101741866	5	5.06667	0.986842	0	1.55666	521
Fkbp45	2	1.5	1.33333	0	0.325011	402
LOC101741244	2	1.987	1.00654	0	0.918296	193
LOC101741209	5	4.818	1.03778	0	0.918296	633
RpLP2	2	1.995	1.00251	0	1.84237	112
LOC101738071	2	1.985	1.00756	0	1.79248	2178
SCM	2	4.928	0.405844	0	1.45915	641
LOC101746864	2	2.4888	0.8036	0	0.863121	624
LOC119629702	1	1	1	0	0.985228	100
LOC101746595	2	2	1	0	1	1447
LOC101742281	2	5.2895	0.378108	0	1.25884	4216
LOC101742556	5	4.22504	1.18342	0	1.9183	56
LOC101746597	2	1.9795	1.01036	0	1.5079	949
LOC101742244	2	5.143	0.388878	0	1.37878	1025
LOC101746518	5	4.876	1.02543	0	0.918296	1047
LOC101746519	2	1.9395	1.03119	0	1.45915	438
LOC101739696	2	4.8215	0.414809	0	0.918296	583
LOC101739615	2	1.987	1.00654	0	1.45915	21
LOC101736774	1	1	1	0	0.918296	281
LOC101739343	5	4.8572	1.0294	0	1	1005
LOC101735659	2	4.138	0.483325	0	0.918296	128
LOC101743860	5	4.91133	1.01805	0	0.918296	4345
LOC101736464	5	3.568	1.40135	0	1.48165	260
LOC101735306	2	5.136	0.389408	0	1.55666	1116
LOC101744980	2	4.142	0.482859	0	0.650022	1377
LOC100302602	2	4.47533	0.446894	0	1.44882	547
LOC101744940	5	4.98267	1.00348	0	1	338
LOC101736112	2	1.5	1.33333	0	1.69377	1560
LOC105841947	1	1	1	0	0	491
LOC101736469	5	3.429	1.45815	0	1.18872	400
LOC101744944	5	3.42392	1.46032	0	0.563619	2161
LOC101744630	5	5.204	0.960799	0	1.44882	1279
LOC101736159	1	1	1	0	0.792852	607
LOC101744674	2	2.38267	0.839396	0	1.9183	255
Ptx1	2	1.994	1.00301	0	1.95021	196
LOC101737730	1	1.983	0.504286	0	0.918296	263
LOC101740053	5	4.896	1.02124	0	1.58496	573
LOC101740369	5	4.914	1.0175	0	1.45915	634
LOC101744329	5	4.404	1.13533	0	1.9183	1127
LOC101744016	3	5.387	0.556896	0	1.54879	421
LOC101745980	5	4.492	1.11309	0	1.49572	204
LOC101745322	2	1.986	1.00705	0	1.95021	1596
LOC101745679	6	3.35341	1.78922	0	0.855433	1974
LOC100101161	2	2	1	0	1	22
LOC101745367	8	10.629	0.752658	0	0.991076	757
LOC101745094	2	4.867	0.410931	0	0	432
LOC692913	2	2	1	0	0.951762	355
LOC101738738	1	1	1	0	0	694
LOC101738424	2	1.963	1.01885	0	1.79619	1768
LOC134201704	1	1.966	0.508647	0	0.591673	365
LOC101746981	2	1.984	1.00806	0	0.650022	367
LOC101746943	2	2	1	0	1.4183	544
LOC101746904	5	5.24076	0.95406	0	1.49299	1323
LOC101742090	2	1.976	1.01215	0	1.90564	160
LOC101742325	5	4.27333	1.17005	0	0.918296	3013
LOC101742368	2	1.99788	1.00106	0	0.497015	484
LOC101746099	2	1.9955	1.00226	0	0.591673	877
LOC101739423	2	2	1	0	0	875
LOC101739154	1	1	1	0	0.918296	249
LOC101736506	2	1.988	1.00604	0	1.58496	407
LOC105841711	2	1.976	1.01215	0	1.25163	354
LOC105841715	5	5.089	0.982511	0	1.57248	1459
LOC101744752	5	9.635	0.518941	0	0.78845	510
LOC100272001	2	1.98367	1.00823	0	1.369	1439
LOC101743320	2	2	1	0	0.918296	579
LOC101740714	5	4.35424	1.14831	0	0.992614	1043
LOC101740401	9	10.376	0.867386	1	0.811278	553
LOC101747010	2	3.339	0.598982	0	1.22219	2956
LOC101743051	1	1	1	0	1	547
LOC101747012	5	6.18	0.809061	0	1.86763	4907
LOC101747095	5	5.522	0.905469	0	1.06128	492
LOC101740131	1	1	1	0	0.918296	634
LOC101744446	2	2	1	0	0.918296	1136
LOC101743328	2	2	1	0	0.94566	645
LOC101740408	8	9.9288	0.805737	0	0.889118	473
CPR148	2	1.974	1.01317	0	1.25163	363
LOC101744176	5	5.152	0.970497	0	1.55666	656
LOC101743059	8	8.744	0.914913	0	1	1035
Rbmx2	8	8.52	0.938967	0	0.918296	34
LOC101737502	2	2	1	0	0.591673	1663
LOC110384856	5	4.846	1.03178	0	1.9183	416
Tra2	2	4.50922	0.443535	0	0	274
LOC134199016	5	3.364	1.48633	0	1.22003	585
LOC101745751	1	1	1	0	0.650022	230
LOC101745400	2	1.98575	1.00718	0	0	1031
LOC101745170	2	1.916	1.04384	0	1.79248	192
LOC101741718	5	4.827	1.03584	0	0.918296	96
LOC100101201	1	1.9972	0.500701	0	0.954434	370
LOC101745449	2	1.9952	1.00241	0	0.612197	922
Bmptp-Z	2	4.7605	0.420124	0	0.918296	448
LOC101741135	6	9.464	0.633981	0	0.985228	642
LOC101738584	2	1.934	1.03413	0	1.45915	616
LOC134201556	6	5.12	1.17188	0	0.985228	177
LOC101746710	2	1.989	1.00553	0	2.23593	1757
LOC101746441	2	1.999	1.0005	0	2.15591	889
