gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
ANIA_04955	2	1.968	1.01626	0	0.918296	451
ANIA_03669	2	1.996	1.002	0	1.83659	396
ANIA_04280	2	1.968	1.01626	0	0.918296	320
ANIA_01605	1	1	1	0	1	344
ANIA_08753	2	1.996	1.002	0	0.764205	859
ANIA_05093	2	2	1	0	0.543564	384
ANIA_02431	2	1.998	1.001	0	0.970951	473
ANIA_02184	5	7.302	0.684744	0	0.863121	397
ANIA_07468	2	2	1	0	1	702
ANIA_06195	2	1.992	1.00402	0	1.97494	416
ANIA_00561	2	1.964	1.01833	0	0.863121	756
ANIA_07041	2	1.978	1.01112	0	1.45915	821
ANIA_03031	2	2.528	0.791139	0	1.5	27
ANIA_07256	2	1.952	1.02459	0	0.650022	302
ANIA_01148	5	6.658	0.750976	0	0.918296	649
ANIA_02434	3	4.998	0.60024	0	1.9183	384
ANIA_04973	2	1.972	1.0142	0	0.918296	510
ANIA_02189	3	5.508	0.544662	0	1.14884	267
ANIA_03248	2	1.97	1.01523	0	1.9183	514
ANIA_05133	2	2	1	0	1.61719	388
ANIA_04535	2	1.978	1.01112	0	1.45915	723
ANIA_06675	5	4.94	1.01215	0	1.25163	1173
ANIA_09372	2	4.52	0.442478	0	1.45915	625
ANIA_05822	2	1.96	1.02041	0	2.25163	1050
ANIA_10736	2	1.988	1.00604	0	1.45915	473
ANIA_01200	2	2	1	0	1	1109
ANIA_02226	5	6.152	0.812744	0	1.49492	2429
ANIA_02701	5	5.336	0.937031	0	1.56688	1570
ANIA_02895	5	3.434	1.45603	0	2.02206	1478
ANIA_11563	2	4.85	0.412371	0	0.918296	79
ANIA_00143	2	1.996	1.002	0	0.863121	148
ANIA_02455	2	2	1	0	0.918296	422
ANIA_09149	2	2	1	0	0.863121	1506
ANIA_08791	2	1.998	1.001	0	0.764205	490
ANIA_09377	2	1.984	1.00806	0	1.73748	274
ANIA_07526	2	2	1	0	0	576
ANIA_03495	1	2	0.5	0	0	1480
ANIA_06694	1	1	1	0	0.992614	993
ANIA_00359	2	2	1	0	0.918296	738
ANIA_02243	2	2	1	0	1.29546	454
ANIA_03743	5	6.083	0.821963	0	1.64395	1202
ANIA_00620	5	5.046	0.990884	0	1.45915	357
ANIA_11353	2	2	1	0	0.258019	42
ANIA_07541	2	1.984	1.00806	0	1.39215	257
ANIA_04556	2	2.394	0.835422	0	1.25163	235
ANIA_10295	2	1.928	1.03734	0	1.9183	469
ANIA_04570	2	1.976	1.01215	0	1.25163	233
ANIA_05597	2	2	1	0	0.940286	162
ANIA_04571	2	1.946	1.02775	0	1.9183	314
ANIA_10103	2	2	1	0	0.951762	297
ANIA_00850	2	2	1	0	0.650022	621
ANIA_01221	5	5.124	0.9758	0	1.45915	927
ANIA_02935	2	1.97	1.01523	0	1.79248	79
ANIA_05631	1	1	1	0	1	1084
ANIA_05170	2	1.98	1.0101	0	0.918296	713
ANIA_10758	2	2	1	0	0.918296	479
ANIA_01437	2	1.992	1.00402	0	0.591673	1180
ANIA_03074	2	5.178	0.38625	0	1.55666	506
ANIA_10546	2	2	1	0	1.39113	368
ANIA_00165	2	2	1	0	0.881291	841
ANIA_00412	1	1	1	0	0.918296	731
ANIA_07547	2	1.992	1.00402	0	2.25163	1630
ANIA_03977	2	1.998	1.001	0	1.53049	379
ANIA_00854	3	5.104	0.587774	0	1.79248	1698
ANIA_00414	2	1.986	1.00705	0	1.45915	981
ANIA_08836	5	4.784	1.04515	0	1.45915	825
ANIA_09434	1	1	1	0	0.995727	69
ANIA_06310	2	2	1	0	0.918296	4917
ANIA_00396	2	1.976	1.01215	0	1.44882	339
ANIA_01669	2	2	1	0	0.918296	603
ANIA_05638	2	1.994	1.00301	0	1.84237	340
ANIA_05211	2	1.986	1.00705	0	2.25163	64
ANIA_00204	1	1	1	0	0.591673	778
ANIA_10339	5	5.01	0.998004	0	1.45915	491
ANIA_03094	2	1.996	1.002	0	0.985228	824
ANIA_07566	2	1.946	1.02775	0	1.45915	723
ANIA_01458	1	1	1	0	0.918296	363
ANIA_08412	2	1.95	1.02564	0	1.9183	3930
ANIA_09451	2	5.174	0.386548	0	1.25163	216
ANIA_11180	2	1.94	1.03093	0	1.45915	559
ANIA_08201	1	1	1	0	1	818
ANIA_03820	2	1.984	1.00806	0	0.918296	295
ANIA_10144	1	1	1	0	0.811278	193
ANIA_04862	2	2	1	0	1	417
ANIA_08205	1	1	1	0	0.650022	1136
ANIA_02979	1	1.992	0.502008	0	0	382
ANIA_02111	1	1	1	0	0	313
ANIA_04637	2	1.972	1.0142	0	1.95021	812
ANIA_05236	2	1.982	1.00908	0	1.45915	399
ANIA_04865	5	4.704	1.06293	0	1.45915	524
ANIA_03826	2	2.384	0.838926	0	1.58496	407
ANIA_06350	2	2	1	0	0.591673	299
ANIA_08663	2	5.952	0.336022	0	1.58496	730
ANIA_04639	3	4.952	0.605816	0	1.45915	1431
ANIA_01282	2	4.916	0.406835	0	0.985228	347
ANIA_02782	1	1.98	0.505051	0	0.985228	437
ANIA_10165	2	1.946	1.02775	0	1.9183	260
ANIA_07626	5	4.972	1.00563	0	1.25163	798
ANIA_04193	5	5.38	0.929368	0	1.55666	697
ANIA_00933	2	1.992	1.00402	0	0.918296	282
ANIA_03844	2	1.96	1.02041	0	1.45915	1114
ANIA_04001	5	5.062	0.987752	0	1.45915	672
ANIA_05929	2	3.577	0.559128	0	1.48187	412
ANIA_00033	1	1.988	0.503018	0	0	40
ANIA_00709	2	1.98	1.0101	0	0.951762	703
ANIA_06370	5	3.462	1.44425	0	1.28802	638
ANIA_10858	3	6.616	0.453446	0	0.650022	167
ANIA_01309	1	1	1	0	0	717
ANIA_10645	2	1.948	1.02669	0	1.45915	357
ANIA_04887	5	3.742	1.33618	0	1.05011	1558
ANIA_00725	5	3.405	1.46843	0	1.5079	405
ANIA_02135	1	1	1	0	1	603
ANIA_01764	2	1.988	1.00604	0	1.45915	307
ANIA_00726	2	1.96	1.02041	0	1.45915	451
ANIA_01090	2	2	1	0	0.970951	331
ANIA_01324	5	3.856	1.29668	0	1.69812	981
ANIA_00513	1	1	1	0	0.918296	184
ANIA_08246	3	5.934	0.505561	0	1.28067	516
ANIA_00728	2	1.974	1.01317	0	0.954434	680
ANIA_06623	1	1	1	0	0.954434	576
ANIA_01995	2	1.956	1.02249	0	1.79248	812
ANIA_06410	2	4.635	0.431499	0	1.22957	786
ANIA_09074	2	1.96	1.02041	0	1.79248	257
ANIA_05277	2	1.996	1.002	0	0.543564	111
ANIA_07223	2	5.094	0.392619	0	1.58496	423
ANIA_05965	2	2	1	0	1.89546	210
ANIA_06852	2	1.99	1.00503	0	0.591673	139
ANIA_00056	2	1.95	1.02564	0	1.45915	521
ANIA_00283	2	2	1	0	0.543564	186
ANIA_01343	2	1.958	1.02145	0	1.9183	515
ANIA_04480	3	4.62533	0.648602	0	1.16999	617
ANIA_11050	2	1.952	1.02459	0	1.45915	148
ANIA_01571	2	1.944	1.02881	0	2.25163	510
ANIA_05528	2	1.958	1.02145	0	1.45915	721
ANIA_04696	2	1.978	1.01112	0	1.9183	1305
ANIA_07915	2	1.944	1.02881	0	1	634
