gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
YER132C	2	1.864	1.07296	0	0.918296	1753
YBR187W	2	1.906	1.04932	0	1.58496	280
YPR104C	2	1.994	1.00301	0	1.06128	936
YKL025C	2	2	1	0	0.918296	679
YAL035W	2	2	1	0	0	1002
YOR134W	1	1.934	0.517063	0	0	409
YJR091C	2	2	1	0	0.811278	1091
YLR223C	1	1	1	0	0.954434	1085
YMR263W	2	2	1	0	0.77935	201
YMR124W	2	2	1	0	0.271782	943
YGR130C	2	1.995	1.00251	0	1.54496	816
YMR075C-A	2	2.656	0.753012	0	1.9183	121
YKR092C	2	1.99943	1.00029	0	1.76408	406
YHR139C	2	1.986	1.00705	0	1.45915	326
YHR135C	2	2	1	0	0.972755	538
YHR131C	2	1.33333	1.5	0	0.982033	850
YOL006C	2	2	1	0	0.918296	769
YDL092W	5	9.218	0.542417	0	0.650022	146
YIL123W	2	1.997	1.0015	0	0.770178	476
YOL091W	2	1.996	1.002	0	0.954434	609
YHR197W	2	2	1	0	0.954434	763
YKR096W	2	2	1	0	0.878417	1195
YER075C	2	1.66067	1.20434	0	0.903107	928
YER017C	2	3.702	0.540249	0	1.45915	761
YDL161W	2	2	1	0	0.881291	454
YDR170C	2	2	1	0	0.371232	2009
YAL043C	2	1.988	1.00604	0	1.45915	785
YGL164C	2	2	1	0	0	440
YDL234C	2	1.994	1.00301	0	1.5	746
YNL298W	2	2	1	0	0.721928	842
YHR200W	2	1.998	1.001	0	0.918296	268
YPL130W	2	2	1	0	0.650022	223
YML074C	2	2	1	0	0.459148	411
YDR174W	2	10.904	0.183419	0	0	246
YCL049C	2	2	1	0	0.985228	312
YLR104W	2	2	1	0	0.991076	131
YMR109W	5	4.872	1.02627	0	1.53049	1219
YJL148W	5	9.156	0.54609	0	0.650022	233
YJL144W	2	2	1	0	0.985228	104
YGL237C	2	2	1	0	0.985228	265
YJR045C	2	2	1	0	0	654
YGR119C	2	2	1	0	0.591673	541
YKL172W	2	2	1	0	0.439497	427
YPL203W	2	1.998	1.001	0	0.918296	380
YPL042C	2	1.97	1.01523	0	1.97494	555
YBR049C	2	1.96933	1.01557	0	0.91195	810
YHR143W	2	1.989	1.00553	0	0.459148	325
YKR042W	2	2	1	0	0.996792	365
YCR077C	2	4.148	0.48216	0	0.918296	796
YOR373W	2	2	1	0	0.413817	851
YPL146C	2	2	1	0	0	455
YDL173W	3	10.72	0.279851	0	0.543564	295
YNR041C	2	1.996	1.002	0	0.811278	372
YNL271C	5	5.081	0.984058	0	1.42715	1953
YDR186C	1	1	1	0	0.970951	877
YDL146W	2	4.898	0.40833	0	1.22439	491
YDR443C	2	2	1	0	0.94566	1420
YMR044W	2	2	1	0	0.995538	475
YGL014W	2	2	1	0	0.721928	888
YJL187C	2	2	1	0	0.918296	819
YHR082C	2	2	1	0	0.918296	1029
YOR123C	2	1.66667	1.2	0	0.701605	464
YJL048C	5	3.912	1.27812	0	1.44882	396
YPL277C	2	4.516	0.44287	0	0	487
YBL052C	2	1.998	1.001	0	0.591673	831
YMR229C	2	1.992	1.00402	0	0.985228	1729
YNR014W	2	1.976	1.01215	0	0.650022	212
YJL129C	5	4.302	1.16225	0	0.79606	1235
YLR278C	2	2	1	0	1.00806	1341
YPR120C	2	2	1	0	0	435
YOR181W	5	4.066	1.22971	0	1.79248	633
YMR179W	2	2	1	0	1	758
YGL172W	2	2	1	0	1	472
YOR154W	2	1.98	1.0101	0	0.650022	587
YOR019W	8	12.05	0.6639	0	0.970951	730
YAL028W	2	2	1	0	1.53049	528
YOR011W	2	1.972	1.0142	0	1.9183	1394
YGR023W	2	1.7952	1.11408	0	0.758285	551
YDR228C	2	2	1	0	0.970951	626
YER129W	2	1.992	1.00402	0	1.56128	1142
YHR186C	2	2	1	0	0.918296	1557
YBL029W	2	1.998	1.001	0	1.95021	376
YHR020W	1	1.95	0.512821	0	0.543564	688
YLR274W	2	2	1	0	1	775
YPL089C	2	1.99133	1.00435	0	1.1291	676
YLR328W	2	1.93	1.03627	0	0.863121	401
YIL112W	1	1.493	0.669792	0	0.325011	1083
YLR055C	1	1	1	0	0.650022	602
YFL025C	4	2.652	1.5083	0	1.9183	1029
YER033C	1	1	1	0	0.684038	1076
YOR389W	2	4.466	0.447828	0	0	624
YPL158C	2	2	1	0	0	758
YLR451W	2	2	1	0	0	886
YNL152W	1	1	1	0	1	409
YNL283C	2	1.984	1.00806	0	1.63963	503
YHL023C	2	1.994	1.00301	0	1.84237	1146
YFL021W	1	1	1	0	1	510
YCR089W	1	1.992	0.502008	0	0	1609
YOR054C	1	1	1	0	0.938932	674
YNL229C	2	2	1	0	0.591673	354
YMR183C	2	2	1	0	1.14884	295
YOR023C	2	1.987	1.00654	0	1.70468	566
YBL091C	5	10.186	0.49087	0	0.863121	421
YGL122C	2	2	1	0	0.845351	525
YGR097W	2	2	1	0	1	1146
YGL180W	2	2	1	0	0.985228	897
YJL083W	2	1.942	1.02987	0	0.863121	604
YLR228C	2	1.998	1.001	0	0.650022	814
YML094W	2	2	1	0	0.918296	163
YIR006C	2	1.999	1.0005	0	0.944624	1480
YBR203W	2	1.99	1.00503	0	1.45915	924
YLL008W	2	2	1	0	0.901177	752
YDL035C	2	2	1	0	0.881291	961
YMR206W	2	1.984	1.00806	0	1.6645	313
YKR066C	1	1.972	0.507099	0	0.503258	361
YIL159W	5	4.901	1.0202	0	1.54436	1375
YEL036C	2	2	1	0	0.94566	500
YDR232W	2	1.958	1.02145	0	1.43552	548
YLR332W	2	1.976	1.01215	0	1.45915	376
YLR436C	2	1.99	1.00503	0	1.55666	1274
YFL033C	2	2	1	0	0.591673	1770
YDR309C	2	1.982	1.00908	0	1.84237	383
YOL030W	2	2	1	0	1.52624	484
YKR062W	1	1	1	0	0.918296	328
YOL138C	1	1	1	0	0.468996	1341
YDR098C	2	2	1	0	0.650022	250
YBR030W	2	2	1	0	1	552
YCR093W	2	1.999	1.0005	0	0.459148	2108
YOR178C	2	1.964	1.01833	0	1.58496	793
YOL130W	2	1.986	1.00705	0	1.14884	859
YMR164C	2	2	1	0	0.649456	758
YHR205W	2	2	1	0	1	824
YJL141C	2	1.999	1.0005	0	0.814945	807
YFR019W	2	2	1	0	0.669293	2278
YDR436W	2	1.992	1.00402	0	2.25	710
YGR070W	2	1.976	1.01215	0	1	1155
YDR409W	2	1.65933	1.2053	0	0.653187	904
YLL043W	2	2	1	0	0.918296	669
YDR505C	2	1.996	1.002	0	0.650022	841
YPR171W	2	1.994	1.00301	0	1.55666	576
YKL096W	2	1.972	1.0142	0	1.79248	239
YIL105C	2	2	1	0	0.930561	686
YJL149W	2	1.5	1.33333	0	0.795837	663
YMR214W	2	3.61	0.554017	0	1	377
YJL118W	2	1.998	1.001	0	0.650022	219
YDL012C	2	1.998	1.001	0	0.650022	107
YGL203C	1	1	1	0	0.991076	729
YML017W	2	2	1	0	0	593
YKL146W	2	2	1	0	1	692
YLR371W	1	1.958	0.510725	0	0.543564	1356
YNL176C	1	1.976	0.506073	0	0	636
YIR010W	1	1	1	0	0.543564	576
YOL011W	2	2	1	0	1.58496	686
YEL044W	2	2	1	0	0.650022	166
YHR117W	2	1.998	1.001	0	0.918296	639
YEL040W	2	2	1	0	1.27291	467
YML113W	2	2	1	0	1	248
YPL016W	2	1.9985	1.00075	0	0.577319	1314
YGR270W	6	9.478	0.633045	0	1	1379
YKL219W	2	2.748	0.727802	0	1.9183	407
YDR475C	2	1.89	1.0582	0	0.650022	876
YGR086C	2	2	1	0	0.918296	339
YPR075C	2	2	1	0	1.57095	360
YAL021C	2	2	1	0	0.723901	837
YBL084C	2	2	1	0	0.413817	758
YBR289W	2	2	1	0	0.711955	905
YOR043W	2	1.994	1.00301	0	0.918296	486
YJL076W	2	1.987	1.00654	0	1.72957	1189
YBR250W	2	1.976	1.01215	0	1.45915	523
YGR159C	2	1.99067	1.00469	0	1.15185	414
YNL088W	6	8.812	0.68089	0	1	1428
YOL081W	2	1.962	1.01937	0	1.58496	3079
YLR390W-A	2	1.994	1.00301	0	0.954434	238
YOL054W	2	2	1	0	1	406
YGL215W	2	1.998	1.001	0	0.591673	452
YJR127C	2	2	1	0	0.721928	1380
YOR382W	2	2	1	0	1.25163	153
YNL157W	2	1.98	1.0101	0	2.25163	168
YDR087C	2	2	1	0	0.985228	278
YDL186W	2	1.998	1.001	0	0.918296	277
YOR359W	2	2	1	0	0.979869	523
YLR425W	3	4.214	0.711913	0	1.25163	1307
YHL020C	2	2	1	0	0.961237	404
YGL058W	1	1	1	0	0.995727	172
YBR150C	2	1.66667	1.2	0	0.398164	1094
YGL150C	2	1.95533	1.02284	0	1.0096	1489
YGR009C	2	1.998	1.001	0	0.825011	651
YML091C	2	2	1	0	0.918296	1202
YJL165C	2	2	1	0	0.991076	855
YHL028W	1	1.98	0.505051	0	0	605
YHL024W	2	2	1	0	0	713
YFR008W	2	2	1	0	0.979869	221
YKL054C	2	1.98567	1.00722	0	0.875543	738
YGL181W	2	2	1	0	0.991076	396
YER165W	2	1.936	1.03306	0	0.954434	577
YMR269W	3	9.9	0.30303	0	0.591673	211
