gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
PF3D7_0529800	18	5.75067	3.13007	1	0.240643	1906
PF3D7_0318300	2	2	1	0	0.591673	958
PF3D7_1022800	2	2	1	0	0	824
PF3D7_0816000	2	2	1	0	0	491
PF3D7_1317000	5	7.66	0.652742	0	0.5	640
PF3D7_1457300	2	2	1	0	0	639
PF3D7_1225200	2	2	1	0	0.383105	1187
PF3D7_0806800	2	1.66667	1.2	0	0.197224	1053
PF3D7_0802800	2	2	1	0	0	604
PF3D7_0503500	2	2	1	0	0	850
PF3D7_0507500	2	1.995	1.00251	0	0	688
PF3D7_1303800	24	3.7695	6.36689	1	0.196935	9271
PF3D7_0419700	2	2	1	0	0	325
PF3D7_0204200	6	13.132	0.456899	0	1	276
PF3D7_0415700	2	2	1	0	0.684038	461
PF3D7_1008500	2	1.5	1.33333	0	0.295837	1296
PF3D7_0917400	2	2	1	0	0	1291
PF3D7_0821600	2	2	1	0	0.445246	674
PF3D7_0614100	2	2	1	0	0.325011	935
PF3D7_0618100	18	13.282	1.35522	1	0	743
PF3D7_1107700	2	2	1	0	0	643
PF3D7_0928800	18	13.062	1.37804	1	0	820
PF3D7_0418000	27	5.336	5.05997	1	0.0937992	4891
PF3D7_1429800	2	2	1	0	0.549175	1370
PF3D7_1425800	20	11.682	1.71204	3	0.279755	966
PF3D7_1218300	2	2	1	0	0	621
PF3D7_1358600	2	2	1	0	0	1005
PF3D7_1126500	6	5.63867	1.06408	0	0.462431	1368
PF3D7_1122500	2	2	1	0	0.0732495	1956
PF3D7_1428100	8	12.848	0.622665	0	0.918296	637
PF3D7_0515400	2	2	1	0	0.271782	761
PF3D7_1104200	8	8.811	0.907956	0	0.5	1426
PF3D7_0212100	2	2	1	0	0.522773	1844
PF3D7_0423600	2	2	1	0	0.940633	1612
PF3D7_0216100	24	16.21	1.48057	1	0	1182
PF3D7_1244500	2	2	1	0	0.503258	810
PF3D7_1037000	5	7.48	0.668449	0	0.771782	2226
PF3D7_1033000	2	2	1	0	0	561
PF3D7_1414900	2	2	1	0	0.468996	1192
PF3D7_0526800	2	2	1	0	0	368
PF3D7_1119600	2	2	1	0	0	1052
PF3D7_1023800	24	18.928	1.26796	1	0.468996	757
PF3D7_1314000	2	2	1	0	0.431561	1205
PF3D7_0405300	2	2	1	0	0	1964
PF3D7_1226200	2	2	1	0	0	583
PF3D7_0529400.1	18	3.24489	5.54719	1	0.0687873	1502
PF3D7_0807800	2	2	1	0	0	481
PF3D7_0508500	21	6.23667	3.36718	1	0	2606
PF3D7_0412700	18	13.21	1.3626	1	0	2277
PF3D7_1005500	2	2	1	0	0.195622	1579
PF3D7_1145800	2	2	1	0	0.543564	915
PF3D7_0918400	18	7.603	2.36749	1	0	1720
PF3D7_1415400	2	2	1	0	0	1474
PF3D7_1411400	2	1.999	1.0005	0	0.368552	2016
PF3D7_1348200	12	14.93	0.803751	1	0.863121	204
PF3D7_1344200	2	2	1	0	0	932
PF3D7_1340200	2	2	1	0	0.918296	58
PF3D7_1116100	24	16.214	1.4802	1	0	1830
PF3D7_1112100	2	2	1	0	0.940286	2460
PF3D7_0626500	2	2	1	0	0	947
PF3D7_0601900	1	1	1	0	0.985228	128
PF3D7_1426800	2	2	1	0	0.320956	2082
PF3D7_1219300	2	2	1	0	0.985228	2256
PF3D7_0302600	2	1.99067	1.00469	0	0.270426	1365
PF3D7_1359600	2	2	1	0	0	2025
PF3D7_1123500	2	1.99889	1.00056	0	0.277518	1336
PF3D7_1363000	27	11.6353	2.32052	2	0	1173
PF3D7_0804300	2	2	1	0	0	890
PF3D7_0800300	2	2	1	0	0.979869	2980
PF3D7_0505000	2	2	1	0	0.108337	2975
