gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
LOC112286194	2	1.942	1.02987	0	1.84237	281
LOC112276954	2	1.969	1.01574	0	1.05737	270
LOC112290674	2	1.99378	1.00312	0	1.02668	2146
LOC112294360	2	1.66567	1.20072	0	0.707519	197
LOC112272643	2	1.992	1.00402	0	1.9183	373
LOC141046419	2	1.988	1.00604	0	0.918296	264
LOC112276959	2	1.954	1.02354	0	1.44882	834
LOC112290324	1	1	1	0	1	1398
LOC112284810	2	4.94533	0.404422	0	1.43191	170
LOC112280894	5	8.197	0.609979	0	1.832	122
LOC112284580	5	5.536	0.903179	0	1.89106	836
LOC112276068	2	4.768	0.419463	0	1	164
LOC112284856	5	8.329	0.600312	0	0.543564	636
LOC112283426	2	1.988	1.00604	0	1.37878	73
LOC112291901	1	1	1	0	0.918296	513
LOC112280231	3	4.546	0.659921	0	0.650022	217
LOC112277992	1	1.9405	0.515331	0	1.25163	59
LOC112277993	2	4.716	0.424088	0	0.650022	447
LOC112277952	2	2	1	0	0.459148	165
LOC112273993	2	1.952	1.02459	0	0.650022	552
LOC112284548	5	7.15	0.699301	0	1.81318	120
LOC112287157	2	4.93333	0.405405	0	1.37878	1892
LOC141044889	1	1.924	0.519751	0	0	115
LOC141044808	2	5.23	0.382409	0	0	29
LOC112291632	2	4.87	0.410678	0	0.931561	1106
LOC112291908	2	1.998	1.001	0	0.811278	439
LOC112291909	2	4.972	0.402253	0	1.40414	1005
LOC112291676	2	4.652	0.429923	0	0.650022	115
LOC112295637	2	1.996	1.002	0	0.503258	715
LOC112277689	2	2	1	0	1	206
LOC112292484	5	5.788	0.863856	0	1.43537	779
LOC112291093	3	5.492	0.546249	0	1.75272	219
LOC112277609	3	4.65	0.645161	0	1.9183	47
LOC112281891	5	5.134	0.973899	0	1.54879	515
LOC112291014	2	2	1	0	0.918296	2054
LOC112289852	2	4.794	0.417188	0	0	580
LOC112277339	5	4.908	1.01874	0	1.55666	296
LOC112289854	2	2.66	0.75188	0	0.650022	553
LOC112285895	5	4.696	1.06474	0	1.37878	573
LOC112285540	2	1.5	1.33333	0	0.951762	1466
LOC112289500	3	4.788	0.626566	0	1.25163	168
LOC112289541	2	1.982	1.00908	0	0.995035	2149
LOC112288739	5	7.328	0.682314	0	0.756571	592
LOC112285542	2	1.958	1.02145	0	1.45915	349
LOC112289271	2	1.999	1.0005	0	1.49261	296
LOC112285586	2	3.972	0.503525	0	1.54564	1451
LOC141045808	2	1.99967	1.00017	0	0.325011	123
