gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
ENSDARG00000115525	2	1.972	1.0142	0	0.985228	236
ENSDARG00000062084	1	1.962	0.509684	0	1	294
ENSDARG00000041402	2	2	1	0	0.650022	669
ENSDARG00000044092	2	4.374	0.457247	0	0.918296	107
ENSDARG00000059722	2	1.94	1.03093	0	1.9183	415
ENSDARG00000078560	2	5.016	0.398724	0	1.55666	970
ENSDARG00000077442	2	1.962	1.01937	0	1.79248	1015
ENSDARG00000100620	2	4.375	0.457143	0	0.918296	866
ENSDARG00000096280	2	1.97	1.01523	0	1.37878	44
ENSDARG00000077489	2	1.994	1.00301	0	1.96096	781
ENSDARG00000100666	2	1.957	1.02197	0	0.954434	1185
ENSDARG00000012593	2	1.968	1.01626	0	1	2010
ENSDARG00000108395	2	1.97067	1.01488	0	1.55666	238
ENSDARG00000016513	2	2	1	0	0.918296	597
ENSDARG00000100082	2	1.978	1.01112	0	0.959148	676
ENSDARG00000100315	5	8.074	0.619272	0	0.650022	613
ENSDARG00000104316	2	1.978	1.01112	0	0.918296	222
ENSDARG00000023914	2	1.975	1.01266	0	1.38678	736
ENSDARG00000038239	1	1	1	0	0.954434	915
ENSDARG00000042484	2	1.969	1.01574	0	1.56794	811
ENSDARG00000031891	2	1.97	1.01523	0	1.84237	460
ENSDARG00000031894	3	4.276	0.70159	0	1.9183	364
ENSDARG00000013822	2	1.952	1.02459	0	1.45915	108
ENSDARG00000097284	2	1.994	1.00301	0	2.25163	512
ENSDARG00000075211	2	1.984	1.00806	0	1.4953	722
ENSDARG00000020107	2	1.941	1.0304	0	1.79248	71
ENSDARG00000102787	2	1.992	1.00402	0	1.29879	1476
ENSDARG00000017595	3	5.098	0.588466	0	1.95021	54
ENSDARG00000079257	2	2	1	0	0.650022	1440
ENSDARG00000105398	2	1.952	1.02459	0	0.918296	657
ENSDARG00000102434	2	2	1	0	1	666
ENSDARG00000102436	1	1	1	0	0.863121	1991
ENSDARG00000006924	2	2	1	0	1	1120
ENSDARG00000068628	5	4.224	1.18371	0	0.650022	209
