species	transcript_id	gene_id	chrom	strand	protein_len	aa	aa_start	aa_end	aa_len	codon_entropy	codon_gini_simpson	n_unique_codons	dna_len	obs_max_nt_homopolymer	obs_risky	random_expected_max_nt_homopolymer	p_random_risky	p_random_safe	random_expected_risky_count	dna_A_frac	dna_T_frac	dna_G_frac	dna_C_frac
Streptococcus_pneumoniae	gene-AT689_RS00260	NA	NZ_LN831051.1	-	629	G	618	624	6	1.459148	0.611111	3	18	2	0	3.898000	0.004000	0.996000	0.004000	0.111111	0.055556	0.666667	0.166667
Streptococcus_pneumoniae	gene-AT689_RS00610	NA	NZ_LN831051.1	-	464	S	328	334	6	1.584963	0.666667	3	18	2	0	1.964000	0.000000	1.000000	0.000000	0.333333	0.222222	0.222222	0.222222
Streptococcus_pneumoniae	gene-AT689_RS00640	NA	NZ_LN831051.1	+	719	S	668	674	6	1.251629	0.500000	3	18	2	0	1.956000	0.000000	1.000000	0.000000	0.333333	0.277778	0.111111	0.277778
Streptococcus_pneumoniae	gene-AT689_RS00840	NA	NZ_LN831051.1	+	111	L	31	37	6	1.459148	0.611111	3	18	2	0	2.860000	0.000000	1.000000	0.000000	0.166667	0.388889	0.000000	0.444444
Streptococcus_pneumoniae	gene-AT689_RS00850	NA	NZ_LN831051.1	-	633	L	140	146	6	1.459148	0.611111	3	18	2	0	2.764000	0.000000	1.000000	0.000000	0.055556	0.444444	0.111111	0.388889
Streptococcus_pneumoniae	gene-AT689_RS02775	NA	NZ_LN831051.1	+	273	K	99	105	6	1.000000	0.500000	2	18	6	0	10.162000	0.574000	0.426000	0.574000	0.833333	0.000000	0.166667	0.000000
Streptococcus_pneumoniae	gene-AT689_RS02775	NA	NZ_LN831051.1	+	273	S	159	167	8	1.750000	0.656250	4	24	2	0	1.986000	0.000000	1.000000	0.000000	0.208333	0.416667	0.166667	0.208333
Streptococcus_pneumoniae	gene-AT689_RS02940	NA	NZ_LN831051.1	+	523	S	146	152	6	1.918296	0.722222	4	18	2	0	1.962000	0.000000	1.000000	0.000000	0.166667	0.444444	0.111111	0.277778
Streptococcus_pneumoniae	gene-AT689_RS03375	NA	NZ_LN831051.1	+	821	S	793	804	11	2.118078	0.743802	5	33	2	0	2.000000	0.000000	1.000000	0.000000	0.242424	0.272727	0.212121	0.272727
Streptococcus_pneumoniae	gene-AT689_RS04935	NA	NZ_LN831051.1	+	219	E	170	176	6	1.000000	0.500000	2	18	2	0	2.000000	0.000000	1.000000	0.000000	0.500000	0.000000	0.500000	0.000000
Streptococcus_pneumoniae	gene-AT689_RS06030	NA	NZ_LN831051.1	+	204	E	91	97	6	0.650022	0.277778	2	18	2	0	2.000000	0.000000	1.000000	0.000000	0.611111	0.000000	0.388889	0.000000
Streptococcus_pneumoniae	gene-AT689_RS06075	NA	NZ_LN831051.1	+	158	S	81	87	6	1.918296	0.722222	4	18	2	0	1.958000	0.000000	1.000000	0.000000	0.222222	0.388889	0.111111	0.277778
Streptococcus_pneumoniae	gene-AT689_RS07140	NA	NZ_LN831051.1	+	872	A	756	762	6	1.459148	0.611111	3	18	2	0	1.890000	0.000000	1.000000	0.000000	0.166667	0.055556	0.333333	0.444444
Streptococcus_pneumoniae	gene-AT689_RS08915	NA	NZ_LN831051.1	-	313	S	303	309	6	1.584963	0.666667	3	18	2	0	1.964000	0.000000	1.000000	0.000000	0.333333	0.222222	0.222222	0.222222
Streptococcus_pneumoniae	gene-AT689_RS10010	NA	NZ_LN831051.1	-	447	K	401	407	6	0.918296	0.444444	2	18	6	0	9.826000	0.528000	0.472000	0.528000	0.888889	0.000000	0.111111	0.000000
