gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
LOC100178334	2	1.853	1.07933	0	1.25163	914
LOC100178376	2	1.9876	1.00624	0	0.918296	567
LOC100182850	2	1.98286	1.00865	0	1.52169	1442
LOC100186812	5	9.732	0.513769	0	0.918296	1154
LOC100185461	1	1	1	0	0	1730
LOC100182895	5	4.632	1.07945	0	0.985228	586
LOC108950293	2	1.994	1.00301	0	1.45915	531
LOC100185737	6	9.528	0.629723	0	0.918296	455
LOC144744310	2	1.998	1.001	0	0.826475	176
LOC100182819	5	4.408	1.1343	0	1.25163	453
LOC100186272	2	1.989	1.00553	0	0.959148	607
LOC144744629	2	2	1	0	0.650022	512
LOC100185156	2	2	1	0	0.209364	1613
LOC100179914	3	4.252	0.70555	0	1.9183	455
LOC104266014	2	1.86	1.07527	0	1.45915	572
LOC100179685	6	4.372	1.37237	0	1.45915	321
LOC100175606	2	1.833	1.09111	0	1.22125	1088
LOC100180971	2	2	1	0	0	811
LOC144749665	1	1	1	0	0.985228	961
LOC100187501	2	2	1	0	0.918296	1012
LOC100180937	1	1	1	0	0.650022	1042
LOC100180623	2	2	1	0	1	654
LOC494426	2	1.998	1.001	0	1.24866	483
LOC100187235	2	2	1	0	0.650022	541
LOC100180042	5	10.22	0.489237	0	0.591673	372
LOC100183239	5	9.41	0.53135	0	0.650022	506
ci-rsp4/6	2	2	1	0	0.901177	527
LOC100176604	2	1.994	1.00301	0	1	959
LOC100180047	2	1.95	1.02564	0	1.45915	529
erk3/4	2	1.979	1.01061	0	0.811278	946
LOC100177143	5	5.80767	0.860931	0	1.33963	538
LOC144742353	5	4.18	1.19617	0	1.45915	698
zf(phd)-1	2	1.952	1.02459	0	1.58496	670
LOC100184234	2	2	1	0	0.825011	625
LOC144742398	2	1.994	1.00301	0	0	201
LOC100181669	5	4.46	1.12108	0	1.58496	1621
LOC100181356	2	4.466	0.447828	0	0	846
LOC100181001	5	9.36	0.534188	0	0.918296	522
LOC100178495	2	2	1	0	0.954434	525
LOC100185895	5	5.528	0.904486	0	1.61719	286
LOC100185856	2	1.977	1.01163	0	0.89624	1163
LOC100186935	2	1.98	1.0101	0	1.45915	566
LOC144744702	5	4.5888	1.08961	0	1.47509	131
LOC100178148	2	1.934	1.03413	0	1	5002
LOC108950060	2	1.992	1.00402	0	0.717929	790
LOC100178109	5	6.172	0.81011	0	0.924175	1931
LOC108950336	2	1.988	1.00604	0	1.25163	241
LOC144743042	5	9.222	0.542182	0	1	793
LOC100182312	2	1.99	1.00503	0	0.60562	1002
LOC100186041	2	1.99567	1.00217	0	1.29137	797
LOC144744124	2	1.978	1.01112	0	0.985228	151
LOC100179762	5	5.304	0.942685	0	1.48548	475
LOC100179453	2	1.988	1.00604	0	0	927
LOC100175141	2	1.95	1.02564	0	1.79248	244
LOC100183932	2	1.994	1.00301	0	1.84237	583
LOC144748350	2	1.958	1.02145	0	1.79248	389
rap1b	5	9.492	0.526759	0	0.918296	184
LOC100183390	1	1	1	0	0	697
LOC100180701	2	2	1	0	0.918296	216
LOC100180784	8	9.618	0.831774	0	0.918296	96
LOC144748398	2	2	1	0	0.555013	170
LOC100183313	2	1.986	1.00705	0	2.25163	268
LOC100180164	2	1.988	1.00604	0	1.89106	577
LOC100177262	2	2	1	0	0	625
LOC100184973	4	2.3905	1.67329	0	1.10855	567
LOC100176418	2	2	1	0	0.811278	1271
rgc	5	4.242	1.17869	0	1.9183	65
LOC100184936	2	5.58	0.358423	0	1.34859	347
LOC100184662	2	1.9995	1.00025	0	0.63418	998
LOC100184667	2	2	1	0	0.633732	293
LOC108949706	2	2	1	0	1	624
LOC100184318	5	4.874	1.02585	0	1.44337	345
LOC100178531	2	1.982	1.00908	0	0.650022	268
LOC100178808	5	4.46267	1.12041	0	1.39765	291
LOC780718	5	9.42	0.530786	0	0.918296	1644
LOC445709	2	1.982	1.00908	0	1.45915	1063
LOC100185978	2	4.64867	0.430231	0	1.44882	253
LOC100182782	2	2	1	0	0.918296	1833
LOC104265795	2	1.98356	1.00829	0	1.90564	2197
LOC100182784	8	9.536	0.838926	0	1	33
LOC144744826	5	4.252	1.17592	0	1.45915	306
LOC100185668	2	1.968	1.01626	0	1.6645	798
LOC100182472	2	2	1	0	1.78993	893
LOC100182431	5	9.89	0.505561	0	1	186
LOC104266522	2	2	1	0	0.468996	434
LOC100182749	2	1.998	1.001	0	0.52835	1826
LOC100182475	2	2	1	0	1	886
LOC100186161	2	2	1	0	0.650022	150
LOC108950149	2	2	1	0	1.09491	306
LOC100185046	2	2	1	0	0.650022	2018
LOC100179801	2	1.986	1.00705	0	0.918296	674
LOC144744206	2	1.992	1.00402	0	1.45915	219
LOC100179803	2	1.99	1.00503	0	1.84237	1029
LOC100179806	2	1.977	1.01163	0	1.2851	1730
LOC113475523	5	4.4925	1.11297	0	1.02541	206
LOC494390	2	1.996	1.002	0	1.53049	1652
LOC494354	2	2	1	0	0.78845	152
LOC778546	2	2	1	0	0.764205	286
cirgg1	2	2.702	0.740192	0	0.325011	510
LOC100183437	3	5.426	0.552893	0	1.67674	267
LOC100176841	2	2	1	0	1.98523	273
LOC100180597	2	4.39	0.455581	0	1	312
LOC100176804	2	2	1	0	1.3093	334
LOC100187128	5	4.936	1.01297	0	0.811278	402
LOC100183169	5	4.194	1.19218	0	1.45915	585
LOC100176261	1	1	1	0	0	1921
LOC101242748	2	1.9984	1.0008	0	0.591673	1205
LOC100176264	2	1.9945	1.00276	0	1.4037	844
LOC100177344	5	4.351	1.14916	0	1.25163	867
LOC100177077	5	4.564	1.09553	0	1.55666	716
LOC144746282	2	2.832	0.706215	0	1.25163	493
LOC144742516	2	2.748	0.727802	0	1.25163	13
syt1	5	9.664	0.517384	0	0.918296	408
LOC144746243	2	1.99667	1.00167	0	1.02319	227
if5-1	5	10.43	0.479386	0	0.591673	328
LOC100184128	5	4.43	1.12867	0	1.45915	579
LOC100178927	2	12.76	0.15674	0	0	24
LOC100178304	5	3.1714	1.57659	0	1.45806	1618
LOC101243165	8	11.802	0.677851	0	0.918296	815
LOC144747551	2	1.986	1.00705	0	0.591673	1283
LOC100186862	2	1.975	1.01266	0	1.25163	687
LOC144744904	2	1.999	1.0005	0	0.811278	750
LOC100182825	5	4.584	1.09075	0	1.37878	751
LOC100186555	2	2	1	0	0.918296	1041
LOC100186829	5	4.828	1.03563	0	1.56128	514
hnf6	2	1.9995	1.00025	0	0.57664	160
LOC100186281	2	1.998	1.001	0	0	813
LOC144744638	2	2	1	0	0.71825	420
LOC144744679	8	10.28	0.77821	0	0.985228	213
LOC104266021	2	1.984	1.00806	0	0	1381
LOC104266063	2	2	1	0	0.591673	631
LOC100175344	5	4.72	1.05932	0	1.37878	303
LOC100179346	2	2	1	0	0.836641	1008
LOC100179033	2	1.99933	1.00033	0	1.09546	388
LOC144745987	2	1.966	1.01729	0	1.45915	498
LOC144749673	4	2.748	1.4556	0	1.9183	610
LOC113475062	2	1.998	1.001	0	2.28416	125
LOC144749675	2	2	1	0	0	573
LOC100183593	1	1	1	0	0.811278	1501
LOC144745364	2	1.968	1.01626	0	1.79248	2558
LOC100187241	2	1.999	1.0005	0	0.374798	2471
LOC100183202	2	1.996	1.002	0	1.79248	327
LOC100187204	1	1	1	0	0.954434	434
LOC100180679	2	1.996	1.002	0	1.84237	8326
LOC100187206	5	9.75	0.512821	0	0.918296	628
LOC100176610	5	9.604	0.520616	0	0.918296	566
LOC100176613	5	9.708	0.515039	0	1	460
LOC100180329	2	2	1	0	0.543564	293
LOC100176341	8	9.419	0.849347	0	0.784159	230
LOC101242281	2	2	1	0	0.503258	567
foxa-a	2	1.928	1.03734	0	1.55666	587
LOC100177777	2	1.954	1.02354	0	1.45915	1492
LOC100177190	2	1.998	1.001	0	0.918296	259
LOC100184863	2	1.996	1.002	0	0.591673	404
LOC100184822	5	4.584	1.09075	0	1.95021	474
LOC100184515	2	2	1	0	1	1034
LOC100181633	2	4.386	0.455996	0	1.58496	533
LOC144742367	2	2	1	0	0.650022	41
LOC113473991	2	4.72	0.423729	0	0.985228	499
zf(cchc)-24	2	5.324	0.375657	0	0.721928	249
LOC113473994	3	4.1	0.731707	0	0.650022	367
cifrz	2	1.976	1.01215	0	0.591673	345
LOC101243284	4	2.796	1.43062	0	1.79248	344
LOC100185590	2	1.986	1.00705	0	1.56128	1023
zf(fyve)-11	2	1.999	1.0005	0	0.707113	720
LOC100186670	2	2	1	0	0	579
LOC100186903	2	1.9954	1.00231	0	1.14995	935
LOC100185599	2	2	1	0	0.918296	995
LOC100182321	5	5.539	0.90269	0	1.4183	428
LOC144751881	2	2	1	0	0	106
LOC144743053	2	2	1	0	0.650022	163
LOC100186678	2	1.956	1.02249	0	1.9183	424
