gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
LOC5578906	2	2	1	0	0.862721	822
LOC110677788	2	1.99143	1.0043	0	1.08969	1359
LOC5574362	2	1.98133	1.00942	0	1.45915	449
LOC5570677	2	1.934	1.03413	0	1.9183	1094
LOC5570322	2	1.99362	1.0032	0	0.955293	1750
LOC5574322	2	2.62933	0.760649	0	1.27589	245
LOC5578090	2	1.908	1.04822	0	1.45915	578
LOC5570090	2	2.28	0.877193	0	0.701605	204
LOC5570324	2	3.899	0.512952	0	1	390
LOC5574324	2	1.996	1.002	0	1.46813	525
LOC5571798	2	4.4165	0.452847	0	1.46715	728
LOC5574326	2	1.99943	1.00029	0	1.43552	262
LOC5578052	2	1.99333	1.00334	0	0.818521	1388
LOC5570327	2	3.786	0.528262	0	0.650022	152
LOC5574012	2	1.9805	1.00985	0	0.936034	1183
LOC5564851	2	1.981	1.00959	0	0.817625	488
LOC5567734	2	1.99782	1.00109	0	1.00007	610
LOC5567150	2	1.9896	1.00523	0	1.84401	622
LOC5568816	2	1.95617	1.02241	0	1.698	1743
LOC5568502	2	1.99397	1.00302	0	1.21185	1345
LOC5575980	2	2	1	0	0.970951	235
LOC5568585	2	1.946	1.02775	0	0.918296	214
LOC5567467	2	1.9816	1.00929	0	0.650022	1000
LOC5564270	2	1.989	1.00553	0	0.918296	232
LOC5567112	2	1.953	1.02407	0	1.02541	578
LOC5564587	2	1.98933	1.00536	0	1.37878	516
LOC5575983	2	1.996	1.002	0	1.57095	638
LOC110681021	2	1.98633	1.00688	0	0.951762	153
LOC5568274	2	1.998	1.001	0	1.71599	449
LOC5575986	2	4.021	0.497389	0	1.32605	491
LOC110681025	2	4.352	0.459559	0	1.5	328
LOC110678703	2	1.995	1.00251	0	1.10581	435
LOC5579632	2	4.34133	0.460688	0	1.58496	441
LOC5575988	2	1.79	1.11732	0	1.21469	1352
LOC5575633	2	1.996	1.002	0	0.863121	822
LOC5572792	2	1.938	1.03199	0	1.45915	1247
LOC5572793	2	1.9576	1.02166	0	1.5552	1253
LOC5568279	2	4.986	0.401123	0	1.55459	246
LOC5579909	2	1.959	1.02093	0	0.959148	497
LOC5572713	3	4.28	0.700935	0	1.54879	1225
LOC5575636	2	4.226	0.473261	0	1.44882	112
LOC5572795	2	1.98267	1.00874	0	1.45915	1370
LOC110674789	2	1.99433	1.00284	0	0.910717	269
LOC5572440	2	1.99491	1.00255	0	0.954434	859
LOC110674160	5	4.15495	1.20338	0	1.53551	321
LOC110674162	2	1.976	1.01215	0	0.650022	123
LOC5572402	2	1.978	1.01112	0	0.918296	361
LOC5571092	2	1.9985	1.00075	0	0.995538	608
LOC5575011	2	2	1	0	1	244
LOC5571052	2	1.981	1.00959	0	0.650022	456
LOC110678164	1	1	1	0	0.839956	480
LOC5575327	2	1.99	1.00503	0	0.591673	439
LOC5575329	2	2	1	0	0.650022	428
LOC5575097	2	2	1	0	0.596793	216
LOC5575098	2	1.99433	1.00284	0	0.948424	757
LOC5565895	2	1.982	1.00908	0	1	1475
LOC5565854	2	1.988	1.00604	0	1.45915	500
LOC5569896	2	1.96767	1.01643	0	1.22219	408
LOC5571018	2	1.937	1.03252	0	1.79248	315
LOC5565500	8	5.167	1.54829	0	0.992614	916
LOC5569504	2	1.998	1.001	0	1.97494	493
LOC5565819	2	2	1	0	0.863121	342
LOC5576900	2	3.92886	0.509054	0	1.45915	689
LOC5565271	2	2.87756	0.695034	0	1.3221	1529
LOC5576943	2	2.40616	0.831199	0	1.05052	2283
LOC5569509	2	1.988	1.00604	0	1.9183	380
LOC5573750	2	1.9935	1.00326	0	0.985228	876
LOC5580072	2	1.993	1.00351	0	0.817625	300
LOC5565278	2	1.97775	1.01125	0	1.10831	954
LOC5576360	2	1.99	1.00503	0	0.918296	127
LOC23687995	2	1.9891	1.00548	0	0.977955	2516
LOC5576362	2	1.99114	1.00445	0	1.40113	644
LOC5580078	5	3.398	1.47145	0	0.968182	3058
LOC5577442	1	1.964	0.509165	0	0.811278	462
LOC5576325	2	1.96767	1.01643	0	1.07458	563
LOC23687644	2	2.27743	0.878183	0	0.858849	1029
LOC5573718	2	1.974	1.01317	0	1.25163	218
LOC5577718	2	1.98314	1.0085	0	1	974
LOC5573486	5	2.80533	1.78232	0	1.25163	925
LOC5573173	2	1.928	1.03734	0	1.45915	2057
LOC5566852	2	1.998	1.001	0	0.764205	558
LOC110675129	2	7.834	0.255297	0	0	336
LOC5573409	2	1.938	1.03199	0	1.45915	639
LOC5576059	1	1	1	0	1	1151
LOC5566541	2	4.44908	0.449531	0	1.25163	674
LOC5573178	5	4.414	1.13276	0	1.9183	631
LOC5566583	2	1.99733	1.00134	0	0.890636	827
LOC5566859	1	1.936	0.516529	0	0.918296	149
LOC5566549	2	4.38267	0.456343	0	1.45915	1200
LOC110680417	2	3.732	0.535906	0	1.45915	206
LOC5570710	5	2.32067	2.15455	0	1.06856	1521
LOC5578793	5	8.292	0.602991	0	0.78845	500
LOC5566239	2	1.964	1.01833	0	0.864787	800
LOC5574480	2	1.99467	1.00267	0	1.2847	92
LOC5578440	2	4.635	0.431499	0	1.55666	926
LOC5578714	2	2	1	0	0.918296	1112
LOC5574714	2	2.20605	0.9066	0	1.05573	1348
LOC5574715	5	4.84	1.03306	0	1.12165	422
LOC5571834	2	2	1	0	1	332
LOC5571876	2	1.984	1.00806	0	1.22439	905
LOC5578718	2	4.804	0.41632	0	1.53948	327
LOC5571521	2	1.9892	1.00543	0	0.591673	513
LOC5574445	1	1	1	0	0.985228	528
LOC110676167	2	4.531	0.441404	0	1.45915	227
LOC5574407	2	4.62667	0.432277	0	1.37878	602
LOC5574135	2	1.98883	1.00561	0	0.972765	196
LOC5570135	2	4.034	0.495786	0	1	321
LOC5567897	2	1.944	1.02881	0	1.79248	450
LOC5564933	5	2.67443	1.86956	0	1.14742	2193
LOC5578138	2	2	1	0	0.985228	341
LOC5574139	1	1	1	0	0	220
LOC5567502	2	3.123	0.64041	0	1.26021	574
LOC5568663	5	7.928	0.630676	0	1	30
LOC5567272	2	1.984	1.00806	0	1	2487
LOC5567273	1	1.982	0.504541	0	0	1028
LOC110681414	2	2	1	0	0.591673	128
LOC5564393	1	1.96	0.510204	0	0.985228	593
LOC110681498	2	1.998	1.001	0	1.56128	616
LOC110674821	2	1.982	1.00908	0	1.89106	346
LOC5564080	2	1.995	1.00251	0	0.891995	916
LOC110681185	1	1	1	0	0.918296	335
LOC110674822	2	1.976	1.01215	0	1.89106	346
LOC5575754	1	1.98267	0.504371	0	0.991076	964
LOC5579796	5	3.942	1.26839	0	1.15799	787
LOC110674827	5	3.904	1.28074	0	1.58496	2091
LOC5564087	5	5.102	0.980008	0	1.66918	967
LOC5575483	2	1.464	1.36612	0	0.950826	864
LOC5575443	2	1.988	1.00604	0	0.918296	659
LOC5575446	1	1	1	0	0.863121	388
LOC5572565	5	8.30133	0.602313	0	0.863121	900
LOC110674285	1	1	1	0	1	231
LOC5571133	2	1.9885	1.00578	0	0.863121	220
LOC5575174	2	1.93533	1.03341	0	1.45915	643
LOC5575448	2	1.998	1.001	0	1.24067	812
LOC110678287	3	4.71	0.636943	0	1.84237	392
LOC5571134	2	1.998	1.001	0	1.90564	752
LOC5579176	2	1.955	1.02302	0	1.84237	2651
LOC5572213	2	1.998	1.001	0	1.81128	570
LOC5572215	2	4.1156	0.485956	0	1.14884	479
LOC5569935	2	1.977	1.01163	0	1.10303	936
LOC5569392	2	1.994	1.00301	0	0.863121	1482
LOC5576750	1	1	1	0	0.863121	222
LOC5569395	2	1.99136	1.00434	0	1.4381	1448
LOC5569002	5	3.706	1.34916	0	1.34577	1590
LOC5573832	2	2	1	0	0.985228	1140
LOC110679867	18	7.75975	2.31966	8	0	1274
LOC23687720	2	4.5315	0.441355	0	0.650022	1203
LOC5576483	1	1.946	0.513875	0	1	221
LOC5573835	2	2.79125	0.716525	0	1.07675	773
LOC5573836	2	1.994	1.00301	0	1.38517	4201
LOC5576759	2	1.99375	1.00313	0	1.4138	512
LOC5580118	2	2	1	0	1	1869
LOC110679519	5	4.31043	1.15998	0	1.46855	2684
LOC110675246	2	2	1	0	1	358
LOC23687495	2	3.77	0.530504	0	1.45915	225
LOC5573569	2	1.914	1.04493	0	1.9183	2712
LOC5566932	2	1.986	1.00705	0	1.25163	775
LOC5576136	2	1.99125	1.00439	0	0.985228	64
LOC5573255	2	2	1	0	0.591673	352
LOC5563780	2	1.97945	1.01038	0	0.724534	799
LOC110680574	2	1.972	1.0142	0	0.918296	512
LOC5566394	5	3.17717	1.57373	0	1.27751	723
LOC110680263	2	1.998	1.001	0	1.32821	239
LOC5566398	5	3.922	1.27486	0	1.9183	154
LOC5566357	2	1.99067	1.00469	0	0.650022	626
LOC110680265	1	1.972	0.507099	0	0.985228	328
LOC5566044	2	1.99967	1.00017	0	1.23561	681
LOC5571991	2	2	1	0	0	904
LOC5578874	2	1.99	1.00503	0	0.985228	177
LOC5570560	2	1.994	1.00301	0	0.985228	975
LOC110676513	2	1.924	1.0395	0	0	311
LOC5574834	2	4.758	0.420345	0	1.3093	147
LOC5566087	2	4.363	0.4584	0	1.06128	402
LOC5570561	2	1.998	1.001	0	0.991076	1511
LOC5574876	2	1.986	1.00705	0	0.918296	582
LOC5578878	1	1.952	0.512295	0	1.25163	838
LOC5571955	2	1.99985	1.00008	0	1.72957	65
LOC5571956	2	1.989	1.00553	0	1.45915	600
LOC5571682	2	1.983	1.00857	0	0.918296	323
LOC5574564	2	1.996	1.002	0	1	355
LOC5578290	1	1.92707	0.518923	0	0.918296	808
LOC5578565	5	4.127	1.21153	0	1.95021	814
LOC5570525	2	4.59	0.43573	0	0.970951	934
LOC5571687	2	1.98	1.0101	0	1.45915	591
LOC5570254	2	2	1	0	0.587882	438
LOC5570214	2	1.9916	1.00422	0	0.863121	133
LOC110676249	2	4.378	0.45683	0	0.811278	497
LOC110677055	2	2	1	0	0.954686	435
LOC5567979	2	2	1	0	0.863121	875
LOC110681571	2	4.082	0.489956	0	1.37878	1242
LOC5567939	2	5.04	0.396825	0	1.06128	336
LOC5567315	2	1.998	1.001	0	1	1931
LOC5568474	2	2.929	0.682827	0	1.22219	498
LOC5564708	2	2	1	0	0.890709	1026
LOC5572990	2	1.988	1.00604	0	0.985228	1794
LOC5564163	2	1.982	1.00908	0	0.650022	405
LOC5567004	2	2.358	0.848176	0	1.79248	316
LOC5567319	2	1.957	1.02197	0	1.55666	440
LOC5575874	2	1.974	1.01317	0	1.81128	471
LOC5568166	2	1.99	1.00503	0	0.918296	436
LOC110678949	2	1.994	1.00301	0	0.954434	118
LOC5579522	2	1.982	1.00908	0	1.45915	1022
