gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
LOC101247153	4	2.716	1.47275	0	2.25163	514
LOC101261106	2	3.016	0.66313	0	0.543564	570
LOC101251985	5	8.277	0.604084	0	0.918296	658
LOC101251630	2	4.412	0.453309	0	0.918296	491
LOC101254869	5	9.452	0.528989	0	0.543564	217
LOC101251674	2	1.999	1.0005	0	0.647869	292
LOC101254557	2	2	1	0	0.591673	403
LOC101055530	2	1.884	1.06157	0	0	324
LOC101258598	2	1.966	1.01729	0	1.9183	205
LOC101258519	2	1.998	1.001	0	1.0144	191
LOC101055534	2	1.964	1.01833	0	1.9183	202
LOC101254288	1	1.98	0.505051	0	0	494
LOC101255050	2	1.996	1.002	0	0.856106	536
LOC101266721	5	4.254	1.17536	0	1.45915	450
FALSIFLORA	2	4.1	0.487805	0	0.918296	412
LOC101262765	2	3.2	0.625	0	0.650022	495
LOC101266492	1	1	1	0	0.811278	375
LOC101262412	2	4.112	0.486381	0	1.55666	322
LOC101262768	2	1.993	1.00351	0	0.950826	260
LOC101266496	2	2	1	0	0.495538	274
LOC101251018	2	1.988	1.00604	0	0	751
LOC101262140	2	1.775	1.12676	0	1	706
LOC101266455	2	1.996	1.002	0	0.985228	299
LOC101266416	2	4.384	0.456204	0	0	400
LOC101248739	2	1.852	1.07991	0	0.650022	802
LOC101244151	2	1.905	1.04987	0	0.985228	277
LOC101248111	2	2	1	0	0	126
SEU1	2	1.99675	1.00163	0	0.802228	898
LOC101259590	2	4.78867	0.417653	0	1.32118	214
LOC101252983	2	1.972	1.0142	0	0.650022	926
SEU3	2	1.997	1.0015	0	0.926203	906
LOC101248156	2	1.988	1.00604	0	1.44882	1037
LOC104646528	5	4.5776	1.09228	0	1.38898	582
T6	2	2	1	0	0.650022	354
LOC101256905	5	4.5715	1.09373	0	1.60457	1442
LOC138348645	5	5.638	0.886839	0	0.918296	392
LOC101262109	2	1.496	1.3369	0	0.778328	321
LOC101259241	2	1.992	1.00402	0	0.591673	366
SAP11	3	7.916	0.378979	0	0.650022	188
LOC101256908	2	2	1	0	0.650022	641
LOC138348066	2	3.07733	0.649913	0	0.216674	433
LOC101252055	2	2	1	0	0.591673	812
ldh1	2	1.966	1.01729	0	1.45915	350
LOC101263411	2	1.986	1.00705	0	1.90564	87
LOC101256099	2	1.99	1.00503	0	1.29879	379
TPRP-F1	2	3.94	0.507614	0	0	364
LOC101263182	2	1.968	1.01626	0	0	384
LOC101256019	2	1.994	1.00301	0	0	331
LOC101245191	2	4.314	0.463607	0	1.45915	245
LOC104648600	2	2	1	0	0	1103
LOC101249466	2	4.25	0.470588	0	0.985228	467
LOC109121100	2	4.744	0.421585	0	1.01785	381
LOC101263146	2	1.77	1.12994	0	1.45915	351
LOC112942208	2	2	1	0	0.985228	226
LOC101249114	2	1.992	1.00402	0	1.40564	613
LOC101267107	2	2.8	0.714286	0	0	530
LOC101260267	2	2	1	0	0	166
LOC101253986	2	1.968	1.01626	0	1.45915	371
LOC101245198	2	1.984	1.00806	0	1.44882	305
LOC101253631	2	1.965	1.01781	0	1.9183	430
MYB49	2	2	1	0	0.543564	329
LS	2	1.966	1.01729	0	1.45915	428
LOC543591	2	1.976	1.01215	0	0.918296	234
LOC104648378	2	2	1	0	0	104
LOC100191137	2	1.982	1.00908	0	1.45915	384
ERF36	2	1.738	1.15075	0	0	221
SODCP.2	2	1.972	1.0142	0	0.650022	217
LOC101253367	2	1.738	1.15075	0	1.45915	302
LOC101257011	2	1.99	1.00503	0	1.44882	276
LOC101253053	1	1	1	0	0	304
formin-I2I	2	4.258	0.469704	0	1.08096	944
LOC101250130	18	5.1145	3.51941	2	0	399
J	2	2	1	0	0	242
LOC101268411	2	2	1	0	0	249
LOC138338160	2	4.426	0.451875	0	1.25163	149
LOC101250135	5	4.9164	1.017	0	1.33505	377
LOC101261887	2	1.966	1.01729	0	1.79248	129
TAPG4	5	9.52	0.52521	0	0.650022	387
LOC101246779	2	2	1	0	0.918296	345
CQW56_mgp04	2	1.98	1.0101	0	1.45915	446
LOC101250138	2	2	1	0	0.650022	773
LOC101265534	5	3.908	1.27943	0	1.9183	717
LOC101243818	2	4.4	0.454545	0	0.650022	357
LOC101268107	1	1.752	0.570776	0	0.918296	84
TAGL1	2	5.784	0.345781	0	0.890492	269
LOC101247236	2	1.97	1.01523	0	0	476
CGI1	5	8.195	0.610128	0	0.918296	145
LOC101251711	2	1.964	1.01833	0	2.25163	197
LOC101251795	3	4.79825	0.625228	0	1.47231	695
LOC100736452	2	1.978	1.01112	0	0.650022	734
LOC101262880	2	4.8	0.416667	0	0.99403	362
LOC101258010	5	4.5845	1.09063	0	1.25786	287
LOC101251759	2	1.848	1.08225	0	1.14884	1090
LOC138347186	2	2	1	0	0	313
LOC101262884	6	4.488	1.3369	0	0.918296	141
LOC101255489	5	5.308	0.941974	0	1.86763	160
LOC101258016	2	1.98567	1.00722	0	1.37878	196
LOC104646992	2	4.508	0.443656	0	0	239
LOC101248582	2	2	1	0	0	297
LOC101244501	1	1	1	0	0.918296	463
LOC101248502	2	2	1	0	0	245
LOC101251139	2	1.998	1.001	0	0.863121	311
LOC101262262	2	4.55	0.43956	0	1.30297	175
ERF-F7	2	4.51	0.443459	0	0.985228	216
LOC104646602	1	1	1	0	0.543564	147
LOC101266263	1	1.7815	0.561325	0	0	357
LOC101266223	2	2	1	0	0.650022	210
ERF-F8	2	1.9	1.05263	0	0	321
LOC104646371	2	3.926	0.509424	0	0.650022	193
LOC101259670	2	1.924	1.0395	0	0.811278	189
LOC104647491	2	5.33	0.375235	0	1.24067	271
LOC101244235	2	2.4525	0.815494	0	1.05201	698
LOC104646648	5	8.282	0.603719	0	0.650022	135
LOC101256751	5	8.818	0.567022	0	0.591673	117
LOC104647181	2	5.12	0.390625	0	0.991076	176
LOC104646022	5	5.35675	0.933402	0	1.32212	342
LOC101252715	2	4.374	0.457247	0	1.45915	288
LOC104647144	2	1.994	1.00301	0	1.44662	74
PRK2	1	1.976	0.506073	0	0	642
LOC101256484	2	2	1	0	0.77935	236
LOC101256404	2	1.962	1.01937	0	2.25163	1341
LOC138348185	8	8.73	0.91638	0	0.985228	135
LOC101260961	2	2	1	0	0.991076	525
LOC101267570	2	2	1	0	0.764205	432
LOC101259098	2	2	1	0	0.650022	319
LOC101252175	2	1.973	1.01368	0	1.58496	1158
LOC101267886	2	4.07	0.4914	0	1.55666	336
LOC101256175	2	2	1	0	0.918296	221
IPT3	5	3.89	1.28535	0	0.650022	329
APX6	2	1.984	1.00806	0	0.985228	421
LOC109120726	2	4.666	0.428633	0	1.08063	133
LOC101256138	3	4.633	0.647529	0	1.20282	271
LOC101260611	2	1.97158	1.01442	0	0.918296	381
LOC101267221	5	4.441	1.12587	0	1.43552	426
LOC101267577	2	1.915	1.04439	0	1.10565	415
LOC101264929	1	1.996	0.501002	0	0	453
LOC101263263	1	1.98	0.505051	0	0.985228	227
LOC101245506	2	1.986	1.00705	0	1.55666	368
