gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
LOC115918496	2	2	1	0	0.543564	760
LOC577327	5	7.004	0.713878	0	0.650022	233
BMP2/4	1	1.9584	0.510621	0	0.650022	423
LOC577012	1	1	1	0	0.650022	3097
LOC588450	2	1.995	1.00251	0	1	594
LOC115925894	1	1	1	0	0	381
LOC115922976	2	2	1	0	0	526
LOC585848	1	1	1	0	0	3392
LOC115925271	2	2	1	0	0.764205	129
LOC105441243	2	1.946	1.02775	0	1.58496	100
LOC592972	5	4.76	1.05042	0	1.79248	615
LOC115926390	8	6.974	1.14712	0	1	499
LOC100890621	2	1.96	1.02041	0	1.45915	73
LOC115925548	2	5.644	0.354359	0	0	372
LOC105438651	1	1	1	0	0.985228	644
LOC755937	2	4.74	0.421941	0	0.985228	729
LOC100890666	1	1	1	0	1	934
LOC593781	2	1.66667	1.2	0	0.93626	108
LOC100891430	2	1.98822	1.00592	0	0.639432	1248
LOC578672	2	4.88	0.409836	0	1.24348	944
LOC581269	2	1.98822	1.00592	0	1.14274	1805
LOC592391	5	4.79	1.04384	0	1.42235	524
LOC100890356	2	2	1	0	0.591673	787
LOC100891707	2	1.998	1.001	0	0	178
LOC100890001	2	3.619	0.552639	0	1.21702	2037
LOC574949	2	4.934	0.405351	0	0	762
LOC593744	2	1.99	1.00503	0	0.591673	279
LOC574677	2	2	1	0	0.995727	529
LOC115926046	2	4.388	0.455789	0	1.25163	106
LOC593787	2	2	1	0	0.77935	786
LOC755357	5	4.748	1.05307	0	1.21853	1025
ets1	2	1.9968	1.0016	0	1.55666	493
LOC100888884	2	2.41367	0.828615	0	1.9183	1777
LOC755086	2	2	1	0	0.591673	2636
LOC105446864	5	7.466	0.669703	0	0.591673	228
LOC589490	2	1.988	1.00604	0	0.405639	106
LOC592046	2	1.996	1.002	0	0.985828	830
LOC586843	2	4.872	0.410509	0	0	589
LOC578329	2	1.998	1.001	0	0.848823	2271
LOC589410	2	2	1	0	0.863121	871
LOC115919144	5	2.786	1.79469	0	0.522773	1648
LOC100888575	2	2	1	0	0.863121	834
LOC763525	6	7.698	0.779423	0	0.882103	1961
LOC100888221	2	1.996	1.002	0	0.954434	674
LOC100888537	2	1.986	1.00705	0	0.649397	947
LOC105446241	1	1.948	0.513347	0	1	916
LOC763527	5	5.113	0.977899	0	1.84237	826
LOC589456	2	1.983	1.00857	0	1.84237	55
LOC586535	1	1.98	0.505051	0	0.954434	795
LOC115927939	2	2	1	0	0.591673	1624
LOC100892783	2	2	1	0	0.543564	858
LOC579902	2	2	1	0	0.985228	670
LOC586539	5	4.692	1.06564	0	1.37878	714
LOC115927395	2	2	1	0	0.650022	482
LOC100892470	2	1.95629	1.02235	0	1.6645	825
LOC753783	1	1	1	0	0.918296	624
LOC115923356	2	1.972	1.0142	0	1.25163	49
LOC576711	2	4.345	0.460299	0	0.650022	825
LOC100892749	2	1.978	1.01112	0	0.650022	942
LOC115923359	2	1.955	1.02302	0	0.992614	1039
LOC579362	1	1	1	0	0	1040
LOC100892121	2	1.996	1.002	0	1.79248	853
LOC756397	1	1	1	0	0.591673	2139
LOC575677	5	6.467	0.773156	0	0.797841	496
LOC594473	1	1.968	0.50813	0	0.918296	485
LOC105436423	8	6.8244	1.17226	0	1	854
HE	2	1.99	1.00503	0	0	599
LOC579323	2	1.954	1.02354	0	0.918296	471
LOC575638	2	2	1	0	0.918296	955
LOC576400	5	4.474	1.11757	0	0.959148	759
LOC100889842	2	6.48733	0.308293	0	0.931413	63
LOC576401	2	1.479	1.35227	0	1.04091	677
LOC576799	5	3.31025	1.51046	0	0.846199	1484
LOC100889530	1	1.995	0.501253	0	0.468996	430
LOC579367	2	1.948	1.02669	0	1.37878	2358
LOC579094	5	7.766	0.643832	0	0.954434	956
LOC575094	5	7.3515	0.680133	0	0.363699	1164
LOC100889533	2	2	1	0	0.959148	705
LOC576173	2	4.568	0.437828	0	1.02541	727
LOC576133	2	4.774	0.418936	0	0.918296	479
LOC764523	2	2	1	0	0.985228	861
LOC575057	5	4.405	1.13507	0	1.45915	1123
LOC587845	2	1.98667	1.00671	0	0.634508	1479
LOC583887	2	1.994	1.00301	0	0.591673	340
LOC373423	5	2.88267	1.73451	0	1.12818	552
LOC590168	2	2	1	0	1.53049	518
LOC115924934	2	2	1	0	1	482
LOC105447596	2	2	1	0	0.99403	548
LOC583846	2	1.978	1.01112	0	0.918296	558
LOC576136	2	1.97333	1.01351	0	0.650022	1307
LOC587806	2	2	1	0	0.918296	547
LOC583847	2	2	1	0	0.503258	478
LOC587533	5	3.2044	1.56035	0	1.05866	2439
LOC587536	2	4.722	0.423549	0	0	1328
LOC100893741	3	2.5495	1.1767	0	0.971853	556
LOC580381	2	2	1	0	0.985228	324
LOC580929	2	1.8895	1.05848	0	1.06344	3019
LOC115928668	1	1	1	0	0.530129	468
LOC591742	2	1.984	1.00806	0	1	1430
LOC100893707	2	2	1	0	0.863121	1723
LOC754745	3	4.634	0.647389	0	1.14884	803
LOC580074	5	5.75467	0.86886	0	1.45587	480
LOC115928086	2	1.9604	1.0202	0	0.918296	871
LOC115924004	5	5.546	0.901551	0	1.29879	151
LOC115924319	2	2	1	0	0	229
LOC580076	2	1.986	1.00705	0	1.82918	466
LOC754474	1	1	1	0	0.863121	692
LOC115918807	5	4.627	1.08061	0	0.917036	968
LOC762995	2	1.978	1.01112	0	0.591673	662
LOC115918849	2	2	1	0	0.954434	805
LOC115918260	2	1.98117	1.00951	0	0.634508	1204
LOC581963	2	1.978	1.01112	0	1.37878	2750
LOC115918222	5	9.036	0.553342	0	0.961237	829
LOC762998	2	2	1	0	0.918296	471
LOC105441946	2	4.36533	0.458155	0	0.650022	1185
LOC105445905	1	1	1	0	0.918296	297
LOC588572	1	1	1	0	0	103
LOC585651	1	1.992	0.502008	0	0	609
LOC115926700	2	1.938	1.03199	0	1.25163	218
LOC585927	2	1.962	1.01937	0	0.459148	407
LOC588578	1	1	1	0	0.918296	55
LOC581699	2	1.96	1.02041	0	1.79248	727
LOC115922472	2	1.99	1.00503	0	0.504381	90
LOC578790	2	1.96	1.02041	0	1.12581	1659
LOC581386	2	1.66667	1.2	0	0.503323	1760
LOC574791	2	1.9565	1.02223	0	1.79248	1015
LOC581346	5	4.87067	1.02655	0	1.90564	369
LOC100891867	2	1.979	1.01061	0	0.918296	504
LOC100891593	2	1.997	1.0015	0	1.0958	1241
LOC115926162	2	1.962	1.01937	0	2.25163	251
LOC581034	5	4.989	1.0022	0	1.02541	552
LOC100891594	2	2	1	0	0.771782	70
LOC581076	2	1.98933	1.00536	0	1.0344	1809
LOC115922123	2	2	1	0	0.863121	572
LOC592432	1	1	1	0	0.99403	1166
LOC100887882	2	1.996	1.002	0	1.35164	134
LOC100888960	2	4.241	0.471587	0	0.65477	965
LOC115922166	2	2	1	0	0.771782	70
LOC593867	2	4.352	0.459559	0	1.25163	159
Hbox7	2	1.962	1.01937	0	1.55845	339
LOC585039	5	5.962	0.838645	0	1.35539	697
LOC752241	5	2.9525	1.69348	0	1.37581	1581
HMG1	2	1.982	1.00908	0	2.12809	38
LOC105438469	5	4.816	1.03821	0	0.650022	395
LOC763913	2	1.984	1.00806	0	1.6645	661
LOC589842	2	1.98	1.0101	0	0.992614	223
LOC593599	2	1.959	1.02093	0	0.325011	202
LOC105442946	2	1.999	1.0005	0	0.970951	622
LOC589805	2	5.3128	0.376449	0	0.468996	1084
LOC100891209	2	1.948	1.02669	0	1.45915	395
LOC578177	1	1	1	0	0.985228	1344
LOC115930060	2	2	1	0	1	602
LOC582966	2	1.99067	1.00469	0	1.75	670
LOC105446676	1	1	1	0	0	1189
LOC100888616	2	1.32933	1.50451	0	1.10058	1504
LOC582967	2	1.9876	1.00624	0	0.825011	881
LOC105446321	2	2	1	0	0.439497	114
LOC115930065	5	5.22433	0.95706	0	1.22001	190
LOC100888619	5	7.344	0.680828	0	0.863121	727
LOC105446011	15	5.548	2.70368	1	0.503258	511
LOC763063	5	4.0296	1.24082	0	0.895371	1354
LOC586618	2	1.999	1.0005	0	1.13438	684
LOC105442327	2	1.998	1.001	0	0.991076	680
LOC115923749	2	2	1	0	0.985228	436
LOC100892824	3	5.034	0.595948	0	1.65774	296
LOC594820	2	1.9565	1.02223	0	1.44882	1254
LOC579710	1	1.952	0.512295	0	0.650022	1169
LOC576870	2	1.485	1.3468	0	1.20282	365
LOC100888038	1	1	1	0	0.992614	338
LOC115923437	2	4.348	0.459982	0	0.650022	257
LOC576873	2	1.99267	1.00368	0	0.908778	439
LOC594592	2	5.124	0.39032	0	1.05337	249
LOC582037	2	1.984	1.00806	0	1.40564	662
LOC100892515	2	1.994	1.00301	0	0.811278	140
LOC100892242	2	1.5	1.33333	0	0.864787	327
LOC586079	2	2	1	0	0.859236	556
LOC576560	2	1.92667	1.03806	0	1.45915	1636
LOC576835	2	3.3444	0.598015	0	0.485476	649
LOC579484	5	2.73667	1.82704	0	1.08669	650
LOC105443981	2	1.997	1.0015	0	0.848823	2270
LOC579170	1	1	1	0	0.543564	483
LOC764952	5	5.874	0.851209	0	1.24195	5063
calret	2	2	1	0	0.94566	71
LOC105436546	1	1.998	0.500501	0	0.918296	263
LOC594596	2	1.974	1.01317	0	0.650022	356
LOC105439154	2	2	1	0	0	711
LOC576837	5	7.42	0.673854	0	0.591673	439
LOC594514	2	2	1	0	0.954434	441
LOC100892246	5	7.618	0.65634	0	0.543564	180
