species	transcript_id	gene_id	chrom	strand	protein_len	aa	aa_start	aa_end	aa_len	codon_entropy	codon_gini_simpson	n_unique_codons	dna_len	obs_max_nt_homopolymer	obs_risky	random_expected_max_nt_homopolymer	p_random_risky	p_random_safe	random_expected_risky_count	dna_A_frac	dna_T_frac	dna_G_frac	dna_C_frac
Sulfolobus_acidocaldarius	gene-SACI_RS01890	NA	NC_007181.1	-	128	H	118	124	6	1.000000	0.500000	2	18	2	0	1.886000	0.000000	1.000000	0.000000	0.333333	0.166667	0.000000	0.500000
Sulfolobus_acidocaldarius	gene-SACI_RS02025	NA	NC_007181.1	-	331	G	182	188	6	1.459148	0.611111	3	18	2	0	3.896000	0.010000	0.990000	0.010000	0.166667	0.055556	0.666667	0.111111
Sulfolobus_acidocaldarius	gene-SACI_RS02140	NA	NC_007181.1	+	188	L	140	146	6	1.459148	0.611111	3	18	2	0	2.712000	0.000000	1.000000	0.000000	0.055556	0.500000	0.000000	0.444444
Sulfolobus_acidocaldarius	gene-SACI_RS03565	NA	NC_007181.1	-	96	E	79	87	8	1.000000	0.500000	2	24	2	0	2.000000	0.000000	1.000000	0.000000	0.500000	0.000000	0.500000	0.000000
Sulfolobus_acidocaldarius	gene-SACI_RS05550	NA	NC_007181.1	-	480	S	55	61	6	1.918296	0.722222	4	18	2	0	1.978000	0.000000	1.000000	0.000000	0.166667	0.444444	0.166667	0.222222
Sulfolobus_acidocaldarius	gene-SACI_RS12240	NA	NC_007181.1	-	468	L	9	15	6	1.000000	0.500000	2	18	2	0	2.756000	0.000000	1.000000	0.000000	0.166667	0.500000	0.166667	0.166667
Sulfolobus_acidocaldarius	gene-SACI_RS08350	NA	NC_007181.1	+	229	S	41	47	6	1.918296	0.722222	4	18	2	0	1.978000	0.000000	1.000000	0.000000	0.166667	0.277778	0.111111	0.444444
Sulfolobus_acidocaldarius	gene-SACI_RS11985	NA	NC_007181.1	-	396	L	9	15	6	1.918296	0.722222	4	18	2	0	2.696000	0.000000	1.000000	0.000000	0.166667	0.500000	0.055556	0.277778
Sulfolobus_acidocaldarius	gene-SACI_RS09155	NA	NC_007181.1	+	218	P	11	17	6	1.459148	0.611111	3	18	5	0	4.118000	0.024000	0.976000	0.024000	0.055556	0.111111	0.000000	0.833333
Sulfolobus_acidocaldarius	gene-SACI_RS11760	NA	NC_007181.1	-	252	T	89	95	6	1.459148	0.611111	3	18	2	0	1.988000	0.000000	1.000000	0.000000	0.444444	0.166667	0.055556	0.333333
Sulfolobus_acidocaldarius	gene-SACI_RS10260	NA	NC_007181.1	-	402	S	395	401	6	1.792481	0.666667	4	18	2	0	1.970000	0.000000	1.000000	0.000000	0.222222	0.388889	0.111111	0.277778
Sulfolobus_acidocaldarius	gene-SACI_RS10760	NA	NC_007181.1	+	136	T	80	86	6	1.000000	0.500000	2	18	2	0	1.984000	0.000000	1.000000	0.000000	0.500000	0.000000	0.000000	0.500000
Sulfolobus_acidocaldarius	gene-SACI_RS11440	NA	NC_007181.1	-	314	G	272	278	6	1.000000	0.500000	2	18	2	0	3.962000	0.008000	0.992000	0.008000	0.166667	0.166667	0.666667	0.000000
