gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
CNAG_04181	2	1.988	1.00604	0	1.45915	96
CNAG_02943	2	2	1	0	0.94566	486
CNAG_06280	5	7.21	0.693481	0	0.650022	480
CNAG_01885	2	2	1	0	0.918296	307
CNAG_05916	2	1.998	1.001	0	1.22439	331
CNAG_02029	6	5.925	1.01266	0	1.52976	453
CNAG_01197	2	2	1	0	0.650022	166
CNAG_00405	2	1.5	1.33333	0	0.784159	917
CNAG_04858	5	5.94	0.841751	0	1.73815	123
CNAG_03102	2	1.982	1.00908	0	0.650022	443
CNAG_00860	5	4.554	1.09794	0	1.9183	567
CNAG_01445	5	5.558	0.899604	0	1.15678	303
CNAG_06729	2	1.992	1.00402	0	1.53049	100
CNAG_00386	2	1.964	1.01833	0	0.650022	1169
CNAG_02699	5	4.967	1.00664	0	0.92118	1401
CNAG_04205	2	1.99033	1.00486	0	0.819716	515
CNAG_06284	1	1.996	0.501002	0	0.991076	727
CNAG_05933	2	5	0.4	0	1.5	191
CNAG_06531	5	4.792	1.04341	0	1.55666	988
CNAG_00175	3	3.693	0.812348	0	1.11129	445
CNAG_00422	2	2	1	0	0.918296	1110
CNAG_04434	2	1.991	1.00452	0	0.251629	1034
CNAG_05032	5	5.32	0.93985	0	0.650022	443
CNAG_00650	1	1	1	0	1	920
CNAG_04208	2	1.996	1.002	0	0.863121	391
CNAG_05935	2	1.952	1.02459	0	0.650022	277
CNAG_01009	2	1.981	1.00959	0	1.37878	481
CNAG_04890	5	7.428	0.673129	0	0.591673	469
CNAG_02964	1	1.968	0.50813	0	0.918296	546
CNAG_06749	5	4.414	1.13276	0	1.9183	574
CNAG_04438	4	2.54	1.5748	0	1.45915	486
CNAG_05511	2	4.769	0.419375	0	1.43239	1162
CNAG_01468	2	1.97	1.01523	0	1.25163	304
CNAG_06765	2	1.99533	1.00234	0	0.967841	1235
CNAG_01482	2	1.992	1.00402	0	1.44882	660
CNAG_07578	2	1.984	1.00806	0	1.25163	199
CNAG_06766	1	1	1	0	0.477217	963
CNAG_03582	5	3.791	1.31891	0	1.73748	902
CNAG_03602	2	2	1	0	1	319
CNAG_05056	2	2.824	0.708215	0	1.29879	686
CNAG_04932	5	4.356	1.14784	0	1.9183	659
CNAG_01734	2	7.324	0.273075	0	0	1078
CNAG_05745	2	1.996	1.002	0	0.918296	1149
CNAG_04031	2	1.978	1.01112	0	1.79248	254
CNAG_06784	5	4.512	1.10816	0	1.9183	619
CNAG_00020	5	3.14267	1.59101	0	0.749805	997
CNAG_08001	2	1.9975	1.00125	0	0.904394	367
CNAG_03372	5	5.252	0.952018	0	1.9183	335
CNAG_03606	5	5.79133	0.863359	0	0.703961	1225
CNAG_05747	3	5.22067	0.574639	0	1.9183	509
CNAG_05306	2	1.99	1.00503	0	1.25163	137
CNAG_02989	2	2	1	0	0.985228	1159
CNAG_06573	1	1	1	0	0	1241
CNAG_02121	2	2	1	0	0.985228	778
CNAG_00250	2	1.994	1.00301	0	1.37878	440
CNAG_08004	8	5.35	1.49533	0	1.84644	115
CNAG_05976	5	7.968	0.62751	0	0.543564	40
CNAG_02109	2	4.482	0.446229	0	0.918296	1344
CNAG_02810	2	5.022	0.398248	0	0.811278	949
CNAG_00466	3	5.198	0.577145	0	1.02783	202
CNAG_04725	2	1.975	1.01266	0	2.25163	782
CNAG_03377	2	2	1	0	0.863121	70
CNAG_01293	2	2	1	0	0.650022	2047
CNAG_03852	2	1.997	1.0015	0	0.477217	307
CNAG_04727	2	1.968	1.01626	0	1.9183	506
CNAG_06591	2	2	1	0	1.85539	1615
CNAG_04954	2	1.974	1.01317	0	1	1238
CNAG_05553	5	5.33	0.938086	0	1.45915	406
CNAG_08022	2	2	1	0	0.918296	429
CNAG_04741	2	1.978	1.01112	0	1.79248	663
CNAG_06613	2	4.49	0.445434	0	1.45915	445
CNAG_02796	2	1.986	1.00705	0	1.14884	553
CNAG_03641	2	2	1	0	0.918296	27
