gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
LOC105356944	2	1.904	1.05042	0	0.650022	261
pou6f2	2	1.95914	1.02085	0	0.990764	656
spp1	2	1.5	1.33333	0	0.784159	365
aplf	2	2	1	0	0	351
dnajc5ga	1	1.99	0.502513	0	0.503258	213
LOC101173343	1	1.958	0.510725	0	0	345
loxhd1a	5	7.644	0.654108	0	0.795837	2416
dcc	1	2.311	0.432713	0	0	1479
recql4	8	5.4552	1.46649	0	1.79248	1438
timm50	5	5.444	0.918442	0	1.58496	386
loxhd1b	8	8.336	0.959693	0	0.874717	2378
snai1b	2	1.98867	1.0057	0	1.90564	266
tulp4a	5	3.00784	1.66232	0	1.17359	1782
LOC105356361	2	1.986	1.00705	0	1.81128	141
LOC144982237	2	1.998	1.001	0	0.650022	925
tulp4b	8	2.6047	3.07137	0	0.805493	1736
synj1	2	1.95547	1.02277	0	1.9183	1513
xirp2b	2	5.298	0.377501	0	0.959148	3242
setd1ba	2	1.99933	1.00033	0	1.52624	1598
brsk1b	2	1.979	1.01061	0	0.863121	746
rnf220a	2	1.982	1.00908	0	1.5	209
rabgap1l	2	1.949	1.02617	0	1.45915	51
LOC105356052	2	1.974	1.01317	0	1.37878	678
LOC101166443	1	1.979	0.505306	0	0	14
znf207b	1	1	1	0	1	470
rangap1a	2	2	1	0	1	600
prpf39	5	6.357	0.786535	0	1.97494	751
LOC144990444	2	2	1	0	1.90861	1597
LOC101155891	2	4.61	0.433839	0	0.937774	1045
smg9	2	1.999	1.0005	0	1.55666	506
egfl6	2	2	1	0	0.650022	521
samd11	2	1.96235	1.01918	0	1.57186	749
knop1	5	7.884	0.634196	0	0.863121	551
LOC101156930	2	2	1	0	0.543564	574
LOC101174922	2	4.9935	0.400521	0	0	56
prdm6	6	2.63925	2.27337	0	1.44894	629
LOC101156973	2	3.99362	0.500798	0	0.974409	604
mical2b	2	2	1	0	0.650022	1676
LOC101174650	2	1.958	1.02145	0	0.650022	215
LOC101169019	2	1.977	1.01163	0	0.754984	255
prr12a	5	3.084	1.62127	0	1.40668	2685
tars2	8	7.052	1.13443	0	1.38443	1171
rps6ka4	2	1.996	1.002	0	2.12193	73
LOC101170926	1	1.988	0.503018	0	0	660
rps6ka5	2	1.96	1.02041	0	0	680
LOC144987857	3	5.92667	0.506187	0	1.41444	452
auts2a	2	1.97877	1.01073	0	1.37878	1077
LOC144988620	2	2	1	0	0.591673	204
maml2	1	1.95	0.512821	0	0	889
LOC144994139	24	8.511	2.81988	2	0	193
mto1	2	1.95867	1.0211	0	1	665
LOC101174615	2	2	1	0	0.811278	513
LOC101156979	2	2	1	0	0	643
LOC101170656	1	2.332	0.428816	0	0	460
tmem145	5	5.318	0.940203	0	1.45915	552
pdcd2	2	2	1	0	0.863121	366
LOC101170304	2	1.99	1.00503	0	1.45915	635
LOC105357673	1	1	1	0	0.811278	953
LOC101170030	2	1.958	1.02145	0	0.650022	681
LOC101170305	2	2	1	0	0.985228	400
LOC101174032	2	1.9876	1.00624	0	1.06128	1184
slc6a9	2	2	1	0	0	81
umad1	2	5.796	0.345066	0	0	96
LOC101163480	5	4.7895	1.04395	0	0.459148	736
zmp:0000000926	5	6.008	0.832224	0	1.5	680
LOC101156085	2	1.977	1.01163	0	0.875	770
phactr1	2	2	1	0	0.995538	380
LOC101170078	2	2	1	0	0.638469	551
ncoa2	2	1.9195	1.04194	0	0.591673	1425
sec23ip	2	3.7015	0.540321	0	0	958
dbnlb	1	1.997	0.500751	0	0	395
LOC101167758	2	2	1	0	0.918296	607
LOC144988005	2	1.992	1.00402	0	1.07393	275
nfkb1	2	5.05127	0.39594	0	0	903
ncoa4	2	1.96025	1.02028	0	0.950826	539
megf8	2	1.988	1.00604	0	0.918296	2891
brd7	5	7.927	0.630756	0	0.591673	585
LOC101171960	2	1.954	1.02354	0	1.58496	700
phlda3	2	5.729	0.349101	0	1.15678	140
