gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
SUPT5H	2	2	1	0	0.325011	1075
LOC112530035	2	1.964	1.01833	0	1.05458	330
LOC101748049	1	2.45	0.408163	0	0	216
VSX2	6	5.212	1.15119	0	0.918296	377
CHERP	2	1.915	1.04439	0	0.918296	898
LOC423240	2	1.994	1.00301	0	0	380
RYK	2	2.354	0.849618	0	0.918296	720
LOC112531963	2	1.994	1.00301	0	1.44882	239
GPR135	2	3.651	0.547795	0	0	427
PACS1	2	1.964	1.01833	0	0.863121	911
RBBP6	3	5.59057	0.536618	0	0.654541	1914
LOC112531692	2	2	1	0	0.764205	564
GPR179	2	5.706	0.350508	0	0	671
CD6	2	1.989	1.00553	0	1.22439	972
LOC416655	2	2	1	0	0.863121	270
PWWP2A	2	1.957	1.02197	0	1.20023	787
PRPF38A	2	2	1	0	1	312
OTP	2	1.988	1.00604	0	0	325
TGFBRAP1	2	1.942	1.02987	0	1.9183	80
ITGA2B	11	4.87	2.25873	8	1.45915	1006
LOC100858332	9	5.704	1.57784	1	1.56128	365
COBL	5	5.6022	0.892507	0	1.84237	133
CDK11A	2	2	1	0	0.820112	770
EPHB1	2	1.92	1.04167	0	0.650022	1003
LOC112531347	5	5.192	0.96302	0	1.58496	110
SESN3	2	4.963	0.402982	0	0.650022	492
ZAR1	2	1.934	1.03413	0	0.918296	535
TUSC1	2	1.914	1.04493	0	0.650022	293
MBLAC1	5	4.942	1.01174	0	1.45915	233
STRN	3	2.9895	1.00351	0	0.793692	800
LOC100859910	2	1.956	1.02249	0	0	269
CSRNP3	2	2	1	0	1	449
CCNK	6	3.619	1.65792	0	1.10303	505
TMED7	1	2.39	0.41841	0	0	221
EPB41	2	2	1	0	0.771782	829
UQCRH	2	2	1	0	0.591673	86
KDM4A	2	2	1	0	0.985228	1058
HCN2	2	5.976	0.334672	0	0.468996	974
SETDB1	1	1	1	0	0.650022	697
HCN4	2	5.366	0.372717	0	0	82
LOC101747700	18	7.798	2.30828	1	0	460
OLIG2	5	6.014	0.831393	0	1.32218	298
SERTM1	2	1.958	1.02145	0	0.591673	174
OLIG3	2	1.996	1.002	0	0	273
ARID4B	2	1.964	1.01833	0	1.41496	1301
ERC2	2	1.998	1.001	0	0.991076	61
GPR25	2	1.966	1.01729	0	0.591673	365
LIN7A	2	1.962	1.01937	0	0.863121	189
IL17RC	1	2.363	0.423191	0	0	701
IL17RE	2	1.942	1.02987	0	0.650022	712
