species	transcript_id	gene_id	chrom	strand	protein_len	aa	aa_start	aa_end	aa_len	codon_entropy	codon_gini_simpson	n_unique_codons	dna_len	obs_max_nt_homopolymer	obs_risky	random_expected_max_nt_homopolymer	p_random_risky	p_random_safe	random_expected_risky_count	dna_A_frac	dna_T_frac	dna_G_frac	dna_C_frac
Methanobrevibacter_smithii	gene-MSM_RS01210	NA	NC_009515.1	-	239	S	81	87	6	1.000000	0.500000	2	18	2	0	1.980000	0.000000	1.000000	0.000000	0.166667	0.500000	0.000000	0.333333
Methanobrevibacter_smithii	gene-MSM_RS03095	NA	NC_009515.1	-	897	G	865	871	6	1.000000	0.500000	2	18	2	0	2.868000	0.000000	1.000000	0.000000	0.000000	0.166667	0.666667	0.166667
Methanobrevibacter_smithii	gene-MSM_RS03100	NA	NC_009515.1	-	101	E	75	87	12	0.811278	0.375000	2	36	2	0	2.000000	0.000000	1.000000	0.000000	0.583333	0.000000	0.416667	0.000000
Methanobrevibacter_smithii	gene-MSM_RS03105	NA	NC_009515.1	-	335	E	310	320	10	0.881291	0.420000	2	30	2	0	2.000000	0.000000	1.000000	0.000000	0.566667	0.000000	0.433333	0.000000
Methanobrevibacter_smithii	gene-MSM_RS03920	NA	NC_009515.1	-	1112	S	513	519	6	2.251629	0.777778	5	18	2	0	1.976000	0.000000	1.000000	0.000000	0.222222	0.333333	0.166667	0.277778
Methanobrevibacter_smithii	gene-MSM_RS04810	NA	NC_009515.1	+	566	E	521	527	6	0.650022	0.277778	2	18	2	0	2.000000	0.000000	1.000000	0.000000	0.611111	0.000000	0.388889	0.000000
Methanobrevibacter_smithii	gene-MSM_RS05620	NA	NC_009515.1	-	1879	S	1821	1829	8	2.155639	0.750000	5	24	2	0	2.000000	0.000000	1.000000	0.000000	0.208333	0.333333	0.166667	0.291667
Methanobrevibacter_smithii	gene-MSM_RS06140	NA	NC_009515.1	-	608	E	140	147	7	0.985228	0.489796	2	21	2	0	2.000000	0.000000	1.000000	0.000000	0.523810	0.000000	0.476190	0.000000
Methanobrevibacter_smithii	gene-MSM_RS06300	NA	NC_009515.1	-	411	V	395	402	7	1.148835	0.448980	3	21	2	0	1.996000	0.000000	1.000000	0.000000	0.047619	0.571429	0.380952	0.000000
Methanobrevibacter_smithii	gene-MSM_RS06465	NA	NC_009515.1	+	309	H	266	274	8	0.543564	0.218750	2	24	2	0	1.900000	0.000000	1.000000	0.000000	0.333333	0.291667	0.000000	0.375000
Methanobrevibacter_smithii	gene-MSM_RS07150	NA	NC_009515.1	-	594	G	586	592	6	1.251629	0.500000	3	18	2	0	2.954000	0.000000	1.000000	0.000000	0.222222	0.055556	0.666667	0.055556
