gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
LOC408712	8	11.91	0.671704	0	0.954434	625
LOC411079	5	2.44984	2.04095	0	1.23992	1265
LOC408718	2	4.01229	0.498469	0	1.2113	1499
LOC725190	2	3.26	0.613497	0	0.720128	565
LOC100577603	2	1.992	1.00402	0	0.936365	460
LOC725155	2	1.9445	1.02854	0	1.79248	1125
LOC100577919	2	2	1	0	0.298397	868
LOC725117	5	3.99	1.25313	0	1.9183	613
LOC552684	2	4.01	0.498753	0	1.58496	98
LOC412386	2	2	1	0	0	705
LOC100577069	2	2	1	0	1	401
LOC552375	2	1.9785	1.01087	0	2.25163	1332
LOC100578990	2	3.9596	0.505102	0	0.650022	51
LOC412077	2	2.62	0.763359	0	0.82062	718
LOC552061	2	2	1	0	0.342019	1727
LOC409170	2	2	1	0	0.960948	653
LOC552027	5	4.1888	1.19366	0	1.02783	380
LOC727230	2	2.63467	0.759109	0	0.612197	1199
LOC409177	2	1.99467	1.00267	0	0.94566	2245
LOC413925	2	1.988	1.00604	0	0.757861	1778
LOC107964762	2	1.996	1.002	0	0.527971	684
Ubx	2	1.99067	1.00469	0	1.75272	330
LOC727238	2	1.999	1.0005	0	0.918296	2181
LOC413341	2	2	1	0	0.77935	107
LOC100578337	2	1.99686	1.00157	0	1.45277	783
LOC410736	2	2	1	0	0.449536	702
LOC102654959	2	1.99229	1.00387	0	0.663371	1093
LOC413071	2	1.948	1.02669	0	0.650022	1358
LOC100578066	2	2	1	0	0.543564	778
LOC100578068	2	2	1	0	0.660924	152
LOC410468	2	1.963	1.01885	0	1.66197	363
LOC102654609	1	1.952	0.512295	0	0.918296	919
LOC102654379	1	1	1	0	0.985228	90
LOC107964189	2	1.99933	1.00033	0	1.00215	929
LOC410159	2	1.99733	1.00134	0	1	1947
LOC724545	2	2	1	0	0.899744	1408
LOC113218521	2	2	1	0	0.56651	505
Hsp90	5	6.002	0.833056	0	0.784159	724
LOC411466	2	2.66318	0.750983	0	0.737852	5948
Hb	2	1.97867	1.01078	0	1.01657	646
LOC551450	2	1.998	1.001	0	1.3093	1067
LOC408830	2	2	1	0	0	5309
LOC100576147	2	1.966	1.01729	0	0.951762	425
LOC725893	3	2.70337	1.10972	0	0.811507	2401
LOC408874	3	2.33305	1.28587	0	0.476281	3851
LOC408520	2	2	1	0	0.596793	261
LOC411157	1	1.993	0.501756	0	0.721928	4721
LOC408562	2	3.61385	0.553426	0	0.29386	956
LOC725581	2	3.92956	0.508963	0	1.25163	1290
LOC551498	2	4.253	0.470256	0	0.591673	2027
LOC725896	2	1.97967	1.01027	0	1	431
LOC408877	5	2.35725	2.12112	0	1.03682	1043
LOC411158	2	2	1	0	0.940286	766
LOC725502	2	2	1	0	1	111
LOC408565	2	4.58167	0.436522	0	0.970143	760
LOC408295	2	2	1	0	0	821
LOC725273	2	2	1	0	0	429
LOC408298	2	1.992	1.00402	0	0.953026	1185
LOC100577492	2	2.95844	0.676031	0	0.733743	1647
LOC100577453	6	10.2	0.588235	0	1	639
LOC100577455	2	2	1	0	1.49693	462
LOC725239	2	2.64733	0.755477	0	1.25516	1031
LOC100577498	2	2	1	0	0.954434	1451
LOC552761	2	1.992	1.00402	0	0.591673	389
LOC412422	3	2.358	1.27226	0	1.47929	1811
LOC412150	2	2	1	0	0.863121	798
LOC412191	2	4.282	0.467071	0	1.47957	1088
LOC552724	2	1.9916	1.00422	0	0.968342	1034
LOC552414	2	2	1	0	0.591673	1579
LOC552142	5	4.78533	1.04486	0	1.57863	272
LOC552101	2	2	1	0	0.650022	914
LOC409836	1	1.952	0.512295	0	0	117
LOC409565	2	1.99933	1.00033	0	1	681
LOC552146	2	1.98947	1.00529	0	0.33847	218
LOC726819	8	10.009	0.799281	0	0.918296	646
LOC409293	2	1.998	1.001	0	0.7569	466
LOC726547	1	1.998	0.500501	0	0	90
LOC726273	3	4.226	0.709891	0	1.6645	599
LOC102653993	2	1.992	1.00402	0	1.36096	323
LOC100578769	2	3.952	0.506073	0	1	514
LOC726238	2	4.95033	0.404013	0	0.845351	465
LOC410893	3	5.6582	0.530204	0	1.73945	502
LOC410852	5	3.2632	1.53224	0	1.20945	714
