gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
CELE_F18E9.3	2	1.99	1.00503	0	0.985228	428
CELE_C37C3.4	2	4.094	0.48852	0	1.40564	373
CELE_C37C3.6	2	2	1	0	0.881291	1558
CELE_T22F7.1	2	2	1	0	0.650022	510
CELE_F37C12.13	5	9.304	0.537403	0	0.918296	57
CELE_C54D10.3	2	1.985	1.00756	0	1.4183	172
CELE_K08C7.3	2	1.99767	1.00117	0	1.35164	3672
CELE_T20H4.1	2	1.994	1.00301	0	1.44882	392
CELE_C06G1.2	2	1.99	1.00503	0	1.37878	182
CELE_C54D2.1	2	1.9952	1.00241	0	1.43315	384
CELE_R03C1.3	2	1.952	1.02459	0	1.45915	256
CELE_H03E18.1	2	1.984	1.00806	0	1.25163	1147
CELE_Y37E3.19	1	1.998	0.500501	0	0.918296	118
CELE_C55A6.2	2	1.955	1.02302	0	1.45915	677
CELE_Y73B6BL.5	2	1.95844	1.02122	0	0.914988	507
CELE_F39B2.1	2	1.966	1.01729	0	0.863121	541
CELE_F56B6.2	2	1.97	1.01523	0	0.985228	215
CELE_C49C3.13	2	1.9684	1.01605	0	1.6013	499
CELE_C47C12.6	2	1.99571	1.00215	0	1.63878	760
CELE_Y50E8A.11	2	1.976	1.01215	0	1.45915	221
CELE_C15C6.3	2	3	0.666667	0	1.19603	699
CELE_F16H6.2	2	1.986	1.00705	0	1.44882	178
CELE_K01D12.10	2	2.955	0.676819	0	1.85839	227
CELE_B0280.13	2	4.091	0.488878	0	0.987516	616
CELE_W02A11.3	2	2.47533	0.807972	0	1.09858	489
CELE_C06A8.8	2	1.955	1.02302	0	1.79248	20
CELE_F29C12.1	2	1.999	1.0005	0	0.650022	590
CELE_F01G4.1	2	2	1	0	0.924175	1474
CELE_C55B6.2	2	3.38	0.591716	0	0.918296	491
CELE_W03F8.2	5	6.043	0.827404	0	1.20989	415
CELE_K10G9.2	1	1.966	0.508647	0	0.918296	240
CELE_B0207.5	2	1.988	1.00604	0	1.37878	3654
CELE_C34E10.10	6	10.138	0.591833	0	0.985228	82
CELE_Y38C1AA.12	2	2	1	0	1	197
CELE_T26A8.1	2	1.994	1.00301	0	1.22439	708
CELE_F43G9.11	2	1.988	1.00604	0	2.23593	270
CELE_F58B4.7	2	1.962	1.01937	0	1.9183	48
CELE_F54D10.3	2	1.96	1.02041	0	2.25163	310
CELE_K01B6.1	2	2	1	0	0.979869	732
CELE_F56D1.1	2	1.98	1.0101	0	1.55666	454
CELE_C03A7.14	2	1.982	1.00908	0	0.650022	370
