gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
Dmel_CG10021	2	3.19029	0.626903	0	0.962293	744
Dmel_CG5737	2	1.986	1.00705	0	1.25163	325
Dmel_CG1737	2	2.40567	0.83137	0	0.924175	924
Dmel_CG18023	2	1.97827	1.01099	0	0.856924	392
Dmel_CG5423	2	2.739	0.730194	0	0.325011	1342
Dmel_CG18024	2	2.4074	0.830772	0	0.99347	572
Dmel_CG5466	2	1.984	1.00806	0	1.41757	594
Dmel_CG9425	2	2.26952	0.881242	0	1.06688	2103
Dmel_CG44533	2	2.33957	0.854857	0	0.639647	913
Dmel_CG2819	1	1.954	0.511771	0	0	357
Dmel_CG1468	2	1.994	1.00301	0	1.14884	206
Dmel_CG1154	2	4.146	0.482393	0	1.46807	295
Dmel_CG9113	2	3.68633	0.542545	0	1.45398	963
Dmel_CG14029	2	1.966	1.01729	0	0.863121	729
Dmel_CG2507	3	5.115	0.58651	0	1.79248	1693
Dmel_CG5119	2	1.992	1.00402	0	1.45915	634
Dmel_CG11997	2	1.98	1.0101	0	1.79248	417
Dmel_CG30480	2	1.985	1.00756	0	1	920
Dmel_CG15370	3	3.742	0.80171	0	0.574418	370
Dmel_CG11371	2	1.9376	1.0322	0	1.45915	1007
Dmel_CG11604	2	4.102	0.487567	0	1.5	539
Dmel_CG3891	2	1.96	1.02041	0	0.771782	399
Dmel_CG15649	2	2.288	0.874126	0	1.84237	119
Dmel_CG7811	2	2	1	0	0.918296	514
Dmel_CG7893	2	1.927	1.03788	0	1.45915	964
Dmel_CG15021	2	5.71733	0.349813	0	1.39253	420
Dmel_CG12769	2	2.4719	0.809093	0	1.05172	706
Dmel_CG7896	2	1.993	1.00351	0	1.21078	1392
Dmel_CG6778	2	5.102	0.392003	0	0.650022	765
Dmel_CG15022	5	4.875	1.02564	0	1.1787	295
Dmel_CG15023	5	3.35347	1.49099	0	1.5664	169
Dmel_CG7583	2	1.9955	1.00226	0	1.37878	473
Dmel_CG6424	2	1.9945	1.00276	0	1.57262	798
Dmel_CG30176	2	1.992	1.00402	0	0.503258	207
Dmel_CG3858	3	3.83	0.78329	0	1.30656	606
Dmel_CG6193	1	1	1	0	0.918296	1067
Dmel_CG7230	2	1.994	1.00301	0	1.84237	661
Dmel_CG7546	2	1.99025	1.0049	0	1.45915	1166
Dmel_CG3546	2	3.0845	0.648403	0	0.515167	630
Dmel_CG3273	2	2	1	0	1	822
Dmel_CG3588	3	4.61057	0.650679	0	1.00028	631
Dmel_CG3274	2	1.978	1.01112	0	2.15564	1688
Dmel_CG3508	2	1.999	1.0005	0	1.75	349
Dmel_CG7549	2	1.998	1.001	0	1.6122	556
Dmel_CG6118	2	1.97743	1.01141	0	0.309024	883
Dmel_CG7239	2	1.974	1.01317	0	0.707113	459
Dmel_CG34360	1	1.9396	0.51557	0	0.650022	521
Dmel_CG13720	2	1.998	1.001	0	1.75	487
Dmel_CG31712	2	1.953	1.02407	0	1.45915	284
Dmel_CG34362	2	1.98377	1.00818	0	0.827647	508
Dmel_CG17762	2	2.3968	0.834446	0	1.01234	1387
Dmel_CG13722	3	5.307	0.565291	0	1.55384	708
Dmel_CG17764	1	2	0.5	0	0.591673	272
Dmel_CG13724	2	6.474	0.308928	0	0	550
Dmel_CG17724	2	1.9776	1.01133	0	0.481359	518
Dmel_CG31716	2	1.99582	1.0021	0	0.845351	1047
Dmel_CG17766	2	2	1	0	0.918296	1525
Dmel_CG13493	1	1	1	0	0.918296	600
Dmel_CG42840	2	1.953	1.02407	0	0.918296	1244
Dmel_CG34368	2	2.278	0.877963	0	0.918296	738
Dmel_CG34327	2	3.504	0.570776	0	1.38997	220
Dmel_CG13728	5	3.40733	1.46742	0	0.967841	753
Dmel_CG31132	2	1.598	1.25156	0	0.817219	2232
Dmel_CG8896	2	1.991	1.00452	0	0.936184	1385
Dmel_CG42803	2	1.96022	1.02029	0	1.03451	1848
Dmel_CG8815	2	2	1	0	0.94566	576
