gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
LOC128250712	2	2	1	0	0	79
LOC106871604	2	1.99058	1.00473	0	0.825779	7740
LOC106875330	1	1.988	0.503018	0	0.985228	672
LOC106878258	1	1	1	0	0.591673	805
LOC106883892	2	1.998	1.001	0	0.877165	452
LOC106879379	1	1	1	0	0.918296	285
LOC106875064	2	1.99	1.00503	0	0	797
LOC106871023	5	10.976	0.455539	0	0.863121	690
LOC106883896	1	1.962	0.509684	0	0	822
LOC106875067	8	10.809	0.740124	0	0.881513	421
LOC106868704	2	1.99675	1.00163	0	0	1404
LOC106883897	2	1.99829	1.00086	0	0.742706	911
LOC106883500	2	1.4	1.42857	0	0.217426	686
LOC106883542	5	10.066	0.496722	0	0.650022	493
LOC106883585	5	4.5696	1.09419	0	0.842158	2390
LOC106876910	2	1.996	1.002	0	0	50
LOC106883232	1	1.974	0.506586	0	0.650022	247
LOC106883233	2	1.983	1.00857	0	1.84237	654
LOC106872993	2	5.138	0.389257	0	1.48336	508
LOC106883508	2	1.958	1.02145	0	0.918296	504
LOC106876994	2	1.98225	1.00895	0	0.896241	1008
LOC106868125	1	1	1	0	0.650022	385
LOC106872915	2	1.991	1.00452	0	1	453
LOC106872997	2	1.992	1.00402	0	1	296
LOC106872957	2	2.39336	0.835645	0	0.46342	1479
LOC106872684	2	1.962	1.01937	0	1.25163	293
LOC106876686	1	1	1	0	0	1048
LOC106876604	2	2.7315	0.732198	0	1.03044	485
LOC106872686	2	4.328	0.462107	0	0.985228	742
LOC106872645	2	3.02667	0.660793	0	0.426891	470
LOC106876608	1	1.983	0.504286	0	0.295837	371
LOC106872062	2	2.1864	0.914746	0	0.727784	2064
LOC106876336	2	2	1	0	0.744243	1555
LOC106876378	2	2	1	0	1.5	299
LOC106872064	2	1.9895	1.00528	0	0.685975	498
LOC106876064	1	1	1	0	0.721928	731
LOC106869702	2	1.998	1.001	0	0.755635	1975
LOC106872024	2	1.99975	1.00013	0	0.468996	1094
LOC106869430	5	10.1933	0.490521	0	0.650022	1090
LOC106880540	2	2	1	0	0.468996	218
LOC106872026	2	1.998	1.001	0	0.591673	940
LOC106880814	2	2	1	0	0.970951	44
LOC106876068	2	2	1	0	0.918296	115
LOC106869789	1	1.976	0.506073	0	1.14884	136
LOC106877990	2	1.818	1.10011	0	0.612174	792
LOC106869121	2	1.998	1.001	0	1	28
LOC106869438	2	2	1	0	0.918296	832
LOC106884507	2	2	1	0	0.991076	899
LOC106869439	2	2.4668	0.810767	0	0.5	1076
LOC106869125	5	3.27511	1.52667	0	1.01125	4085
LOC106873957	2	3.626	0.551572	0	0.325011	453
LOC106877643	2	2.776	0.720461	0	2.25163	31
LOC106877685	2	1.964	1.01833	0	1.49111	427
LOC106877645	2	2	1	0	0	185
LOC106873604	1	1	1	0	0	378
LOC106873331	2	2	1	0	0.342019	433
LOC106873648	2	2.15164	0.929525	0	0.616399	1211
LOC106877689	2	1.99	1.00503	0	1.40564	392
LOC106873649	2	1.961	1.01989	0	0.791158	893
LOC106873334	2	2	1	0	0.848106	551
LOC106874768	2	3.90013	0.512804	0	0.452147	1015
LOC106870769	3	4.732	0.633981	0	0.503258	612
LOC106881810	2	3.512	0.569476	0	1.45915	988
LOC106873379	2	2	1	0	0.881291	116
LOC106870415	2	1.995	1.00251	0	1.84237	71
LOC106874416	2	1.999	1.0005	0	0.70282	570
LOC106874417	3	2.29786	1.30556	0	0.831377	1043
LOC128249893	1	1	1	0	0.271782	114
LOC106870102	2	1.995	1.00251	0	0.977217	435
LOC106870184	2	2	1	0	0.985228	194
LOC106881895	2	2.8665	0.697715	0	0.704988	846
LOC106877067	2	1.9968	1.0016	0	0.859186	520
LOC106870103	2	2.46825	0.810291	0	0.75711	400
LOC106881582	2	2	1	0	0.328409	604
LOC106874104	2	1.921	1.04112	0	1.41672	240
LOC106870104	2	1.995	1.00251	0	0.841251	397
LOC106877027	2	2.844	0.703235	0	0	358
LOC106873027	1	1	1	0	0.650022	1165
LOC106870186	2	1.97	1.01523	0	1.79248	2120
LOC106870105	2	2.56133	0.780843	0	0.307309	381
LOC106874106	2	1.9915	1.00427	0	0.525561	614
LOC106870106	2	2.984	0.670241	0	0.495538	377
LOC106874148	5	12.402	0.403161	0	0.811278	656
LOC128249583	2	2	1	0	0.466056	44
LOC106874189	2	2	1	0	1.84644	493
LOC106881230	2	2	1	0	0.863121	363
LOC106882663	2	1.99333	1.00334	0	1.38281	1283
LOC106878950	2	1.99467	1.00267	0	1.09853	248
LOC106870109	2	2	1	0	0.988699	287
LOC106882391	2	1.99951	1.00025	0	0.883225	1811
LOC106878953	1	1	1	0	0	302
LOC106882667	2	1.974	1.01317	0	0.650022	708
LOC106867202	2	1.5	1.33333	0	0.794233	622
LOC106867243	1	1	1	0	0.325011	586
LOC128249549	2	2	1	0	0.650054	41
LOC106867244	2	2	1	0	0	812
LOC106867245	2	1.958	1.02145	0	1.9183	298
LOC106882356	2	2	1	0	0	1020
LOC106878999	2	1.98118	1.0095	0	0.865516	3364
LOC106882316	5	3.276	1.52625	0	0.974409	1636
LOC106882043	2	1.96933	1.01557	0	1.45915	495
LOC106879451	2	1.95575	1.02263	0	0.904035	573
LOC106875452	5	3.518	1.42126	0	1.45915	592
LOC106878375	2	1.988	1.00604	0	1.45915	713
LOC106878061	5	10.378	0.481788	0	0.918296	391
LOC106879768	2	1.996	1.002	0	0	717
LOC106875180	2	1.998	1.001	0	0.863121	1497
LOC106875496	1	1	1	0	0.591673	2019
LOC106883970	2	1.986	1.00705	0	1.58496	815
LOC106878023	2	2	1	0	0.721928	751
LOC106875458	2	2.27267	0.880023	0	0.522938	3102
LOC106883931	2	1.996	1.002	0	1	3069
LOC106879459	2	2.58733	0.772997	0	0.416627	630
LOC106878026	2	1.97967	1.01027	0	1.33689	1100
LOC106879148	5	11.25	0.444444	0	0.985228	235
LOC106868280	1	1.814	0.551268	0	0.918296	569
LOC106883391	2	2.78933	0.717017	0	1.09279	617
LOC128247663	2	1.99975	1.00013	0	0.0679455	257
LOC106868597	1	1	1	0	0	710
LOC106868200	2	1.986	1.00705	0	1.37878	1211
LOC106868241	2	1.93633	1.03288	0	0.574418	594
LOC106868599	2	1.984	1.00806	0	0	1004
LOC106883628	2	1.998	1.001	0	0.650022	108
LOC106868246	2	3.754	0.532765	0	0	305
LOC106876720	2	2	1	0	0.954434	440
LOC106872761	2	1.993	1.00351	0	0.961228	1464
LOC128247629	2	1.998	1.001	0	0	157
LOC106883083	2	1.9852	1.00746	0	1.14884	434
LOC106883042	2	1.998	1.001	0	0.961092	1232
LOC106868248	5	2.6568	1.88196	0	0.948498	948
LOC128247082	2	1.99286	1.00358	0	1.0945	1894
LOC106883044	2	1.994	1.00301	0	0.985228	2578
LOC128247083	2	1.92593	1.03846	0	0.177836	498
LOC106872724	1	2	0.5	0	0.961237	83
LOC106876765	2	1.996	1.002	0	0.591673	608
LOC106872765	5	4.514	1.10767	0	1.78993	704
LOC106872411	2	1.487	1.34499	0	0.959148	1041
LOC106876727	2	1.98533	1.00739	0	0.863121	775
LOC128247007	2	4.898	0.40833	0	1.43537	242
LOC128251563	2	2	1	0	1.78194	1506
LOC106872455	1	2	0.5	0	0.503258	825
LOC106872181	2	3.53	0.566572	0	1.25163	1662
LOC106876456	2	1.99933	1.00033	0	0.835197	584
LOC106876102	2	1.9985	1.00075	0	0.703342	730
LOC106872184	2	1.988	1.00604	0	1.37878	301
LOC106876103	5	3.864	1.294	0	1.79248	332
LOC106880974	2	1.99733	1.00134	0	0.382945	1470
LOC106872186	1	1	1	0	0.800529	1487
LOC106872104	2	1.98844	1.00581	0	0.993765	1223
LOC106872146	2	1.99133	1.00435	0	0.534757	768
LOC106880976	2	1.99933	1.00033	0	0.559109	725
LOC128248934	2	1.998	1.001	0	0	295
LOC106880936	2	2	1	0	0.985228	246
LOC106869593	2	1.98867	1.0057	0	0.798223	433
LOC106876149	1	1	1	0	0.371232	227
LOC106880622	5	3.973	1.25849	0	1.25163	733
LOC106869828	2	2.96486	0.674569	0	0.854308	1602
LOC106872109	1	1	1	0	0.985228	700
LOC106869514	2	1.996	1.002	0	0.620847	960
LOC106869829	2	1.9824	1.00888	0	1.14884	441
LOC106884351	2	1.9945	1.00276	0	0.845351	349
LOC106884352	2	1.999	1.0005	0	0.863121	459
LOC106880627	1	1	1	0	0.922675	581
LOC106869286	2	1.98613	1.00698	0	1.09388	1919
LOC106884041	2	1.992	1.00402	0	0	328
LOC106884000	8	8.07	0.991326	0	0.637021	603
LOC106874882	2	1.991	1.00452	0	1.75	240
LOC128248358	2	2.60343	0.768218	0	0.706472	310
LOC106884046	2	1.98733	1.00637	0	0.629749	522
LOC106873450	1	1	1	0	0.721928	3445
LOC106873411	2	3.823	0.523149	0	0.295837	181
LOC106880089	2	1.994	1.00301	0	0	851
LOC128248087	1	1	1	0	0.714686	113
LOC106870571	6	11.778	0.509424	0	1	399
LOC106870572	2	2	1	0	0.918296	204
LOC106874846	2	1.992	1.00402	0	0.918296	248
LOC106870888	2	1.9976	1.0012	0	0.899367	790
LOC106874889	2	1.9785	1.01087	0	0.673367	1525
LOC106873456	2	2	1	0	1	715
LOC106873415	2	1.956	1.02249	0	1.25163	2756
LOC106873101	5	3.50233	1.42762	0	0.864489	1668
LOC106873142	2	2	1	0	0.811278	811
LOC106873183	2	1.98	1.0101	0	1.45915	338
LOC106881971	5	4.092	1.2219	0	1.04484	1150
LOC106873417	2	1.988	1.00604	0	0.650022	394
LOC106874221	2	4.529	0.441599	0	0.439497	907
LOC106881973	5	4.3	1.16279	0	1.43213	556
LOC106877187	2	2	1	0	0	1153
LOC106874539	2	2	1	0	0.918296	1406
LOC106867985	1	1	1	0	0.863121	823
LOC106874267	2	2	1	0	1.0963	897
LOC106867632	2	1.83233	1.0915	0	0.452208	3215
LOC106867906	2	1.99467	1.00267	0	0.788592	719
LOC106882701	2	1.994	1.00301	0	1.37878	499
LOC106881393	2	2	1	0	0	518
LOC128249665	2	2	1	0	0.543564	238
LOC106881394	2	2	1	0	1.48548	993
LOC106867361	2	1.99825	1.00088	0	0.838843	1718
LOC106867320	1	1	1	0	0.94566	187
LOC106882786	2	2	1	0	0	529
LOC106881083	2	2.32267	0.861079	0	0.706656	1891
LOC106867365	2	1.994	1.00301	0	1.44882	5048
LOC106882475	2	1.98533	1.00739	0	0.985479	654
LOC106867639	2	1.5	1.33333	0	0.962693	425
LOC106878761	1	1.982	0.504541	0	0	441
LOC128249356	2	2	1	0	0.970951	1208
LOC128249315	2	2	1	0	0.025028	430
LOC106878763	1	1.932	0.517598	0	0.650022	400
LOC106875841	2	1.934	1.03413	0	1.2726	1163
LOC106875882	2	1.9835	1.00832	0	1.95021	393
LOC106882437	2	1.97333	1.01351	0	1.58496	3457
LOC106879882	1	1	1	0	0	1176
LOC106875842	2	2.40625	0.831169	0	0.865416	2339
LOC106875801	2	2.55378	0.783153	0	0.777508	457
LOC106878451	1	1.998	0.500501	0	0.468996	956
LOC106881088	2	2.856	0.70028	0	2.23593	1244
LOC106879884	9	10.522	0.855351	1	0.918296	19
LOC106871802	2	3.972	0.503525	0	1	257
LOC106879885	2	1.66667	1.2	0	1.59353	619
LOC106881049	2	1.966	1.01729	0	1.9183	504
LOC106871845	2	3.808	0.52521	0	0	568
LOC106875573	5	11.65	0.429185	0	0.696557	322
LOC106875847	5	4.23067	1.18185	0	1.14884	469
LOC106875889	2	2	1	0	0.295837	686
LOC106879807	2	1.943	1.02934	0	0.591673	1004
LOC128250683	2	2	1	0	0	19
LOC106879808	2	1.984	1.00806	0	0.325011	582
LOC106878499	2	2	1	0	1.36096	520
