gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
DDB_G0275737	2	2	1	0	0	667
DDB_G0275739	2	2	1	0	0.325011	548
DDB_G0293662	2	1.98933	1.00536	0	0.306099	675
DDB_G0279621	2	2	1	0	0	171
DDB_G0279623	2	2	1	0	0.271782	162
DDB_G0293668	2	2	1	0	0	302
DDB_G0270526	14	12.188	1.14867	1	0.863121	53
DDB_G0283147	2	1.99943	1.00029	0	0.460173	1256
DDB_G0267870	2	2	1	0	0	355
DDB_G0269114	2	2	1	0	0.419944	340
DDB_G0288811	2	1.995	1.00251	0	0.841251	829
DDB_G0267874	2	2	1	0	0.325011	650
DDB_G0292330	2	1.75	1.14286	0	0.265319	182
DDB_G0287039	2	2	1	0	0	532
DDB_G0278301	2	1.992	1.00402	0	0.310424	1148
DDB_G0289681	1	1	1	0	0	287
DDB_G0275281	18	10.822	1.66328	1	0	37
DDB_G0289683	2	2	1	0	0	928
DDB_G0275283	2	2	1	0	0	29
DDB_G0289685	2	2	1	0	0	868
DDB_G0275285	2	2	1	0	0.228013	773
DDB_G0283605	2	2	1	0	0.405268	1458
DDB_G0289687	2	1.999	1.0005	0	0.492614	897
DDB_G0275287	2	2.10433	0.95042	0	0.483941	1381
DDB_G0283607	2	2	1	0	0.271782	506
DDB_G0280593	2	2	1	0	0.142769	946
DDB_G0279173	2	2	1	0	0.195909	433
DDB_G0284471	2	1.99933	1.00033	0	0.289026	1471
DDB_G0291011	2	1.5	1.33333	0	0	943
DDB_G0270072	2	1.94967	1.02582	0	0.293389	604
DDB_G0279177	2	2	1	0	0.355388	426
DDB_G0279179	2	1.953	1.02407	0	0.588866	925
DDB_G0271860	2	2	1	0	0.368454	560
DDB_G0284477	2	2	1	0	0	1045
DDB_G0271862	1	1	1	0	0.811278	341
DDB_G0288361	2	1.997	1.0015	0	0.382103	1265
DDB_G0288363	2	1.968	1.01626	0	0.591673	678
DDB_G0271868	2	2	1	0	0.784159	1043
DDB_G0284931	2	2.896	0.690608	0	0	57
DDB_G0279635	2	2	1	0	0	399
DDB_G0284933	2	2	1	0	0.261909	1183
DDB_G0284937	1	1.992	0.502008	0	0.649397	341
DDB_G0283159	2	1.994	1.00301	0	0.195622	656
DDB_G0269124	2	2	1	0	0.650022	1059
DDB_G0287041	2	2	1	0	0	608
DDB_G0267882	2	1.9095	1.04739	0	0.555838	427
DDB_G0274421	2	2	1	0	0.543564	519
DDB_G0287043	2	2	1	0	0	360
DDB_G0267884	2	2	1	0	0.493393	646
DDB_G0274423	2	2	1	0	1.05561	696
DDB_G0267886	2	1.949	1.02617	0	0.625815	563
DDB_G0274425	2	1.996	1.002	0	0.553329	1398
DDB_G0288827	2	2.097	0.953743	0	0.361406	995
DDB_G0267888	2	2	1	0	0.0286397	1164
DDB_G0278315	2	2	1	0	0.234498	567
DDB_G0278317	2	2	1	0	0.323203	564
DDB_G0283615	2	2	1	0	0	802
DDB_G0275297	2	2	1	0	0	365
DDB_G0283617	2	1.9978	1.0011	0	0.135814	1053
DDB_G0279181	8	5.72267	1.39795	0	0.333333	611
DDB_G0273101	2	1.996	1.002	0	0.178871	2048
DDB_G0287503	2	2	1	0	0	681
DDB_G0284481	2	1.9952	1.00241	0	0.273184	1028
DDB_G0273105	2	2	1	0	0.863121	786
DDB_G0292802	2	1.99933	1.00033	0	0.32365	686
DDB_G0284483	2	1.996	1.002	0	0.546361	356
DDB_G0273107	2	1.832	1.0917	0	0.508922	2046
DDB_G0273109	2	2	1	0	0	34
DDB_G0271870	5	2.25	2.22222	0	0.447651	1208
DDB_G0284487	2	1.98467	1.00773	0	0	528
DDB_G0284489	2	1.999	1.0005	0	0.498124	908
DDB_G0275751	2	2	1	0	0.0838763	957
DDB_G0270542	24	12.828	1.87091	1	0	75
DDB_G0279647	2	2	1	0	0.742738	378
DDB_G0279649	2	2.20467	0.907167	0	0.522773	1333
DDB_G0283169	2	1.993	1.00351	0	0.295837	290
DDB_G0267892	2	2	1	0	0.342813	858
DDB_G0304961	2	2	1	0	0	296
DDB_G0292350	2	1.9904	1.00482	0	0.190887	1224
DDB_G0274435	2	2	1	0	0	507
DDB_G0292354	2	2	1	0	0.527971	495
DDB_G0288839	2	2.286	0.874891	0	0	662
DDB_G0292358	2	2.044	0.978474	0	0.750608	2129
DDB_G0278321	5	4.4655	1.1197	0	0.598037	997
DDB_G0278325	2	2	1	0	0	617
DDB_G0278327	2	2	1	0	0	558
DDB_G0287511	2	2	1	0	0.298397	1312
DDB_G0273113	2	1.998	1.001	0	0.881291	250
DDB_G0284491	2	2	1	0	0.3888	1131
