gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
SPOM_SPCC1322.10	2	1.996	1.002	0	1.22439	262
SPOM_SPAC16E8.13	9	10.822	0.831639	1	0.985228	547
SPOM_SPBC146.01	2	2	1	0	0.693532	1063
SPOM_SPAC1071.08	1	1.848	0.541126	0	0	110
SPOM_SPAPB17E12.08	2	1.99	1.00503	0	1.84237	209
SPOM_SPAC1F5.04C	3	4.71	0.636943	0	1.17582	1841
SPOM_SPAC16E8.06C	8	10.03	0.797607	0	1	402
SPOM_SPCC594.01	2	1.828	1.09409	0	0.918296	791
SPOM_SPCC584.16C	2	1.97	1.01523	0	1.9183	231
SPOM_SPBC17D11.01	2	1.974	1.01317	0	0.918296	420
SPOM_SPAC22H10.11C	2	2	1	0	0.543564	629
SPOM_SPBC30B4.01C	2	1.991	1.00452	0	1.78651	374
SPOM_SPAC1B3.05	2	1.94	1.03093	0	1.73979	640
SPOM_SPAC1705.03C	2	1.992	1.00402	0	0.985228	421
SPOM_SPAC1687.09	8	9.792	0.816993	0	1	1379
SPOM_SPAC6B12.12	2	1.926	1.03842	0	1.29879	625
SPOM_SPBC215.13	2	1.98978	1.00514	0	1.35414	534
SPOM_SPBC725.12	2	1.99	1.00503	0	1.55666	141
SPOM_SPAC30D11.01C	2	1.988	1.00604	0	0.918296	993
SPOM_SPAC3H5.09C	2	1.986	1.00705	0	0.863121	2699
SPOM_SPBC3B8.04C	1	1	1	0	0	867
SPOM_SPCC553.10	2	1.9872	1.00644	0	1.59865	349
SPOM_SPBC557.04	5	4.296	1.16387	0	0.650022	872
SPOM_SPCC895.08C	2	1.972	1.0142	0	1.45915	490
SPOM_SPAC343.11C	2	2	1	0	0	1588
SPOM_SPAP11E10.02C	2	1.978	1.01112	0	1.44882	1082
SPOM_SPAC29E6.10C	5	10.648	0.469572	0	0.863121	1085
SPOM_SPAC1142.01	5	9.652	0.518027	0	1	656
SPOM_SPBC691.04	2	1.982	1.00908	0	1.58496	535
SPOM_SPAC27D7.09C	2	2	1	0	1.44662	383
SPOM_SPAP32A8.03C	2	4.308	0.464253	0	0.918296	480
SPOM_SPBC16G5.06	2	1.998	1.001	0	2	230
SPOM_SPCC757.12	2	1.994	1.00301	0	2.01775	625
SPOM_SPBC13E7.03C	2	4.746	0.421408	0	1.40564	713
