gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
NCU10264	6	5.736	1.04603	0	1	1338
NCU04790	2	1.998	1.001	0	0	729
NCU07987	1	1.986	0.503525	0	0	42
NCU07672	2	1.99	1.00503	0	1.25163	222
NCU04750	5	5.334	0.937383	0	0.650022	1332
NCU00710	2	2	1	0	0	426
NCU11307	2	1.946	1.02775	0	1	307
NCU07675	2	2	1	0	0	673
NCU07949	5	5.465	0.914913	0	1.14529	2888
NCU08793	3	3.05167	0.983069	0	0.485897	487
NCU07360	1	1.998	0.500501	0	0.503258	309
NCU04794	2	5.914	0.338181	0	0.985228	143
NCU04795	2	2	1	0	0.811278	713
NCU07321	2	1.986	1.00705	0	1.54879	272
NCU00713	2	2	1	0	0	248
NCU04755	2	2	1	0	0.503258	1015
NCU04440	2	2	1	0	0.918296	1019
NCU07364	1	1	1	0	0	381
NCU04484	2	1.966	1.01729	0	0.325011	632
NCU00443	2	1.998	1.001	0	0.863121	250
NCU04170	2	1.992	1.00402	0	0.918296	2119
NCU00486	5	3.22533	1.55023	0	1.01649	916
NCU00445	2	5.132	0.389712	0	0.970951	1115
NCU08445	2	1.997	1.0015	0	0.724408	554
NCU07054	2	6.196	0.322789	0	0	565
NCU07013	2	5.392	0.37092	0	0	365
NCU07329	2	2.714	0.73692	0	0.921651	355
NCU00447	2	1.974	1.01317	0	0.591673	663
NCU00448	2	1.996	1.002	0	0.918296	726
NCU08448	2	2	1	0	0	563
NCU00408	2	2	1	0	0	216
NCU08449	3	3.29525	0.910401	0	0.77272	988
NCU04176	2	1.984	1.00806	0	0	872
NCU08136	2	1.992	1.00402	0	0.918296	864
NCU07059	1	1.99	0.502513	0	0.650022	965
NCU07019	2	2	1	0	0.845351	497
NCU00178	2	1.994	1.00301	0	0.591673	399
NCU16651	2	1.989	1.00553	0	0.467404	191
NCU08138	2	1.962	1.01937	0	0.650022	317
NCU04138	1	1.988	0.503018	0	0	219
NCU16968	1	1.962	0.509684	0	0	543
NCU16695	2	2	1	0	0.085743	323
NCU16614	2	2	1	0	0	144
NCU16341	2	1.952	1.02459	0	1.45915	674
NCU16344	1	1.994	0.501505	0	0	231
NCU09791	2	2	1	0	0.650022	910
NCU01750	2	1.948	1.02669	0	0.650022	312
NCU16306	2	6.764	0.295683	0	0	123
NCU05753	5	4.45333	1.12275	0	1.12089	580
NCU09712	1	1.989	0.502765	0	0.747167	552
NCU09713	2	2	1	0	0.650022	281
NCU01796	2	2	1	0	0.620847	552
NCU05715	2	1.9835	1.00832	0	0.688722	578
NCU09482	5	8.358	0.598229	0	1.39215	1307
NCU09756	2	1.95	1.02564	0	1.25163	784
NCU02833	2	2	1	0	1.03357	357
NCU05798	2	1.99867	1.00067	0	0.659655	685
NCU09442	1	1.954	0.511771	0	0	170
NCU09483	2	1.998	1.001	0	0.591673	234
NCU05758	2	3.159	0.633112	0	0.650022	566
NCU09402	2	2	1	0	0.381238	474
NCU01799	2	5.308	0.37679	0	0.468996	82
NCU02521	2	1.988	1.00604	0	0.431561	489
NCU02877	5	5.042	0.99167	0	0.7568	821
NCU01486	1	1.996	0.501002	0	0	1342
NCU02523	6	5.692	1.05411	0	0.985228	318
NCU01407	1	1.996	0.501002	0	0	495
NCU02525	2	1.984	1.00806	0	0.802228	1171
NCU05448	2	1.962	1.01937	0	0	299
NCU02567	2	1.995	1.00251	0	0.477217	317
NCU05176	2	2	1	0	0	367
NCU02213	2	3.542	0.564653	0	0	612
NCU02214	2	1.986	1.00705	0	1	1028
NCU02256	2	2	1	0	0.918296	518
NCU02216	2	1.998	1.001	0	0.979869	493
NCU02218	2	1.996	1.002	0	1.36096	290
NCU17030	2	4.952	0.403877	0	1.5	436
NCU06791	2	1.966	1.01729	0	0	650
NCU03870	2	1.991	1.00452	0	1.45915	733
NCU06754	2	1.497	1.33601	0	0.817625	888
NCU17077	2	1.998	1.001	0	1.65774	628
NCU06714	2	1.975	1.01266	0	0.360964	963
NCU17038	2	2	1	0	0.970553	174
NCU06443	2	3.569	0.560381	0	1.10738	603
NCU06799	3	4.8535	0.618111	0	0.804175	1176
NCU06759	2	1.997	1.0015	0	0	698
NCU03878	2	1.996	1.002	0	0.543564	465
NCU06171	5	4.528	1.10424	0	1.14877	1533
NCU03563	2	1.996	1.002	0	1.37878	644
NCU06405	2	2	1	0	0.439497	404
NCU03250	2	2	1	0	0.863121	634
NCU06489	1	1	1	0	0.918296	585
NCU06134	2	1.98	1.0101	0	0.295837	325
NCU03567	5	4.66	1.07296	0	0.863121	686
NCU03211	2	2	1	0	0.918296	361
NCU06409	2	5.392	0.37092	0	0	723
NCU06177	2	1.99733	1.00134	0	0.181188	810
NCU03528	2	2	1	0	0.650022	241
NCU03296	2	1.992	1.00402	0	1	341
NCU03529	2	1.992	1.00402	0	1	365
NCU03215	3	4.222	0.710564	0	1.45915	638
NCU03298	5	6.208	0.805412	0	1.44882	1366
NCU10697	2	5.658	0.353482	0	0.650022	586
NCU10344	2	2	1	0	1.29879	147
NCU10304	1	1	1	0	0.650022	616
NCU10387	1	1.998	0.500501	0	0	156
NCU10346	2	2	1	0	0.985228	973
NCU07710	2	1.994	1.00301	0	0.936365	1819
NCU07753	2	1.986	1.00705	0	1.54152	848
NCU00830	2	1.998	1.001	0	1.52193	227
NCU07713	5	5.369	0.931272	0	0.918296	191
NCU11427	5	5.638	0.886839	0	1.45915	464
NCU07400	1	1	1	0	0	872
NCU08875	2	2	1	0	1	1348
NCU10039	2	1.982	1.00908	0	1.5	540
NCU00876	2	1.99	1.00503	0	0.985228	717
NCU07718	2	1.996	1.002	0	1.14884	362
NCU08837	2	1.986	1.00705	0	1.45915	473
NCU04522	2	1.972	1.0142	0	0.863121	237
NCU07486	2	1.994	1.00301	0	1.25163	265
NCU07445	2	1.991	1.00452	0	0.219749	762
NCU08879	2	5.382	0.371609	0	0	1160
NCU07405	2	2.6375	0.758294	0	0.642378	482
NCU08839	2	1.995	1.00251	0	0.251629	597
NCU08525	2	4.258	0.469704	0	0.194837	658
NCU08293	2	1.996	1.002	0	0.295837	405
NCU07176	2	2	1	0	0.811278	397
NCU08294	3	3.371	0.889944	0	0.918048	1090
NCU08568	2	2	1	0	0	280
NCU04528	5	4.656	1.07388	0	1.84237	619
NCU04254	2	1.992	1.00402	0	0.5	1646
NCU00254	2	2	1	0	0	112
NCU08529	1	1	1	0	0	152
NCU08217	2	1.996	1.002	0	0.503258	440
NCU04259	2	1.9935	1.00326	0	1.03051	696
NCU08219	2	1.981	1.00959	0	0.689392	193
NCU00219	1	1.968	0.50813	0	0	1826
NCU09870	1	1.998	0.500501	0	0	579
NCU09830	1	1.97	0.507614	0	0.591673	1405
NCU12112	2	1.995	1.00251	0	0.918296	486
NCU09831	2	4.244	0.471254	0	0	576
NCU09832	3	4.646	0.645717	0	0.591673	470
NCU01834	2	1.998	1.001	0	0.591673	215
NCU05876	2	5.72	0.34965	0	0.650022	854
NCU02995	2	1.992	1.00402	0	1.44882	195
NCU01877	2	2.254	0.887311	0	0.703342	136
NCU09837	2	1.997	1.0015	0	0.995188	329
NCU05564	2	4.918	0.406669	0	0.811278	886
NCU09523	1	2	0.5	0	0	216
NCU09879	3	2.66	1.12782	0	0.650022	574
NCU05565	2	1.99	1.00503	0	0.918296	993
NCU02957	2	1.984	1.00806	0	0.650022	486
NCU09567	2	1.952	1.02459	0	0.918296	437
NCU05293	2	2	1	0	0	548
NCU01526	2	2.434	0.821693	0	0.591673	150
NCU01567	1	1.988	0.503018	0	0	118
NCU02685	2	2	1	0	0.591673	2209
NCU02644	2	1.99	1.00503	0	0.985228	736
