gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
Tb927.8.7970	2	2	1	0	0	494
TB927.1.820	2	1.948	1.02669	0	1.25163	426
Tb927.7.4190	1	1	1	0	0	197
TB927.1.3460	2	1.956	1.02249	0	0	136
Tb927.5.1480	2	1.996	1.002	0	0	160
Tb927.7.580	1	1	1	0	0.650022	682
Tb927.3.2770	2	5.23	0.382409	0	1.37878	1136
Tb927.3.2730	2	1.964	1.01833	0	1.45915	1694
Tb927.2.6100	2	2	1	0	0.94566	487
Tb927.5.1170	2	2	1	0	0.918296	154
Tb927.6.1720	2	1.994	1.00301	0	0.918296	764
Tb927.6.1180	2	1.97	1.01523	0	1	1271
Tb927.2.3720	2	1.97	1.01523	0	1.25163	251
TB927.1.4770	2	2	1	0	0	50
TB927.1.1890	2	2	1	0	1.68283	1174
Tb11.02.0170	2	1.998	1.001	0	1.53049	573
Tb11.03.0760	2	5.166	0.387147	0	0.863121	855
Tb10.6k15.3570	2	2.704	0.739645	0	1.9183	746
TB927.1.1540	1	1	1	0	0.468996	651
Tb927.5.2400	2	2	1	0	0.970951	986
Tb10.70.4750	2	2	1	0	1	2693
Tb09.244.2540	2	2	1	0	0	413
Tb927.6.2450	1	1	1	0	0	513
Tb11.01.2510	2	1.992	1.00402	0	0.863121	218
Tb09.211.3370	2	5.182	0.385951	0	1.55666	560
Tb09.211.3330	6	9.01	0.665927	0	0.918296	445
Tb927.2.4760	2	2	1	0	1.88431	365
Tb927.7.3810	1	1	1	0	0.918296	381
Tb927.4.4550	2	1.966	1.01729	0	1	823
Tb10.61.2870	1	1	1	0	0.918296	463
Tb927.4.4510	2	4.608	0.434028	0	0	1471
Tb09.v1.0750	2	2.646	0.755858	0	0	117
Tb927.7.3580	2	2	1	0	1	596
Tb927.7.2150	2	2	1	0	0	1370
Tb927.8.3590	5	7.27	0.687758	0	0.918296	652
Tb09.160.5660	1	1.988	0.503018	0	0.543564	191
Tb09.211.4680	2	2	1	0	0.918296	520
Tb927.3.1270	1	1	1	0	0.650022	540
Tb927.8.710	2	1.99	1.00503	0	0.863121	1377
Tb927.5.1870	2	3.408	0.586854	0	0.650022	887
TB927.1.670	2	1.993	1.00351	0	0.972755	614
Tb927.2.2260	2	1.982	1.00908	0	1.23093	4277
Tb10.6k15.2340	1	1.982	0.504541	0	0	1203
Tb10.70.3870	2	1.956	1.02249	0	0.918296	1056
Tb10.70.6480	2	5.216	0.383436	0	0.864787	1220
Tb927.8.4240	2	1.94	1.03093	0	1.25163	1689
Tb11.01.7160	1	1.984	0.504032	0	0	769
Tb11.47.0021	2	1.942	1.02987	0	1.9183	269
Tb10.70.2170	5	7.276	0.687191	0	0.650022	151
Tb927.7.5850	2	2	1	0	1	624
Tb927.2.3880	2	1.994	1.00301	0	0.863121	487
Tb11.55.0010	1	1	1	0	0.896038	570
Tb927.4.2280	1	1.986	0.503525	0	0	382
Tb11.02.4290	2	2	1	0	0	1259
Tb927.5.2870	2	2	1	0	0.881291	480
Tb927.4.2200	2	1.956	1.02249	0	0.918296	1671
Tb927.2.510	1	1.98	0.505051	0	0	837
Tb927.7.1230	2	5.024	0.398089	0	0.918296	840
Tb11.03.0530	2	2	1	0	0.985228	280
Tb927.8.1590	1	1	1	0	0.966619	4304
Tb11.01.5820	3	4.906	0.611496	0	1.9183	516
Tb10.61.1330	1	1	1	0	0.985228	366
Tb927.8.1510	5	4.698	1.06428	0	1.45915	569
Tb09.244.2660	2	1.968	1.01626	0	1.25163	1378
Tb927.6.2570	2	1.944	1.02881	0	1.45915	479
