gene_id	obs_max_nt_homopolymer	mean_expected_max_nt_homopolymer	SI	total_risky	mean_codon_entropy	gene_length
LOC107276250	3	2.91967	1.02751	0	0.669901	415
LOC4340480	2	4.672	0.428082	0	0.650022	415
LOC4326440	2	2.408	0.830565	0	0	190
LOC107276256	2	1.982	1.00908	0	0	451
LOC4339063	2	1.995	1.00251	0	0.650022	840
LOC4344362	2	1.994	1.00301	0	0.984571	602
LOC112938793	2	1.988	1.00604	0	0	548
LOC4331744	3	4.932	0.608273	0	1.14884	366
LOC4331746	2	1.982	1.00908	0	0.574418	608
LOC4344368	5	5.054	0.989315	0	0.591673	675
LOC4335638	2	1.99867	1.00067	0	0.944989	548
LOC4335639	2	4.704	0.42517	0	0.863121	688
LOC4340940	2	1.955	1.02302	0	1.45915	311
LOC107276713	2	4.742	0.421763	0	0	340
LOC9270703	2	4.52	0.442478	0	0	1114
LOC4339520	2	1.988	1.00604	0	0	266
LOC136353547	2	4.524	0.442087	0	0	212
LOC4339522	2	1.99	1.00503	0	0	394
LOC4344820	5	6.43	0.777605	0	1	1030
LOC4330420	2	3.481	0.574548	0	0.756571	506
LOC4339524	2	5.412	0.369549	0	0.991076	364
LOC4330423	2	1.99367	1.00318	0	0.959148	876
LOC136357432	2	1.968	1.01626	0	1.45915	909
LOC4339529	2	1.994	1.00301	0	0.650022	703
LOC4343046	5	3.604	1.38735	0	1.0371	1891
LOC4343048	2	1.982	1.00908	0	1	408
LOC107277582	3	5.043	0.594884	0	0.57664	410
LOC136357438	3	4.89633	0.612703	0	1.49835	296
LOC9266276	2	5.042	0.396668	0	0.591673	209
LOC107277584	5	3.591	1.39237	0	0.710777	267
LOC4327771	1	1	1	0	0	256
LOC4327772	2	2	1	0	0	926
LOC4327774	5	4.16467	1.20058	0	1.41503	347
LOC107277589	2	1.999	1.0005	0	0.936278	153
LOC4327776	2	1.946	1.02775	0	1.25163	178
LOC4348716	2	4.721	0.423639	0	0.650022	96
LOC4331294	2	2	1	0	0	310
LOC4345697	2	2.3288	0.858811	0	0.66577	416
LOC4345698	2	1.96	1.02041	0	0	533
LOC9271589	5	2.907	1.71999	0	0.990897	418
LOC4352239	2	1.972	1.0142	0	0.729574	507
LOC4338203	2	1.992	1.00402	0	0	340
LOC4343500	2	1.981	1.00959	0	1.25163	695
LOC112936149	2	1.99	1.00503	0	0.863121	800
LOC4336962	1	1.956	0.511247	0	0	819
LOC9266733	2	2.536	0.788644	0	0.591673	577
LOC9270250	2	4.988	0.400962	0	0	613
LOC107276261	2	1.996	1.002	0	1.45915	61
LOC4343508	2	1.994	1.00301	0	0.591673	198
LOC4336969	2	4.508	0.443656	0	0.650022	783
LOC4339074	2	4.72	0.423729	0	0.650022	487
LOC4331751	2	1.9975	1.00125	0	1.82947	263
LOC9270258	5	5.005	0.999001	0	1.14884	591
LOC9270259	2	1.994	1.00301	0	0.591673	198
LOC4344374	2	3.684	0.542888	0	0.680482	228
LOC4331759	2	1.998	1.001	0	0.591673	113
LOC4335641	2	2	1	0	0.591673	201
LOC107276721	2	5.22	0.383142	0	0	216
LOC9270712	2	5.35133	0.373739	0	1.35123	116
LOC9270713	3	2.80667	1.06888	0	0.870809	318
LOC112937475	2	2.678	0.746826	0	0.377492	265
LOC4326912	2	5.62	0.355872	0	0.970951	415
LOC107276726	2	1.99	1.00503	0	0.650022	351
LOC9270715	2	1.998	1.001	0	0	426
LOC4326913	2	2	1	0	1.06128	123
LOC4339533	2	3.431	0.58292	0	0.477217	210
LOC9270717	2	3.315	0.603318	0	0.325011	423
LOC107276728	2	1.996	1.002	0	0	440
LOC107280245	2	1.984	1.00806	0	0.216674	329
LOC4339536	1	1	1	0	0.985228	105
LOC136357441	2	2	1	0	0.650022	74
LOC136357442	2	1.99	1.00503	0	0	154
LOC4326918	2	1.994	1.00301	0	0.591673	418
LOC4325138	2	4.514	0.443066	0	0.650022	238
