species	transcript_id	gene_id	chrom	strand	protein_len	aa	aa_start	aa_end	aa_len	codon_entropy	codon_gini_simpson	n_unique_codons	dna_len	obs_max_nt_homopolymer	obs_risky	random_expected_max_nt_homopolymer	p_random_risky	p_random_safe	random_expected_risky_count	dna_A_frac	dna_T_frac	dna_G_frac	dna_C_frac
Halobacterium_salinarum	gene-HBSAL_RS00100	NA	NZ_CP038631.1	-	415	A	391	397	6	0.650022	0.277778	2	18	2	0	2.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.388889	0.611111
Halobacterium_salinarum	gene-HBSAL_RS00200	NA	NZ_CP038631.1	-	460	G	448	455	7	1.378783	0.571429	3	21	3	0	5.630000	0.076000	0.924000	0.076000	0.000000	0.095238	0.714286	0.190476
Halobacterium_salinarum	gene-HBSAL_RS00440	NA	NZ_CP038631.1	+	303	A	277	283	6	1.459148	0.611111	3	18	2	0	2.000000	0.000000	1.000000	0.000000	0.055556	0.000000	0.444444	0.500000
Halobacterium_salinarum	gene-HBSAL_RS00660	NA	NZ_CP038631.1	+	521	G	409	415	6	1.000000	0.500000	2	18	2	0	5.322000	0.072000	0.928000	0.072000	0.000000	0.166667	0.666667	0.166667
Halobacterium_salinarum	gene-HBSAL_RS01220	NA	NZ_CP038631.1	-	768	T	15	21	6	0.650022	0.277778	2	18	2	0	1.994000	0.000000	1.000000	0.000000	0.333333	0.000000	0.055556	0.611111
Halobacterium_salinarum	gene-HBSAL_RS01615	NA	NZ_CP038631.1	-	223	A	48	55	7	0.591673	0.244898	2	21	2	0	2.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.380952	0.619048
Halobacterium_salinarum	gene-HBSAL_RS01685	NA	NZ_CP038631.1	-	339	A	186	193	7	0.985228	0.489796	2	21	2	0	2.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.523810	0.476190
Halobacterium_salinarum	gene-HBSAL_RS01740	NA	NZ_CP038631.1	-	326	G	125	133	8	1.405639	0.593750	3	24	5	0	6.016000	0.092000	0.908000	0.092000	0.000000	0.125000	0.708333	0.166667
Halobacterium_salinarum	gene-HBSAL_RS03250	NA	NZ_CP038631.1	-	229	S	26	32	6	1.792481	0.666667	4	18	2	0	1.858000	0.000000	1.000000	0.000000	0.055556	0.388889	0.166667	0.388889
Halobacterium_salinarum	gene-HBSAL_RS03300	NA	NZ_CP038631.1	+	133	G	61	69	8	1.298795	0.531250	3	24	5	0	6.156000	0.112000	0.888000	0.112000	0.000000	0.083333	0.708333	0.208333
Halobacterium_salinarum	gene-HBSAL_RS03300	NA	NZ_CP038631.1	+	133	G	80	86	6	1.251629	0.500000	3	18	5	0	5.280000	0.054000	0.946000	0.054000	0.000000	0.055556	0.722222	0.222222
Halobacterium_salinarum	gene-HBSAL_RS04985	NA	NZ_CP038631.1	+	1231	D	1186	1193	7	0.985228	0.489796	2	21	1	0	1.000000	0.000000	1.000000	0.000000	0.333333	0.190476	0.333333	0.142857
Halobacterium_salinarum	gene-HBSAL_RS05545	NA	NZ_CP038631.1	-	506	G	35	44	9	0.991076	0.493827	2	27	2	0	6.128000	0.084000	0.916000	0.084000	0.000000	0.148148	0.666667	0.185185
Halobacterium_salinarum	gene-HBSAL_RS05975	NA	NZ_CP038631.1	+	148	G	80	86	6	1.459148	0.611111	3	18	5	0	5.296000	0.040000	0.960000	0.040000	0.000000	0.055556	0.777778	0.166667
Halobacterium_salinarum	gene-HBSAL_RS06275	NA	NZ_CP038631.1	-	351	D	331	338	7	0.591673	0.244898	2	21	1	0	1.000000	0.000000	1.000000	0.000000	0.333333	0.047619	0.333333	0.285714
Halobacterium_salinarum	gene-HBSAL_RS07415	NA	NZ_CP038631.1	-	259	V	111	117	6	0.918296	0.444444	2	18	2	0	1.966000	0.000000	1.000000	0.000000	0.000000	0.333333	0.555556	0.111111
Halobacterium_salinarum	gene-HBSAL_RS07970	NA	NZ_CP038631.1	+	85	A	32	39	7	1.448816	0.612245	3	21	2	0	2.000000	0.000000	1.000000	0.000000	0.047619	0.000000	0.476190	0.476190
Halobacterium_salinarum	gene-HBSAL_RS08530	NA	NZ_CP038631.1	-	279	A	248	254	6	1.459148	0.611111	3	18	2	0	2.000000	0.000000	1.000000	0.000000	0.000000	0.055556	0.444444	0.500000
Halobacterium_salinarum	gene-HBSAL_RS09460	NA	NZ_CP038631.1	-	399	D	9	15	6	0.650022	0.277778	2	18	1	0	1.000000	0.000000	1.000000	0.000000	0.333333	0.055556	0.333333	0.277778
Halobacterium_salinarum	gene-HBSAL_RS09675	NA	NZ_CP038631.1	-	253	G	150	158	8	1.405639	0.593750	3	24	2	0	5.948000	0.088000	0.912000	0.088000	0.041667	0.166667	0.666667	0.125000
Halobacterium_salinarum	gene-HBSAL_RS09680	NA	NZ_CP038631.1	-	1363	A	32	38	6	1.251629	0.500000	3	18	2	0	2.000000	0.000000	1.000000	0.000000	0.055556	0.055556	0.333333	0.555556
